Simplimatic Engineering Company 
Simplus Systems Corporation
SimplyHome LLC
Simpson Manufacturing Co Inc
Simpson Strong-Tie Co Inc
Sims Sports Inc
Simulat Inc
Singapore PTE Ltd
Single Buoy Moorings Inc
Single Chip Systems Corporation
Single-Ply Institute of America Inc
Singleton Technology LLC
Singular Bio Inc
Singulex Inc
Sinoelectric Powertrain Corporation
Sinton Consulting Inc
Siny Corp
Sion Power Corporation
Sioux Chief Mfg Co Inc
Sioux Steam Cleaner Corporation
Sirenza Microdevices Inc
Sirit Technologies Inc
Sirnaomics Inc
Sirona Dental Systems GmbH
Sisom Thin Films LLC
Sisters of Providence in Oregon
SixPoint Materials Inc
Sixon Inc
Sjoberg Industries Inc
Ski Carriers LLC
Skibo Systems LLC
Skidmore Owings & Merrill LLP
Skill Associates Inc
Skin Medica Inc
SkinCare Technology Inc
Skorpios Technologies Inc
Skuttle Manufacturing Company 
Sky Advanced LED Technologies Inc
Sky Climber LLC
Sky Climber Wind Solutions LLC
SkyCross Inc
SkyStream Networks Inc
SkyWolf Wind Turbine Corp
Skyblue Waters USA Inc
Skydata Inc 
Skye Associates LLC
Skye Pharma Inc
SkyePharma Inc
Skyhook Wireless Inc
Skyline Products Inc
Skyline Solar Inc
Skymedi Corporation
Skyonic Corporation
Skyworks Solutions Inc
Skyworld Business Group Inc
Slant/Fin Corporation
Slater Electric Inc
Sleeper & Hartley Corp
Sligh Furniture Co
Sloan Kettering Institute for Cancer Research
Sloan Valley Company
Sloan Valve Company
Sloan-Kettering Institute for Cancer Research
Sloan-Kettering for Cancer Research
SloanLED Inc
Slocomb Industries
Small Brothers USA Inc
Small Waters Inc
SmarTummy LLC
Smart Air Filter LLC
Smart Drilling and Completion Inc
Smart Karton Worldwide LLC
Smart Planet Technologies Inc
SmartHealth Inc
SmartLabs Inc
SmartPak Equine LLC
SmartSignal Corporation
Smartcup Inc
Smarte Carte Inc
Smartech LLC 
Smartpennycom Inc
Smartpool Inc
Smith & Hawken
Smith & Loveless Inc
Smith & Mahoney PC
Smith & Mercer Inc
Smith & Nephew Dyonics Inc
Smith & Nephew Inc
Smith & Nephew Richards Inc
Smith & Nephew Rolyan Inc
Smith & Nephew United Inc
Smith & Vesio LLC
Smith & Wesson Corp
Smith Filter Corporation
Smith International Inc
Smith Kline Beckman Corporation
Smith Mountain Properties LLC
Smith Patents LLC
Smith Root Inc
Smith System Inc
Smith Technology Development LLC
SmithKline Beecham Corporation
SmithKline Beecham plc
SmithKline Corporation
Smithkline Beecham Biologicals SG
Smiths Detection Inc
Smiths Industries Medical Systems Inc
Smiths Industries PLC 
Smiths Interconnect Microwave Components Inc
Smiths Medical ASD Inc
Smithsonian Astrophysical Observatory
Smithsonian Energy Inc
SmugMug Inc
Smule Inc
Snap-On Incorporated
Snap-On Technologies Inc
Snap-Tite Inc
Snap-Tite Technologies Inc
Snap-on Tools Corporation
Snapchat Inc
Snecma
SnipMe Inc
Sno-Way International Inc
Snow Solutions LLC
Snyder Biomedical Corporation
Snyder Industries Inc
Snyder National Corporation
So-Luminaire Systems Corp
Soar SK Limited Liability Company
Socialware Inc
Societa Italiana Vetro - SIV - SpA 
Societa' Italiana Resine SpA
Societe BIC
Societe D'Electricite Mors
Societe Nationale Elf Aquitaine (Production)
Societe Nationale d'Etude et de Construction de Moteurs d'Aviation SNECMA 
Societe d'Assistance Technique pour Produits Nestle SA
Societe de Conseils de Recherches et d'Applications Scientifiques SCRAS
Society for Techno-Innovation of Agriculture Forestry and Fisheries
Socket Mobile Inc
Sodick America Corporation
Sof-Tek Integrators Inc
Sofco
Sofco LP
Sofec Inc
Soft Switching Technologies Corp
Soft Tissue Regeneration Inc
Softlayer Technologies Inc
Softricity Inc
Softrock Geological Services Inc
Softronics Inc
Softub Inc 
Software Algoritms Incorporated
Software Analysis and Forensic Engineering Corporation
Sohio Commercial Development Co
Soil Horizons Inc
Soil and Water Management Inc
Soil-Therm Equipment Inc
Soilsoup Inc
SolAero Technologies Corp
SolFocus Inc
Sola USA Inc
Solaire Generation LLC
Solais Lighting Inc
Solan LLC
Solar Aquasystems Inc
Solar Attic Inc 
Solar Chief LLC
Solar Components LLC
Solar Conversion Corp
Solar Decisions Inc
Solar Design Group LLC
Solar Development Inc
Solar Dynamics Inc
Solar Energy Company
Solar Energy Dynamics Corporation
Solar Energy For The Family Inc
Solar Energy Production Corporation
Solar Energy Products Company
Solar Energy Research Corp
Solar Energy Systems Inc
Solar Energy Technology Inc
Solar Energy of Colorado Inc
Solar Heat Corporation
Solar Intergrated Technologies Inc
Solar Junction Corporation
Solar Kinetics Inc
