Bobst SA
Boca Flasher Inc
Bock Products Inc
Bodenseewerk Geratetechnik GmbH
BodiGard Technologies Inc
Bodkin Design & Engineering LLC
Boehringer Ingelheim GmbH
Boehringer Ingelheim International GmbH
Boehringer Ingelheim Pharmaceuticals Inc
Boehringer Ingelheim Vetmedica GmbH
Boehringer Mannheim Corporation
Boeing Construction Equipment Company
Boeing North American Inc
Bofors Nobel Incorporated
Bohlender Graebener Corporation
Boiler Clinic Inc
Boise Cascade Corporation
Boise Packaging & Newsprint LLC
Boise State University
Boit Incorporated
Bolder Battery Inc
Bolder Biotechnology Inc
Bolens Corporation
Bolinas Technologies Inc 
Bollente Companies Inc
Bolt Beranek and Newman Inc
Bolton-Emerson Americas Inc
Bomatic Inc
Bombardier Motor
Bombardier Motor Corporation of America
Bombardier Transportation GmbH
Bon Aqua
Bond Cote of Virginia Inc
Bonded Filter Company
Bondico Inc
Bones Consulting LLC
Bookham Technology PLC
Bookwrights Inc
Boosted Inc
Borden Chemical Inc 
Borden Inc
Borealis Technical Limited
Borg Instruments Inc
Borg Warner Inc
Borg-Warner Air Conditioning Inc
Borg-Warner Automotive Inc
Borg-Warner Chemicals Inc
Borg-Warner Corporation
Borg-Warner Industrial Products Inc
BorgWarner Inc
Borla Perfomance Industries Inc
Borland International Inc
Borland Software Corporation
Bosbur Inc
Bosch Automotive Service Solution LLC
Bosch Automotive Systems Corporation
Bosch Braking Systems Co Ltd
Bosch Rexroth Corporation
Bosch Systemes de Freinage
Boschert Associates
Boss Controls LLC
Boss Technology Systems Inc
Bosse Tools LLC
Bostik Findley
Bostik Inc
Boston Acoustics Inc 
Boston Bay International Inc
Boston Biomedical Research Institute 
Boston College
Boston Medical Center Corporation
Boston Medical Products Inc
Boston MicroSystems Inc
Boston Probes Inc
Boston Scientific Corporation
Boston Scientific Cupertino Corp
Boston Scientific Neuromodulation Corporation
Boston Scientific Scimed Inc
Boston Technology Inc
Boston Test Tool Company
Boston University
Boston Whaler Inc
Boston-Power Inc
Boundless Network
Bourgham Investments LLC
Bourns Inc
Bouygues Offshore
Bovaird & Co
Bovie Medical Corporation
Bowe Bell & Howell Postal Systems Company
Bowen Engineering Corporation
Bowles Fluidics Corporation
Bowling Green State University
Boxer Cross Inc
Boxer Cross Incorporated
Boy Scouts of America
Boyce Thompson Institute Inc
Boyce Thompson Institute for Plant Research Inc 
Bracco Diagnostics Inc
Bracco International BV
Bracco Research SA
Braden Manufacturing
Braden Steel Corporation
Bradford Company
Bradford Industries Inc
Bradigan Wildlife Feeds Inc
Bradley Fixtures Corporation
Brady Worldwide Inc
Braeburn Systems LLC
Brain Games LC
Brain Power Incorporated
BrainGate Co LLC
Bram GmbH
Brammall Inc
Brammo Inc
Brandeis University
Brandels University
Brandenberg Energy Corporation
Branderscom
Brandt & Associates Inc
Brandt-Pra Inc
Braner USA Inc
Branhaven LLC
Branson Ultrasonics Corporation
Braskem America Inc
BrassCraft Manufacturing Company
Brasscorp Limited
Brasstech Inc
Braun Aktiengesellschaft
Braun GmbH
Braun Intertec Geothermal LLC
Bravo Sports
Bray International Inc
Break Through Technologies Inc
Brecis Communications
Bredt-Kat Inc
Breed Automotive Technology Inc
Breg Inc
Brehk Ventures
Brehon Energy PLC
Breitweiser Music Technology Inc
Brell Mar Products Inc
Brembo SpA
Bren-Tronics Batteries International LLC
Bren-Tronics Inc
Breneman Inc
Brennen Medical Inc
Brentwood Industries Inc
Breslow Morrison Terzian & Associates Inc
Bretford Manufacturing
Brett Enterprises Inc
Bretza Ltd
Breville Pty Ltd
Brevium Inc
Brewer Science Inc
Bricmont & Associates Inc
Bricmont Inc
Bridge Semiconductor Corporation
Bridge Wheel Company Inc
Bridgelux Inc
Bridgestone Corporation
Bridgestone/Firestone Inc
Bridgewave Communications Inc
Briggs and Stratton Corporation
Brigham and Women's Hospital
Bright Energy Storage Technologies LLP
Bright Microelectronics Inc
BrightSource Energy Inc
Brightfield Transportation Solutions Inc
Brightmail Incorporated
Brightscale Inc
Brijot Imaging Systems Inc
Brillian Corporation
Brilliant Arc
Brilliant Telecommunications Inc
Brillio LLC
Brimrose Corporation of America
Brinly-Hardy Co Inc
Brion Technologies Inc
Bristol - Myers Squibb Pharma Company
Bristol Myers Squibb
Bristol Myers Squibb Medical Imaging Inc
Bristol Myers Squibb Pharma Company
Bristol-Meyers Company
Bristol-Myers
Bristol-Myers Squibb Company
Bristol-Myers Squibb Medical Imaging Inc
Bristol-Myers Squibb Pharma
Bristol-Myers Squibb Pharma Inc
Bristol-Myers Squibb Pharmaceutical Research Institute-Seattle 
Brita LP
BriteSmile Inc
Britenstine Incorporated
Britewater International LLC
British Nuclear Fuels plc
British Technology Group USA Inc
Britt Tech Corporation
BroadOn Communications Corp
Broadband Innovations Inc
Broadband Royalty Corporation
Broadbent Spray Rentals
Broadbus Technologies Inc
Broadcom Corp
Broadcom Homenetworking Inc
Broadleaf Energy LLC
Broadley Technologies Corporation
Broadley-James Corporation
Broadlogic Network Technologies Inc
Broadway Industries Inc
Broadwing Corporation
Broan Manufacturing Co Inc
Brockway Glass Co Inc
Brod & McClung - Pace Co
Broit Light LLC
Broker Bio Spin Corporation
Bromac Enterprises a partnership
Bromma Inc
Bronco Oilfield Services Inc
Brookefield Hunter Incorporated
Brookhaven Science Associates LLC 
Brookhaven Technology Group Inc
Brooklyn College Research and Development Foundation
Brooklyn Union Gas Company
Brooks & Perkins Incorporated
Brooks Automation Inc
Brooks Rand Ltd 
Brookstone Company Inc
Brookstone Purchasing Inc
Brookville Equipment Corporation
Brotech Corporation
Brother International Corporation
Brother Kogyo Kabushiki Kaisha
Brown & Williamson Tobacco Corporation
Brown Boveri Corporation
Brown Boveri Turbomachinery Inc
Brown Company
Brown Newman LLC
Brown Oil Tools Inc
Brown Printing Company
Brown Technology Partnerships
Brown University
Brown University Foundation
Brown University Research Foundation
Browning Automatic Transmission
Browning-Ferris Industries of Ohio and Michigan Inc
Bruce Aerospace Inc
Bruder Healthcare Company
Brudgelux Inc
Bruin Biometrics LLC
Bruker AXS Inc
Bruker Biospin Corporation
Bruker Biospin GmbH
Bruker Daltonics Inc
Bruker Instruments Inc
Bruker Nano Inc
Brunel University
Brunswick Corp 
Brunswick Corporation
Brunswick Technologies Inc
Brunswick Valve & Control Inc
Brush Wellman Inc
Brusilow Enterprise LLC
Bryan Food Inc
Bryant Grinder Corporation
Bucher Hydraulics AG
Buck Institute for Research on Aging
Buck Rogers Mfg Co Inc
Buck Stove Corporation
Bucket All LLC
Buckman Laboratories Inc
Buckman Laboratories International Inc
Bucyrus Equipment Co Inc
Budapesti Muszaki Egyetem
Buell Industries Inc
Buffalo Filter LLC
Buford Biomedical Inc 
Building Envelope Innovations LLC
Building Materials Investment Corporation
Building Turbines Inc
Bulk Handling Systems Inc
Bulk Tank Inc
Bulkmatic Transport Company
Bull HN Information Systems Inc
Bull SA
Bulldog Software LLC
Bullet Enterprises LLC
Bulova Technologies LLC
Bulova Watch Company Inc
Buna Sow Leuna Olefinverbund GmbH
Bundy Corporation
Bundy Environmental Technology Inc
Bunge Amorphic Solutions LLC
Bunge Oils Inc
Bunker Plastics Inc
Bunker Ramo Corporation
Bunn-O-Matic Corp
Bunn-O-Matic Corporation
Bunting Magnetics Co
Burgess-Norton Mfg Co Inc
Burke Inc
Burle Technologies Inc
Burleigh Instruments Inc
Burlington Bio-Medical and Scientific Corporation
Burlington Industries Inc
Burndy Technology LLC
Burnham Institute for Medical Research
Burnham Properties Corporation
Burnham Service Company Inc
Burning Glass Technologies LLC
Burr-Brown Corporation
Burr-Brown Research Corporation
Burron Medical Inc
Burroughs Corp
Burroughs Corporation
Burroughs Wellcome Co
Burstein Laboratories
Burstein Technologies Inc
Burtest Products Corp
Burton Energy and Solar Technology Inc
Burton Mechanical Contractors
Busek Co Inc
Bush Industries Inc
Bushland Hancock Enterprises LLC
Business Objects SA
Butamax (TM) Advanced Biofuels LLC
Butamax(TM) Advanced Biofuels LLC
Butler Associates
Butler Manufacturing Company
Butterworth Jetting Systems Inc
Butterworth Systems Inc
Butts Propertties Ltd
Buzzi Unicem USA Inc
By-Product Solutions Inc
Bybee Power LLC
Byk Gulden Lomberg Chemische Febrik GmbH
Bylin Heating Systems Inc
Byogy Renewables Inc
Byrd Electronics Corp
Byung II Ham & In Sook Ham Trustees Ham Fam Trust
C & C Enterprises Inc
C & D Charter Power Systems Inc
C & D Waste Ltd
C & H Services of North Georgia LLC
C & K Components Inc
C & K Systems Inc
C & S Associates
C B Kaupp & Sons Inc
C Crane Company Inc
C Cretors & Company
C D Searle & Co
C E Mehoff & Co
C F Braun & Co
C L Frost & Son Inc
C P Films Inc
C P Manufacturing Inc
C R Bard Inc 
C Sixty Inc
C Van Der Lely NV 
C&D ZODIAC INC
C&J Spec-Rent Services Inc
C-Cube Microsystems 
C-I-L Inc
C-M Glo LLC
C-Marine Dynamics Inc
C-One Technology Corporation
C-Quest Technologies LLC
C-Tec Inc
C-Tech Industries Inc
C-Thru Industries Inc
C4 Marketing Ltd
CA Global Express LLC
CA Inc
CA Schroeder Inc
CA State University Long Beach Foundation 
CADlink Technology Corporation
CAE Electronics Ltd
CAE Ransohoff Inc
CAMBRIDGE ENTERPRISE LIMITED
CARBO Ceramics Inc
CARBONXT INC
CASCO Manufacturing
CATCHER TECHNOLOGY CO LTD
CATHETER ROBOTICS INC
CAVENDISH KINETICS INC
CB Worldwide Inc
CBL Technologies Inc
CBR Institute for Biomedical Research
CBS Interactive Inc
CBS LENS a California general partnership
CBT Flint Partners
CCI Power Supplies LLC
CCI Spectrum Inc
CCL Industries Inc
CCP Composites
CCS Inc
CCS Technology Inc
CCW Breakaways LLC
CD High Technology
CD Medical Inc
CDA Processing Limited Liability Company
CDC Chemical Corporation
CDC Partners
CDI Bioscience
CDM Optics Inc
CDM Smith Inc
CDP Product Development Corporation
CDX Gas LLC
CE Composites Baseball Inc
CE Healthcare Bio-Sciences Corp
CE Niehoff & Co
CE Nuclear Power LLC
CEA Carter-Day Company
CEAG Electric Corp
CEL-SCI Corporation
CELL SIGNALING TECHNOLOGY INC
CELLTRION INC
CELONOVA BIOSCIENCES INC
CEM Enterprises 1 LLC
CENTER FOR QUANTITATIVE CYTOMETRY
CENTRAL GARDEN & PET COMPANY
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE
CERCO LLC
CERESInc
CERION LLC
CESI-Tech Technologies Inc
CFC Reclamation and Recycling Service Inc
CFD Research Corporation
CFK Engineering Company
CGGVERITAS SERVICES SA
CH Guernsey & Company
CH2M Hill Inc
CH2M Hill Industrial Design & Construction Inc
CHA Industries
CHAPIN MANUFACTURING INC
CHECK POINT SOFTWARE TECHNOLOGIES LTD
CHECKERS INDUSTRIAL PRODUCTS LLC
CHECKPOINT SYSTEMS INC
CHEMTRON RESEARCH LLC
CHF Solutions Inc
CHI Development Mgmt Ltd III LLC
CHROMEDX CORP
CI4 Technologies Inc
CIAS Inc
CIEA International Inc
CIMA Nanotech Inc
CIP Corporation
CISCO SYSTEMS INC
CITY UNIVERSITY OF HONG KONG
CIW Enterprises Inc
CJP IP Holdings Ltd
CJS Enterprises Inc
CK Witco Corporation
CL Solutions LLC
CLARIFICATION TECHNOLOGY INC
CLEAN DIESEL TECHNOLOGIES INC
CLEAN HARBORS ENERGY AND INDUSTRIAL SERVICES CORPORATION
CLEANALERT LLC
CLEARSIGN COMBUSTION CORPORATION
CLEVEREX SYSTEMS INC
CLMP Inc
CLOUD PHYSICS INC
CLOVER HILL HEALTHCARE INC
CLOVER TECHNOLOGIES GROUP LLC
CM Wright Inc
CMC ICOS BIOLOGICS INC
CMC Steel Fabricators Inc
CMI TEREX Corporation
CMI-Schneible Company
CML Innovative Technologies
CML International SpA
CMR Enterprises Inc
CMS Gilbreth Packaging Systems Inc
CMS TECHNOLOGIES HOLDINGS INC
CMT Industries Inc
CMY Associates LLC
CNET Networks Inc
CNH America LLC
CNH Canada Ltd
CNH France SA
CNH Industrial America LLC
CNK CO LTD
CNRS
