Crystal River Industries Inc
Crystal Semiconductor
Crystal Semiconductor Corporation
Crystal Solar Inc
Crystal Solar Incorporated
Crystal Systems Inc
Crystallume
Crystallume Corporation
Crystalplex Corporation
Crystaphase International Inc
Crystaphase Products Inc
Csub2 F Investment Company
Cubic Corporation
Cubic Defense Systems Inc
Cubiq Inc
Cubist Pharmaceuticals Inc
Cue Inc
Cues Inc
Cuisinarts Inc
Culchrome LLC
Culligan International Company
Cullom Machine Tool & Die Inc
Cummins Electronics Company Inc
Cummins Engine Company Inc
Cummins Engine Inc
Cummins Power Generation IP Inc
Cummins-Allison Corp 
Cumulus Fibres Inc 
Cunningham Electronics Corporation
Cuno Inc
Cuno Incorporated
Cup Snap Co
Cura Vac Inc
CuraGen Corporation
Curators of the University of Michigan
Curbside Container Company LLC
Curis Inc
Curlin Medical Inc
Current Communications Services LLC
Currie Technologies Incorporated
Curt G Joa Inc
Curtin University of Technology
Curtis Industries a division of Powers Holatings Inc
Curtis Instruments Inc
Curtis Manufacturing Company Inc
Curtiss-Wright Controls Inc
Curtiss-Wright Electro-Mechanical Corporation
Curtiss-Wright Flow Control Corporation
Curwood Inc
Cushcraft Corporation
Cusolar Industries Inc
Custer Products Incorporated
Custom Chrome Inc
Custom Electronics Inc
Custom Engineered Materials Inc
Custom Molded Products Inc
Custom Plastics Inc
Custom Spine Inc
Custom-Bilt Machinery Inc
Cutera Inc
Cutler Repaving Inc
Cutler-Hammer
Cutter Laboratories Inc
Cutting Edge Optronics Inc 
CyDex Inc
CyTerra Corporation
CyberOptics Corporation
Cyberlock LLC 
Cybermedic Inc
Cybernet Haptic Systems Corporation
Cybernet Systems Corporation
Cyberonics Inc
Cyberwerks Interactive LLC
Cycle-Therm
Cyclean Inc
Cyclics Corporation
Cyclone Power Technologies Inc
Cyclone Technologies LLLP
Cyclops Corporation
Cyclos Semiconductor Inc
Cycolor Inc
Cygnus Inc
Cygnus Therapeutic Systems
Cymatics Laboratories Corp
Cymbiotics Inc
Cymer Inc
Cymer LLC
Cymer Laser Technologies
Cynosure Inc
Cyntec Company
Cyntrust Communications Inc
Cypress Semiconductor
Cypress Semiconductor Corp
Cyprus Amax Minerals Company
Cyprus Foote Mineral Company
Cyprus Minerals Company
Cyrix Corporation
Cytec Surface Specialties SA
Cytec Technology Corp 
Cytel Corporation
Cytex Therapeutics Inc
Cytimmune Sciences Inc
CytoLogix Corporation
CytoMed Inc
CytoTherapeutics Inc 
Cytochroma Inc
Cytoclonal Pharmaceutics Inc 
Cytognomix Inc
Cytograft Tissue Engineering Inc
Cytokine Pharmasciences Inc
Cytomatrix LLC
Cytonix LLC
Cytonome Inc
Cytonome/ST LLC
Cytori Therapeutics Inc
Cytosignal
Cytotherm LP
Cytovera Inc
Cytran Inc
Cytyc Corporation
D & D Manufacturing
D & J Filtration Systems
D & R Recyclers Inc
D & S Technologies Inc 
D G Shelter Products Company
D Halmi and Associates Inc
D M E Corporation
D M Scott & Sons Company
D R Sperry & Co
D&D Emulsions Inc
D&M Investments
D-A Lubricant Company Inc
D-Box Technologies Inc
D-Cube Wind Technologies LLC
D-Link Corporation
D-Wave Systems Inc
D-Z INC
D4D Technologies LLC
DAELIM INDUSTRIAL CO LTD
DAISHINKU CORPORATION
DANA LIMITED
DAX Industries Inc
DAYCO IP HOLDINGS LLC
DB Electronics Inc
DBC Technology Corp
DC Energy LLC
DC Water & Sewer Authority
DCA Food Industries Inc
DCG SYSTEMS INC
DCV Inc
DDK Ltd
DE Dietrich Process Systems GmbH
DEC International Inc
DECA Technologies Inc
DEEPSEA POWER & LIGHT INC
DEKA Products Limited Partnership
DEL MONTE FRESH PRODUCE
DELTA T CORPORATION
DENSO International America Inc
DERINGER-NEY INC
DERMA DREAM GROUP LTD
DFB Pharmaceuticals Inc
DFHS LLC
DH Technologies Development Pte Ltd
DH Technology Inc
DHPC TECHNOLOGIES INC
DI-Coat Corporation 
DIC Corporation
DIGITALOPTICS CORPORATION MEMS
DISCOVERYBIOMED INC
DISH NETWORK LLC
DITTO LABS INC
DIVX LLC
DJ LaRue Enterprises Inc
DJO LLC
DJS&T Limited Partnership
DME Corporation
DMI BioSciences Inc
DMX Inc
DMetrix Inc
DNA Plant Technology Corporation
DNA Polymerase Technology Inc
DNA Twopointo Inc
DNA20 INC
DNAmicroarray Inc
DNIC Brokerage Company
DNX Biotherapeutics 
DPD Inc
DPH Arms Inc
DPHI Acquisitions Inc
DPSS Lasers Inc
DREAMWELL LTD
DRI-STEEM Corporation
DRISCOLL STRAWBERRY ASSOCIATES INC
DROPBOX INC
DRS FPA LP
DRS Network & Imaging Systems LLC
DRS RSTA Inc
