"lookup_firm","mean_i2017y"
"Medtronic Vascular",15.8722222222222
"Merck Patent",2.6613475177305
"MERCK SHARP & DOHME CORP",1.38542510121457
"Meso Scale Technologies",25.3793103448276
"Met Tech",1.16666666666667
"Metabolix",17.7094594594595
"Meyer Tool",7
"Michelin Recherche et Technique SA",2.64050822122571
"Michigan Biotechnology Institute",14.4545454545455
"Micro Cooling Concepts",0
"Microchip Technology",9.35410334346505
"Microchips Biotech",0
"MicroContinuum",5.14285714285714
"MicroLink Devices",10.1875
"Micron Technology",15.032670511838
"Microsemi SoC",0.266666666666667
"MICROSOFT TECHNOLOGY LICENSING",0.588035926114218
"Microsurge",57.2678571428571
"Midori USA",0.333333333333333
"Midrex Technologies",6.63157894736842
"MIETAMARK GENETICS",0
"MILLENIUM SYNTHFUELS",0
"Milliken & Company",5.40826245443499
"Minebea Co",4.87661141804788
"Mintera",12.7007299270073
"MirTech",6.08695652173913
"Mission Product Holdings",0
"Mitsubishi Electric",1.31452001929571
"Mitsubishi Metal",7.99850523168909
"Mitsubishi Polyester Film",5.63679245283019
"Molecular Imprints",12.3641025641026
"Molecular Rebar Design",0.0833333333333333
"Momentive Performance Materials",2.15242494226328
"Monarch Power Corp",0.333333333333333
"Monolithe Semiconductor",0.375
"MonoSol",8.72881355932203
"Monsanto Technology",6.84067136949647
"MONTEREY RESEARCH",0
"Morpho",1.86885245901639
"Moxtek",18.9901960784314
"Mumetel",0
"Murata Manufacturing Co",5.01903864278982
"Musco",10.3942857142857
"mVerify",14.5170454545455
"Nalco Company",3.10471204188482
"Nanao",26.0588235294118
"NANO CELL SYSTEMS",0
"Nano Technics Company",0
"NANOBIO",1.8
"Nanoco Technologies",4.16326530612245
"nanoComposix",4.8
"Nanocopocia",0
"NanoGram",14.8214285714286
"Nanoholdings",0.3
"NanoLab",10.6470588235294
"NanoMech",0.925925925925926
"Nanomix",10.7179487179487
"NanoOncology",0
"NANOPHARMACEUTICALS",2.125
"NANOPHTHALMICS",0
"Nanoquantum Sciences",1.4
"Nanoridge Materials",3
"Nanospectra Biosciences",9.66666666666667
"Nanostatics",0.5
"Nanosys",23.6543209876543
"Nanotech Biomachines",0
"NanoTech Lubricants",0
"Nanotek Instruments",12.0774193548387
"Nant Holdings IP",4.32098765432099
"Nantero",16.9551020408163
"National Education",51.75
"Nationwide Children's Hospital",0.897435897435897
"NCC Nano",1.52941176470588
"NEC",10.8980319987982
"Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO",3.81801125703565
"NeoPhotonics",3.60714285714286
"NeoVision",78.3
"Nestec S A",7.13636363636364
"NetApp",5.54460719041278
"Neumedicines",0.142857142857143
"NeuMoDx Molecular",1.15384615384615
"Neural Signals",2
"Neutronic Perpetual Innovations",2.33333333333333
"New England Biolabs",4.8804780876494
"New Technology Ventures",2.2
"Newdoll Enterprises",11.6
"NEWFIELD THERAPEUTICS",0
"Newlans",6.64285714285714
"Newport",12.0508474576271
"Nexcom Technology",18.8541666666667
"NGK Spark Plug Co",6.71032132424537
"NICHIA",6.42132269099202
"Nikon",10.7758741749754
"Nippon Chemi-Con",5.50485436893204
"Nippon Shokubai Co",5.79674796747967
"Nissan Motor Co",9.94210923735213
"Nissan North America",1.62060889929742
"nLIGHT",0.142857142857143
"NLT TECHNOLOGIES",2.08982035928144
"NOK",6.85443037974684
"Nokia",10.7078557450377
"Nokia Technologies Oy",0.263504611330698
"Nokomis",3.5625
"Nordic Technologies",13
"Nordson",12.3571428571429
"Northrop Grumman Systems",2.09770114942529
"Northwest Biotherapeutics",5.76923076923077
"NOVA Chemicals (International) SA",4.37967914438503
"NOVA PANGAEA TECHNOLOGIES LIMITED",2
"Nova Technologies",15.953125
"Novartis AG",5.54463642908567
"NovaSolix",0.5
"Novellus Systems",19.9636563876652
"Novon",3.53125
"Novozymes",1.24555160142349
"Novozymes A/S",3.28518971848225
"Novozymes North America",1.3469387755102
"Novus Energy",4
"Novus Technology",0
"Nthdegree Technologies Worldwide",3.65909090909091
"NuOrtho Surgical",9.92307692307692
"Nutech Ventures",0.58
"Nvidia",6.48065948002536
"NXP USA",0.0717821782178218
"OAS Design Group",0
"OBI",3
"Oceanit Laboratories",6.47222222222222
"Oculus VR",0.36
"OFS Fitel",2
"Ojai Retinal Technology",0
"Oki Data",2.86062941554271
"OLYMPUS",5.17261774370208
"Olympus NDT",0.967213114754098
"OmniVision Technologies",3.20116618075802
"Omron",9.52204176334107
"One Earth Designs",0.5
"Opel Solar",0.333333333333333
"OPTERRA ENERGY SERVICES",0
"Optodot",1.45
"Oracle",10.9717663666843
"OrbusNeich Medical",6.475
"Ormat Technologies",8.23943661971831
"Ormet Circuits",1.42857142857143
"Ortho-Clinical Diagnostics",3.42857142857143
"OSI Optoelectronics",4.125
"Osram Sylvania",5.78093492208983
"Ostendo Technologies",5.60526315789474
"OTSUKA PHARMACEUTICAL CO",5.25090909090909
"Ovonic Battery Company",13.9369369369369
"Owens-Brockway Glass Container",3.92619926199262
"PACCAR",9.71847507331378
"Pacific Biosciences of California",8.2914798206278
"Pacific Industrial Development",0
"Pacific Light Technologies Corp",0.315789473684211
"Palo Alto Research Center",4.33404558404558
"Panasonic Intellectual Property Management Co",0.210939615488763
"Panasonic Intellectual Property of America",0.977055449330784
"Pansonic",2.29381750712345
"Paratek Pharmaceuticals",13.6029411764706
"Pardev",0
"Parion Sciences",19.984375
"Parker-Hannifin",10.6186131386861
"PAX Scientific",10
"PDF Solutions",18.5294117647059
"Pegatron",12.5926680244399
"Pelican Imaging",34.6046511627907
"PELLION TECHNOLOGIES",0.25
"Pendar Technologies",1
"Pentair Thermal Management",0
"Pentron Clinical Technologies",4.97674418604651
"Performance Plants",5.25
"Perkinelmer Holdings",0
"PeterBrod Corp",0
"PetraSolar",14.375
"Peytant Solutions",1
"Pfizer",7.76245804286083
"Pharmatrophix",0
"Pharmion",8.8375
"Philip Morris USA",4.73831775700935
"Phillips 66 Company",2.73099415204678
"Phoseon Technology",2.55384615384615
"Photon Dynamics",17.1168831168831
"Piksel",1.28571428571429
"Pinnacle Technology",20.5714285714286
"Pioneer Energy",12.0740740740741
"Pioneer Hi Bred",1.83300198807157
"Pixar",5.88501742160279
"Pixelligent Technologies",4.54545454545455
"Plant Sensory Systems",0
"Plasma Tech Holdings",0
"Plasma-Therm",7.69565217391304
"PLEX",3.85185185185185
"PluroGen Therapeutics",0.666666666666667
"PLYCEM USA",0
"PNM",23.3076923076923
"POET Research",2.55384615384615
"POLAR LIGHT TECHNOLOGIES AB",0
"Polaris Products",0
"Poly-Med",10.2900763358779
"PolyOne",1.07692307692308
"PolyPlus Battery Company",47.1123595505618
"Polysar",14.4
"PortaFire",3.42857142857143
"POSiFA MICROSYSTEMS",0
"Power Integrations",11.3204134366925
"PPG Industries Ohio",13.7146609360076
"PQ",19.0604594921403
"Praxair ST Technology",9.11888111888112
"Praxair Technology",9.88598574821853
"Precision Custom Coatings",2
"Previvo Genetics",1.28571428571429
"Princeton Optronics",3.75
"Production Resource Group LLC",2.29012345679012
"Professional Compounding Centers of America",4.25
"ProNAi Therapeutics",57.4285714285714
"Propagation Research Associates",0.142857142857143
"Prosoft",5.42857142857143
"Proterra",5.88679245283019
"Proton Power",9.60606060606061
"PTC Therapeutics",6.21100917431193
"Pulse Therapeutics",3.14285714285714
"Pyrexar Medical",0
"QD Vision",4.64406779661017
"Qiagen",6.2485549132948
"QUALCOMM",7.3970900951315
"QUALCOMM MEMS Technologies",8.58404074702886
"Quallion",15.6605504587156
"Qualsig",0
"Quantapore",1
"Quantum Devices",32.8125
"Quantum Materials",29.5454545454545
"QuantumScape",0.0555555555555556
"Quest Diagnostics Investments",2.4037558685446
"QUSWAMI",0
"RA Miller Industries",3.46666666666667
"RADIANCE SOLAR",1
"Rapamycin Holdings",0
"Raytheon BBN Technologies Corp",2.76878612716763
"Raytheon Company",9.40081452570847
"Rebellion Photonics",1.25
"Red Hat",2.26312292358804
"Redwood Systems",4.64
"Regeneron Pharmaceuticals",5.2981220657277
"Reliance Controls",6.55670103092783
"Relypsa",2.25925925925926
"Renesas Electronics",1.25387115274326
"Renewable Algal Energy",0.5
"Renewable Opportunities",0
"Renewable Power Conversion",1.4375
"Renmatix",1.35714285714286
"RenovaCare Sciences Corp",0.5
"RES USA",0.206896551724138
"Research Triangle Institute",13.4448818897638
"Revera",5.90476190476191
"Revivicor",1.25
"Reynolds Technologies",2.83333333333333
"RF Micro Devices",12.1061093247588
"Rhodia Operations",0.527932960893855
"Richtek Technology ROC",1.17343173431734
"Ricoh Company Limited",8.41869493803195
"Rillito Rive Solar",1.5
"Rima Enterprises",10.1666666666667
"RINAT NEUROSCIENCE CORP",8.02777777777778
"Rio Grande Valley Sugar Growers",0
"Riverbed Technology",6.16582914572864
"RJ Reynolds Tobacco Company",21.9906687402799
"Robert Bosch",6.94764188649081
"Roche Diabetes Care",0.136363636363636
"Roche Diagnostics",32.5973451327434
"Roche Innovation Center Copenhagen A/S",0.0909090909090909
"Roche Molecular Systems",6.74143302180685
"Rockwell Automation Technologies",6.83647058823529
"Rockwell Collins",11.0289052890529
"Rohm and Haas Chemicals",0
"Rohm and Haas Company",9.77411258515597
"Rohm and Haas Electronic Materials",2.93388429752066
"Roho",11.7673267326733
"Roll-N-Lock",11
"Rolls-Royce North American Technologies",0.777777777777778
"Rolls-Royce PLC",6.86166174609869
"ROM",6.8391959798995
"Rosemount Aerospace",8.44444444444444
"RP Scherer Technologies",4.88235294117647
"Ruse Technologies",4.09606986899563
"S C Johnson & Son",19.9314586994728
"S&S X-Ray Products",12.8636363636364
"SABIC GLOBAL TECHNOLOGIES BV",0.239482200647249
"SAE Magnetics (HK)",5.06960227272727
"Sagacious Investment Group LLC",1
"SAINT-GOBAIN ABRASIFS",1.61162079510703
"Saint-Gobain Adfors Canada",0.0588235294117647
"Saint-Gobain Ceramics & Plastics",2.74617737003058
"Saint-Gobain Performance Plastics",3.77472527472527
"Samsung Corning Precision Materials Co",0.593220338983051
"SAMSUNG DISPLAY CO",0.42750571531705
"Samsung Electro-Mechanics Co",3.58517618469016
"Samsung Electronics",7
"Samsung Electronics Co",5.01349330058413
"Samsung SDI Co",1.90450928381963
"Sandia",15.7007099945385
"SanDisk 3D",11.2762762762763
"SanDisk Technologies",2.62926061877294
"Sangamo BioSciences",10.8993710691824
"Sanken Electric Co",6.31354359925789
"Sanofi",5.21046228710462
"Santoku",5.375
"Sanuvox Technologies",26.2307692307692
"Sanyo Electric Co",9.0661443616748
"Sarepta Therapeutics",7.91111111111111
"SB ENERGY",0
"SC Johnson & Son",7.78938053097345
"Schlumberger Technology",12.4779589371981
"Schneider Electric Solar Inverters USA",0.25
"Schneider Electric USA",3.69633507853403
"SCHOTTKY LSI",1.5
"Scientific Design Company",7.09195402298851
"SD Technologies",6.97647058823529
"SDCmaterials",17.6571428571429
"SEaB Energy Holdings",2.33333333333333
"Seagate Technology",8.81163812698894
"SEEK THERMAL",0
"Seetron",2.6
"Seiko Epson",6.32825478612357
"Seiko Instruments",5.19889502762431
"SEIKO NPC",6.42857142857143
"Selas Heat Technology Company",0
"Selecta Biosciences",8.88888888888889
"Selkermetrics",0
"SELMAN AND ASSOCIATES",2.79310344827586
"Semiconductor Components Industries LLC",3.27944111776447
"Semiconductor Energy Laboratory Co",14.4217052937655
"Semiconductor Manufacturing (Shanghai)",0.64292980671414
"Semics",0.5
"Semileds Optoelectronics Co",3.19444444444444
"Semprius",19.8846153846154
"Senaya",0.7
"Senga Advisors",4
"Sensor Electronic Technology",4.70886075949367
"Sensor-Kinesis",0
"SeQual Technologies",45.36
"Sequenom",57.3852459016393
"ServiceNow",0.266666666666667
"Sharp Kabushiki Kaisha",9.43538599546198
"Sharp Laboratories of America",12.146835443038
"Shell Oil Company",18.8677744638546
"Shenzhen China Star Optoelectronics Technology Co",0.186790505675955
"Shimadzu",5.66347777152504
"Shin-Etsu Chemical Co",5.88797557538751
"Shoals Technologies Group",1.16666666666667
"SHOW ME ENERGY",0
"Shubin",2
"Sick AG",3.41590214067278
"SICPA Holding SA",3.25179856115108
"Siemens",13.3225806451613
"Siemens Aktiengesellschaft",8.40908555035957
"Siemens Energy",2.64132553606238
"Siemens Industry",2.26564885496183
"Siemens Medical Solutions USA",5.10041103934234
"Sienna Biopharmaceuticals",0.833333333333333
"Sienna Labs",15.25
"Sierra Sciences",1.66666666666667
"Sigma-Aldrich Co",4.78350515463918
"Sigmatel",8.16593886462882
"SII Semiconductor",0.735294117647059
"Sila Nanotechnologies",0
"Silicon Genesis",44.0909090909091
"Silicon Space Technology Corp",4.18181818181818
"Silicon Storage Technology",13.4805194805195
"Siliconware Precision Industries Co",16.2007575757576
"Silicor Materials",1.31818181818182
"Siluria Technologies",5.14814814814815
"Sima Therapeutics",6.41666666666667
"Simbol",1.8
"Simple Approach Systems",0
"Sinewatts",0
"Singular Bio",0.4
"Singulex",5.72222222222222
"Sinton Consulting",13.3333333333333
"Sion Power",9.72131147540984
"Sirnaomics",0
"SixPoint Materials",1.73076923076923
"SK Hynix",0.366115702479339
"SK Telecom Co",2.8828125
"Smart Planet Technologies",0.666666666666667
"Smith &#x26; Nephew",30
"SNS NANO FIBER TECHNOLOGY",0
"SOL-ELECTRICA",0
"Sola USA",13.3333333333333
"SolaBlock",0
"SolAero Technologies Corp",0.869565217391304
"Solaire Generation",1
"Solan",1.95
"Solar Junction",0.619047619047619
"Solar Tectic",0.875
"SolarCity",4.06796116504854
"Solaris Holdings Limited",0.333333333333333
"SolarLego",1
"Solarmer Energy",2
"SolarReserve Technology",0
"SOLARTONIC",0
"SolarWorld Americas",0
"SOLAZYME",11.984126984127
"SOLENA FUELS",0
"Solexel",10.2647058823529
"Solight Solar",0
"Soliton Lasers",0
"Solutia",5.17647058823529
"Solvay Specialty Polymers USA",0.0666666666666667
"SonoGene LLC",1
"Sony",8.57201176819395
"Sony Interactive Entertainment",0.168831168831169
"Sophoro Biotechnologies",0
"Soraa",17.75
"Soraa Laser Diode",2.38888888888889
"Southwest Research Institute",12.1383577052868
"SPC",4.47058823529412
"SPICE SOLAR",1
"SRG Global",3.125
"St Jude Medical",25.0741525423729
"St Microelectronics",11.375
"Stablcor Technology",2.25
"STANDARD ALCOHOL COMPANY OF AMERICA",4.33333333333333
"Stanley Electric Co",8.31627430910952
"Star Technology and Research",4
"Starlight Energy Holdings",0
"Starsource Scientific",0
"STATS ChipPAC",4.049902786779
"STMicroelectronics Limited",4.91071428571429
"STMicroelectronics SA",5.62570938366108
"Stora Enso Oyj",1.08641975308642
"Stratasys",21.830985915493
"Strategic Solar Energy",0.5
"Suganit Systems",8.33333333333333
"Sumco",2.56315789473684
"Sumitomo Electric Device Innovations",0.363013698630137
"Sumitomo Electric Industries",8.2213397272591
"Sumitomo Rubber Industries",8.68103847936949
"SUMITOMO WIRING SYSTEMS",5.85602094240838
"Sun Chemical",6.9020618556701
"Sun Drilling Products",9.27777777777778
"Sun Synchrony",1.33333333333333
"Suncore Photovoltaics",1.27777777777778
"SunCulture Solar",0.5
"Sundrop Fuels",1.57142857142857
"SunEdison",0.1875
"SunEdison Semiconductor Limited",0.58974358974359
"Sungevity",10
"Sunlight Photonics",4.18181818181818
"SunLink",5.875
"SunPower",6.62982005141388
"SunRun",0
"Sunrun South",1.22222222222222
"SUNSALUTER",0
"Supremex",6.33333333333333
"Surebeam",12.0243902439024
"Sustainable Technologies",2.33333333333333
"Swagelok Company",8.61764705882353
"Sweetwater Energy",2.83333333333333
"Swift Engineering",2.5
"Symantec",9.38805970149254
"Synaptic Research",1.33333333333333
"Syngenta Participations AG",1.38002059732235
"Synopsys",10.1145695364238
"Synthetic Genomics",0.878048780487805
"Synthezyme",0.142857142857143
"SYNTHOMER USA",0
"Sysmex",6.28926174496644
"System Biosciences",1
"Taiwan Semiconductor Manufacturing Company",5.70291448996426
"Taiyo Ink Mfg Co",4.84920634920635
"Takara Bio",1.29268292682927
"Takeda Pharmaceutical Company Limited",1.59495548961424
"Tamura",2.32558139534884
"Tanaka Kikinzoku Kogyo KK",7.50810810810811
"Tarveda Therapeutics",0
"Tata Consultancy Services Limited",1.1294498381877
"Tau Therapeutics",0
"Taxon Biosciences",1.33333333333333
"TDK",8.35474609725462
"Teal Sales",6.33333333333333
"TECHNOLOGY RESEARCH",16.76
"TECNIUM",0
"Tekkware",0
"TEKNOR APEX COMPANY",6.65789473684211
"Tela Innovations",38.6969696969697
"Teledyne Scientific & Imaging",1.41911764705882
"Tensor",9.6046511627907
"Teradata US",3.56132075471698
"Terra Caloric",0
"TerraVia Holdings",0.357142857142857
"Tersus Environmental",0
"Tesla Nanocoatings",0
"Tessera",30.6192411924119
"Tessera Advanced Technologies",0
"TetraSun",0.545454545454545
"Texas Instruments",16.971659351947
"Texas Instruments Deutschland",7.47524752475248
"Texas Research",3.13793103448276
"The Babcock & Wilcox Company",10.6916140667268
"THE BOARD INSTITUTE",5.04651162790698
"The Boeing Company",8.95008885111643
"The Carbon Cable Company",1
"The Charles Stark Draper Laboratory",19.0210674157303
"The Eastern Co",5.52631578947368
"The Gates",6.05867970660147
"The Goodyear Tire & Rubber Company",7.90280612244898
"The Henry M Jackson Foundation for the Advancement of Military Medicine",6.41584158415842
"The Iams Company",6.76190476190476
"The Jackson Laboratory",6.97727272727273
"The Paymaster",2.33333333333333
"The Procter & Gamble Company",21.0640389387288
"The Samuel Roberts Noble Foundation",1.20408163265306
"THE SWEET LIVING GROUP",1
"TheGreenCell",0.666666666666667
"THEM",16.5230769230769
"Theraclone Sciences",0.6875
"Therapeutic Proteins",0.36
"Thermo Finnigan",5.20802919708029
"Thermo Fisher Scientific",1.77659574468085
"Thermorefinery Technologies",0
"Thermoretinary Technologies",0
"Thoratec",11.3006535947712
"Thorlabs",3.11904761904762
"Thorlabs Quantum Electronics",0.8
"Thorn Bioscience",6.55555555555556
"THYSSENKRUPP INDUSTRIAL SOLUTIONS",0.0612244897959184
"Ticona",3.96197718631179
"Tigo Energy",20.5283018867925
"TIME WARNER CABLE ENTERPRISES",1.61849710982659
"TMC",7.17275747508306
"Toda Kogyo",3.59336099585062
"Tokyo Electron Limited",9.67734664305265
"Tokyo Ohka Kogyo Co",5.02050113895216
"TOMOWAVE LABORATORIES",0
"Toray Industries",8.81155015197568
"Toray Plastics (America)",2.24468085106383
"Toshiba America Electronic Components",4.3968253968254
"Toshiba Tec Kabushiki Kaisha",2.8157394843962
"Tosoh",7.78783958602846
"Total Marketing Services",0.296296296296296
"Toyota Jidosha Kabushiki Kaisha",6.52848622550412
"Toyota Motor Engineering & Manufacturing North America",2.0732044198895
"TP Solar",1.625
"Traex",5.39130434782609
"TRANE",3.98550724637681
"Transilwrap Company",8.36363636363636
"Transitions Optical",23.6433566433566
"Transposagen Biopharmaceuticals",1
"Transtron Solutions",0.5
"Travis Industries",5.6
"TRI ALPHA ENERGY",0
"TRIDONIC & CO KG",0.212121212121212
"Triple Ring Technologies",0.964285714285714
"TRITON MICROTECHNOLOGIES",0
"Triune IP",3.12
"Truckee Applied Genomics",1
"True-Safe Technologies",0.5
"TT Technologies",15.8641304347826
"Tufts Medical Center",1.56666666666667
"Turf Group",0
"Turtle Beach",0.413793103448276
"Twitter",3.27777777777778
"Two Blades Foundation",0.333333333333333
"Tyco Electronics",8.52437223042836
"Tyco Electronics UK",3.69642857142857
"U S MICROPOWER",0.5
"Ube Industries",7.87539432176656
"UCB Pharma SA",1.55769230769231
"UChicago Argonne",1.84886649874055
"Uni-Charm",11.7632183908046
"Unifrax I",2.30952380952381
"UNISANTIS ELECTRONICS SINGAPORE PTE",2.0427807486631
"Uniseal Solutions",0
"Unistrut Corp",24.7142857142857
"United Microelectronics Corp",7.73826714801444
"United Technologies",12.0301639344262
"Unity Semiconductor",13.0338983050847
"Universal Display",9.41709844559585
"Universal Leaf Tobacco Co",4.78571428571429
"UOP",9.45510835913313
"US NUTRACEUTICALS",2.04347826086957
"US Smokeless Tobacco Company",8.2093023255814
"UT-Battelle",8.53953953953954
"UTC FIRE & SECURITY",0.896551724137931
"UVIC INDUSTRY PARTNERSHIPS",0.85
"UWM Research Foundation",3.26530612244898
"V35A Enterprises",0.5
"Vadient Optics",0.333333333333333
"Valicor",74.0625
"VALTED",0
"Varian Semiconductor Equipment Associates",3.18759689922481
"Vascular BioSciences",1.71428571428571
"Vaxiion Therapeutics",2.83333333333333
"VEECO PRECISION SURFACE PROCESSING",0
"Ventana Medical Systems",21.3139534883721
"Veracode",4.71428571428571
"Veracyte",0.75
"VERILY LIFE SCIENCES",0.842105263157895
"VERLASE TECHNOLOGIES",10
"Verliant Energy",0
"VIASAT",6.55600814663951
"VINDICO NANOBIO TECHNOLOGY",1
"Vindico NanoBioTechnology",0
"VINYLAST",0.75
"VIOLIN MEMORY",2.89285714285714
"Virent",7.02325581395349
"VivaLnk Limited (Cayman Islands)",0
"Vizio",0.413793103448276
"VMware",7.94895591647332
"Volterra Semiconductor",10.7448979591837
"Vorbeck Materials",4.46153846153846
"Voxtel",9.125
"W&Wsens Devices",0
"WADHAM ENERGY LP",0
"WAFERTECH",1.1
"Warsaw Orthopedic",14.327868852459
"Waters Technologies",1.2851711026616
"Watlow Electric Manufacturing Company",6.31967213114754
"Wave Energy Conversion of America",1
"WCA Group",0
"Weatherford Canada Partnership",4.95238095238095
"WELL Shield",1
"Wenger",11.8617886178862
"Wentworth Laboratories",40.9
"Western Digital (Fremont)",88.8988269794721
"Western Digital Technologies",52.3112377006732
"WestPoint Home",0
"WHATSAPP",0.666666666666667
"Wikipad",1
"Winbond Electronics Corp",7.84186046511628
"Winecom",12.4074074074074
"Wireless Environment",12.64
"WiSys Technology Foundation",2.71428571428571
"Wizard Labs",0
"Wostec",4.30769230769231
"WOVN",0
"Wyatt Technology",8.05555555555556
"X DEVELOPMENT",0.1171875
"Xenogenic Development Limited Liability Company",0
"Xerox",15.8350848082596
"Xintec",8.42281879194631
"Xyleco",5.44186046511628
"Yageo",10.3846153846154
"Yamaha",8.07040382571732
"Yeda Research and Development Co",11.2365470852018
"Yissum",14
"ZENA TECHNOLOGIES",9.70731707317073
"Zeno Semiconductor",21.1298701298701
"Zephyr Energy Systems",0
"ZIH Corp",8.93991416309013
"Ziptronix",21.9818181818182
"Zoetis Services",0.174603174603175
"ZON",2
"Zygo",9.98397040690505
"Zyvex Labs",5.58333333333333
