"lookup_firm","mean_i2017y"
"Bausch & Lomb",22.1627358490566
"BAXALTA",0.895104895104895
"Baxter",35.3123107971746
"Baxter Healthcare SA",7.02191780821918
"Bayer Cropscience AG",1.73352999016716
"Bayer Materialscience",1.86875891583452
"BCE",4.53254437869822
"Bechtel Hydrocarbon Technology Solutions",0
"Becton",94
"Beijing BOE Display Technology Co",0.0555555555555556
"Bell Helicopter Textron",4.97567567567568
"Bemis Company",12.4634146341463
"Bend Research",20.1972789115646
"BERKEN ENERGY",0.5
"Beryllium Discovery Corp",0
"Bestway",0.714285714285714
"BG Negev Technologies and Applications",3.875
"BHA Technologies",16.0757575757576
"Bi-Modal",12.4117647058824
"Big Belly Solar",0
"Bigelow Aerospace",2.34782608695652
"BIND Therapeutics",20.7666666666667
"Bio-Rad Laboratories",7.78974358974359
"Biocare Medical",3.66666666666667
"Biocon Limited",7.58730158730159
"Biogenic Reagents Ventures",0
"Biological Dynamics",5.71428571428571
"BioNano Genomics",2.625
"Bioneer",3.93877551020408
"Biosense Webster (Israel)",0.826815642458101
"Biosphere Medical",16.2758620689655
"Biotechnology Foundation",0
"bioTheranostics",8
"Biotta",0
"Biozoom Technologies",0.5
"Bird-B-Gone",4.22448979591837
"Bisco",27.3684210526316
"Bitrode",6.60526315789474
"BlackBerry Limited",1.10032282095853
"BLANC VINEYARDS LLC",0
"Blue Sea Systems",4.66666666666667
"Bluestar Silicones France",0.858585858585859
"BOE Technology Group Co",0.0916824196597354
"Boehringer Ingelheim",7.70982658959538
"Boehringer Ingelheim Vetmedica",4.91891891891892
"BOLTIER R&D",0
"Bosch Energy Storage Solutions",0
"Bostik",7.17073170731707
"Boston Scientific Neuromodulation",7.52733485193622
"Boston Scientific Scimed",11.2133668903803
"BP North America",6.76388888888889
"Braun Intertec Geothermal",0
"Brewer Science",10.722972972973
"Bridgelux",2.71808510638298
"Bridgestone",7.12253829321663
"Brightfield Transportation Solutions",0
"BRIGHTLEAF TECHNOLOGIES",0
"Bristol-Myers Squibb Company",10.1106890938687
"BROADCOM",5.44349796103308
"Brookhaven Science Associates",7.34256055363322
"BROOKLYN QUANTUM WORKS",0
"Brother",7.86666666666667
"Brother Kogyo Kabushiki Kaisha",4.13496677740864
"Bruin Biometrics",1
"BTPATENT",8.25
"BTU",13.1647058823529
"Buckman Laboratories",8.61256544502618
"Building Envelope Innovations",0
"Butamax(TM) Advanced Biofuels",12.0737704918033
"CA",4.80201649862511
"Cabot",19.1104651162791
"Cadence Design Systems",9.57775119617225
"Calient Technologies",1.05714285714286
"California Industrial Facilities Resources",0.4
"Callahan Cellular LLC",0.166666666666667
"Calysta",0
"Cambridge Electronics",1
"CAMBRIDGE ENTERPRISE LIMITED",2.26219512195122
"Canon",12.8414634146341
"Canon Kabushiki Kaisha",9.2876243248712
"Canon Nanotechnologies",0.192307692307692
"Canon US Life Sciences",2.01388888888889
"CAPAT",1.33333333333333
"CARBO Ceramics",11.09375
"Carbon3D",3.42857142857143
"Cardiac Pacemakers",23.690440515433
"Cardiva Medical",4.0625
"Carestream Health",3.06105263157895
"Caribou Biosciences",1.2
"Carl Zeiss Meditec AG",5.88915375446961
"Carl Zeiss Microscopy",0.30241935483871
"Carver Scientific",6.88888888888889
"Casio Computer Co",11.7583738906384
"Cavium",1.9265306122449
"Cbrite",5.38461538461539
"Cedar Ridge Research",18.9230769230769
"Celanese",12.6374305126621
"CellPrint IP Holding",0
"CELLTRION",2.58333333333333
"Cellular Research",4.54545454545455
"Centre de Recherche Industrielle du Quebec",14.9189189189189
"Ceramatec",12.0537634408602
"CERION",0.352941176470588
"Certain-teed",9.04524886877828
"Cetac Technologies",13.2830188679245
"Cetus",22.3426773455378
"Cheil Industries",1.76368491321762
"Chemtreat",2.32
"Chevron Oronitz Company",2.62650602409639
"Chevron Phillips Chemical Company LP",7.7770154373928
"Chevron USA",5.27997565429093
"Child Laboratories",8.32
"Chipmos Technologies",4.2896174863388
"Chiron",45.2709335899904
"Christie Digital Systems",1.06666666666667
"Chromalox",12.1052631578947
"Cima NanoTech Israel",2.09090909090909
"Cisco Technology",12.4013923013923
"Claret Medical",17.4722222222222
"Clean Energy Labs",0.235294117647059
"Cleanvantage",0
"Clearside Biomedical",1
"CLEARSIGN COMBUSTION",4.77142857142857
"CMC ICOS BIOLOGICS",0
"CNH Industrial America",0.4
"Coactive Drive",33.5
"Codexis",2.18957345971564
"Coleman Cable",21
"Colgate-Palmolive Company",13.9941250524549
"Coloplast A/S",6.63883495145631
"Columbia Insurance Company",3.4021164021164
"Combined Energies",0
"Commonwealth Scientific & Industrial Research Organization",9.30267753201397
"Community Power",1.66666666666667
"Complete Genomics",2.74
"Component Re-Engineering Company",0
"Conexant Systems",17.7573812580231
"Confluence Energy",0
"Conoco",10.8244985673352
"ConocoPhillips Company",5.12563667232598
"Continental Manufacturing",8.75
"Conversant Intellectual Property Management",0.591549295774648
"Cook Biotech",12.7835051546392
"COOK MEDICAL TECHNOLOGIES",2.16257408975445
"Cool Planet Energy Systems",0.692307692307692
"CoolEarth Solar",6
"Cooper Technologies Company",5.03947368421053
"Copernicus Therapeutics",1.25
"Coriant Advanced Technology",1
"Cornell Research Foundation",22.6210596914822
"Corporation for National Research Initiatives",26.2307692307692
"Courtagen Life Sciences",0.8
"COVERIS FLEXIBLES US",0
"Covidien LP",9.88458015267176
"CP KELCO APS",1.8
"CP Kelco US",3.6530612244898
"CPC",10.4814814814815
"CPT IP Holdings",0
"Cree",11.3257942918686
"Crepaco",13.4
"Crestovo",0.32258064516129
"Cristal USA",1.10714285714286
"Cross Match Technologies",17.5441176470588
"Crossbar",12.8310810810811
"Crystal Solar",0.714285714285714
"Crystalplex",0
"CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement",4.95522388059702
"CUMMINS FILTRATION IP",2.68571428571429
"Cura Vac",0
"Custom Electronics",0
"CYBERCITY 3D",0
"Cyberonics",64.614406779661
"CyboEnergy",0.5
"CYKL Technology",4.66666666666667
"Cymatics Laboratories Corp",0.333333333333333
"Cypress Semiconductor Corp",11.9520720720721
"D-Wave Systems",10.5325443786982
"Da Yu Enterprises LLC",3.5
"Daikin Industries",5.1637347767253
