count(p.id),lookup_firm
5926,"Raytheon Company"
4,"Rebellion Photonics"
1505,"Red Hat"
25,"Redwood Systems"
428,"Regeneron Pharmaceuticals"
105,"Reliance Controls"
27,Relypsa
5248,"Renesas Electronics"
4,"Renewable Algal Energy"
1,"Renewable Opportunities"
16,"Renewable Power Conversion"
28,Renmatix
2,"RenovaCare Sciences Corp"
29,"RES USA"
254,"Research Triangle Institute"
21,Revera
4,Revivicor
6,"Reynolds Technologies"
622,"RF Micro Devices"
358,"Rhodia Operations"
271,"Richtek Technology ROC"
20529,"Ricoh Company Limited"
2,"Rillito Rive Solar"
13,"Rima Enterprises"
36,"RINAT NEUROSCIENCE CORP"
1,"Rio Grande Valley Sugar Growers"
199,"Riverbed Technology"
20689,"Robert Bosch"
161,"Roche Diabetes Care"
468,"Roche Diagnostics"
11,"Roche Innovation Center Copenhagen A/S"
324,"Roche Molecular Systems"
1739,"Rockwell Automation Technologies"
1640,"Rockwell Collins"
1,"Rohm and Haas Chemicals"
2801,"Rohm and Haas Company"
484,"Rohm and Haas Electronic Materials"
237,Roho
3,Roll-N-Lock
135,"Rolls-Royce North American Technologies"
2376,"Rolls-Royce PLC"
499,ROM
256,"Rosemount Aerospace"
236,"Ruse Technologies"
874,"S C Johnson & Son"
1060,"SC Johnson & Son"
23,"S&S X-Ray Products"
319,"SABIC GLOBAL TECHNOLOGIES BV"
704,"SAE Magnetics (HK)"
3,"Sagacious Investment Group LLC"
343,"SAINT-GOBAIN ABRASIFS"
17,"Saint-Gobain Adfors Canada"
343,"Saint-Gobain Ceramics & Plastics"
191,"Saint-Gobain Performance Plastics"
59,"Samsung Corning Precision Materials Co"
8379,"SAMSUNG DISPLAY CO"
4203,"Samsung Electro-Mechanics Co"
2,"Samsung Electronics"
72139,"Samsung Electronics Co"
5302,"Samsung SDI Co"
1839,Sandia
666,"SanDisk 3D"
1952,"SanDisk Technologies"
159,"Sangamo BioSciences"
540,"Sanken Electric Co"
834,Sanofi
40,Santoku
13,"Sanuvox Technologies"
8238,"Sanyo Electric Co"
45,"Sarepta Therapeutics"
1,"SB ENERGY"
6649,"Schlumberger Technology"
8,"Schneider Electric Solar Inverters USA"
396,"Schneider Electric USA"
2,"SCHOTTKY LSI"
87,"Scientific Design Company"
87,"SD Technologies"
71,SDCmaterials
3,"SEaB Energy Holdings"
6659,"Seagate Technology"
6,"SEEK THERMAL"
5,Seetron
23298,"Seiko Epson"
2063,"Seiko Instruments"
35,"SEIKO NPC"
2,"Selas Heat Technology Company"
9,"Selecta Biosciences"
1,Selkermetrics
29,"SELMAN AND ASSOCIATES"
1513,"Semiconductor Components Industries LLC"
11757,"Semiconductor Energy Laboratory Co"
983,"Semiconductor Manufacturing (Shanghai)"
8,Semics
94,"Semileds Optoelectronics Co"
26,Semprius
10,Senaya
6,"Senga Advisors"
158,"Sensor Electronic Technology"
2,Sensor-Kinesis
26,"SeQual Technologies"
125,Sequenom
15,ServiceNow
19722,"Sharp Kabushiki Kaisha"
1975,"Sharp Laboratories of America"
7190,"Shell Oil Company"
1938,"Shenzhen China Star Optoelectronics Technology Co"
1825,Shimadzu
4273,"Shin-Etsu Chemical Co"
6,"Shoals Technologies Group"
1,"SHOW ME ENERGY"
3,Shubin
341,"Sick AG"
139,"SICPA Holding SA"
25875,"Siemens Aktiengesellschaft"
328,Siemens
1027,"Siemens Energy"
664,"Siemens Industry"
1703,"Siemens Medical Solutions USA"
12,"Sienna Biopharmaceuticals"
8,"Sienna Labs"
6,"Sierra Sciences"
99,"Sigma-Aldrich Co"
242,Sigmatel
102,"SII Semiconductor"
5,"Sila Nanotechnologies"
143,"Silicon Genesis"
11,"Silicon Space Technology Corp"
385,"Silicon Storage Technology"
534,"Siliconware Precision Industries Co"
22,"Silicor Materials"
27,"Siluria Technologies"
108,"Sima Therapeutics"
20,Simbol
2,"Simple Approach Systems"
1,Sinewatts
5,"Singular Bio"
18,Singulex
3,"Sinton Consulting"
61,"Sion Power"
3,Sirnaomics
26,"SixPoint Materials"
3632,"SK Hynix"
516,"SK Telecom Co"
3,"Smart Planet Technologies"
1021,"Smith &#x26; Nephew"
2,"SNS NANO FIBER TECHNOLOGY"
2,SOL-ELECTRICA
36,"Sola USA"
3,SolaBlock
39,"SolAero Technologies Corp"
9,"Solaire Generation"
60,Solan
21,"Solar Junction"
8,"Solar Tectic"
110,SolarCity
3,"Solaris Holdings Limited"
2,SolarLego
7,"Solarmer Energy"
4,"SolarReserve Technology"
1,SOLARTONIC
4,"SolarWorld Americas"
63,SOLAZYME
1,"SOLENA FUELS"
69,Solexel
1,"Solight Solar"
1,"Soliton Lasers"
189,Solutia
77,"Solvay Specialty Polymers USA"
3,"SonoGene LLC"
47276,Sony
312,"Sony Interactive Entertainment"
1,"Sophoro Biotechnologies"
162,Soraa
72,"Soraa Laser Diode"
895,"Southwest Research Institute"
24,SPC
1,"SPICE SOLAR"
8,"SRG Global"
488,"St Jude Medical"
16,"St Microelectronics"
5,"Stablcor Technology"
6,"STANDARD ALCOHOL COMPANY OF AMERICA"
993,"Stanley Electric Co"
4,"Star Technology and Research"
1,"Starlight Energy Holdings"
1,"Starsource Scientific"
1553,"STATS ChipPAC"
393,"STMicroelectronics Limited"
7635,"STMicroelectronics SA"
83,"Stora Enso Oyj"
228,Stratasys
2,"Strategic Solar Energy"
6,"Suganit Systems"
396,Sumco
146,"Sumitomo Electric Device Innovations"
6735,"Sumitomo Electric Industries"
2522,"Sumitomo Rubber Industries"
3184,"SUMITOMO WIRING SYSTEMS"
394,"Sun Chemical"
37,"Sun Drilling Products"
3,"Sun Synchrony"
23,"Suncore Photovoltaics"
2,"SunCulture Solar"
14,"Sundrop Fuels"
32,SunEdison
39,"SunEdison Semiconductor Limited"
2,Sungevity
33,"Sunlight Photonics"
17,SunLink
399,SunPower
1,SunRun
9,"Sunrun South"
1,SUNSALUTER
4,Supremex
95,Surebeam
3,"Sustainable Technologies"
141,"Swagelok Company"
6,"Sweetwater Energy"
4,"Swift Engineering"
2651,Symantec
12,"Synaptic Research"
1036,"Syngenta Participations AG"
1513,Synopsys
41,"Synthetic Genomics"
7,Synthezyme
2,"SYNTHOMER USA"
1688,Sysmex
2,"System Biosciences"
136,THEM
14570,"Taiwan Semiconductor Manufacturing Company"
126,"Taiyo Ink Mfg Co"
123,"Takara Bio"
674,"Takeda Pharmaceutical Company Limited"
95,Tamura
185,"Tanaka Kikinzoku Kogyo KK"
1,"Tarveda Therapeutics"
315,"Tata Consultancy Services Limited"
1,"Tau Therapeutics"
3,"Taxon Biosciences"
5646,TDK
3,"Teal Sales"
27,"TECHNOLOGY RESEARCH"
1,TECNIUM
2,Tekkware
59,"TEKNOR APEX COMPANY"
198,"Tela Innovations"
136,"Teledyne Scientific & Imaging"
59,Tensor
424,"Teradata US"
1,"Terra Caloric"
14,"TerraVia Holdings"
1,"Tersus Environmental"
2,"Tesla Nanocoatings"
740,Tessera
11,"Tessera Advanced Technologies"
11,TetraSun
304,"Texas Instruments Deutschland"
21496,"Texas Instruments"
29,"Texas Research"
1122,"The Babcock & Wilcox Company"
43,"THE BOARD INSTITUTE"
13080,"The Boeing Company"
1,"The Carbon Cable Company"
713,"The Charles Stark Draper Laboratory"
20,"The Eastern Co"
434,"The Gates"
6120,"The Goodyear Tire & Rubber Company"
102,"The Henry M Jackson Foundation for the Advancement of Military Medicine"
111,"The Iams Company"
44,"The Jackson Laboratory"
8,"The Paymaster"
13130,"The Procter & Gamble Company"
49,"The Samuel Roberts Noble Foundation"
8,"THE SWEET LIVING GROUP"
3,TheGreenCell
16,"Theraclone Sciences"
25,"Therapeutic Proteins"
277,"Thermo Finnigan"
95,"Thermo Fisher Scientific"
1,"Thermorefinery Technologies"
1,"Thermoretinary Technologies"
158,Thoratec
43,Thorlabs
11,"Thorlabs Quantum Electronics"
9,"Thorn Bioscience"
49,"THYSSENKRUPP INDUSTRIAL SOLUTIONS"
265,Ticona
53,"Tigo Energy"
346,"TIME WARNER CABLE ENTERPRISES"
320,TMC
241,"Toda Kogyo"
6433,"Tokyo Electron Limited"
884,"Tokyo Ohka Kogyo Co"
2,"TOMOWAVE LABORATORIES"
1991,"Toray Industries"
94,"Toray Plastics (America)"
63,"Toshiba America Electronic Components"
3789,"Toshiba Tec Kabushiki Kaisha"
778,Tosoh
54,"Total Marketing Services"
19069,"Toyota Jidosha Kabushiki Kaisha"
1449,"Toyota Motor Engineering & Manufacturing North America"
8,"TP Solar"
28,Traex
223,TRANE
22,"Transilwrap Company"
144,"Transitions Optical"
4,"Transposagen Biopharmaceuticals"
4,"Transtron Solutions"
27,"Travis Industries"
3,"TRI ALPHA ENERGY"
72,"TRIDONIC & CO KG"
28,"Triple Ring Technologies"
5,"TRITON MICROTECHNOLOGIES"
25,"Triune IP"
3,"Truckee Applied Genomics"
4,"True-Safe Technologies"
191,"TT Technologies"
30,"Tufts Medical Center"
1,"Turf Group"
29,"Turtle Beach"
55,Twitter
3,"Two Blades Foundation"
2050,"Tyco Electronics"
56,"Tyco Electronics UK"
2,"U S MICROPOWER"
46,"US NUTRACEUTICALS"
61,"US Smokeless Tobacco Company"
1269,"Ube Industries"
169,"UCB Pharma SA"
397,"UChicago Argonne"
1344,Uni-Charm
42,"Unifrax I"
187,"UNISANTIS ELECTRONICS SINGAPORE PTE"
2,"Uniseal Solutions"
21,"Unistrut Corp"
4436,"United Microelectronics Corp"
7660,"United Technologies"
236,"Unity Semiconductor"
386,"Universal Display"
14,"Universal Leaf Tobacco Co"
4852,UOP
1001,UT-Battelle
59,"UTC FIRE & SECURITY"
20,"UVIC INDUSTRY PARTNERSHIPS"
50,"UWM Research Foundation"
5,"V35A Enterprises"
9,"Vadient Optics"
17,Valicor
4,VALTED
648,"Varian Semiconductor Equipment Associates"
7,"Vascular BioSciences"
12,"Vaxiion Therapeutics"
4,"VEECO PRECISION SURFACE PROCESSING"
174,"Ventana Medical Systems"
14,Veracode
4,Veracyte
78,"VERILY LIFE SCIENCES"
7,"VERLASE TECHNOLOGIES"
1,"Verliant Energy"
493,VIASAT
2,"VINDICO NANOBIO TECHNOLOGY"
1,"Vindico NanoBioTechnology"
8,VINYLAST
56,"VIOLIN MEMORY"
86,Virent
3,"VivaLnk Limited (Cayman Islands)"
167,Vizio
1297,VMware
196,"Volterra Semiconductor"
13,"Vorbeck Materials"
24,Voxtel
3,"W&Wsens Devices"
1,"WADHAM ENERGY LP"
50,WAFERTECH
1600,"Warsaw Orthopedic"
264,"Waters Technologies"
154,"Watlow Electric Manufacturing Company"
1,"Wave Energy Conversion of America"
1,"WCA Group"
21,"Weatherford Canada Partnership"
2,"WELL Shield"
152,Wenger
30,"Wentworth Laboratories"
685,"Western Digital (Fremont)"
1952,"Western Digital Technologies"
6,"WestPoint Home"
18,WHATSAPP
16,Wikipad
1078,"Winbond Electronics Corp"
28,Winecom
34,"Wireless Environment"
57,"WiSys Technology Foundation"
1,"Wizard Labs"
13,Wostec
2,WOVN
55,"Wyatt Technology"
130,"X DEVELOPMENT"
6,"Xenogenic Development Limited Liability Company"
22238,Xerox
153,Xintec
176,Xyleco
26,Yageo
4106,Yamaha
896,"Yeda Research and Development Co"
1,Yissum
41,"ZENA TECHNOLOGIES"
77,"Zeno Semiconductor"
1,"Zephyr Energy Systems"
258,"ZIH Corp"
55,Ziptronix
64,"Zoetis Services"
26,ZON
813,Zygo
12,"Zyvex Labs"
