count(p.id),lookup_firm
365,"BP North America"
2,"Braun Intertec Geothermal"
153,"Brewer Science"
191,Bridgelux
3946,Bridgestone
1,"Brightfield Transportation Solutions"
6,"BRIGHTLEAF TECHNOLOGIES"
3794,"Bristol-Myers Squibb Company"
11043,BROADCOM
289,"Brookhaven Science Associates"
1,"BROOKLYN QUANTUM WORKS"
59,Brother
12140,"Brother Kogyo Kabushiki Kaisha"
2,"Bruin Biometrics"
8,BTPATENT
85,BTU
194,"Buckman Laboratories"
2,"Building Envelope Innovations"
122,"Butamax(TM) Advanced Biofuels"
1154,CA
879,Cabot
1673,"Cadence Design Systems"
35,"Calient Technologies"
5,"California Industrial Facilities Resources"
36,"Callahan Cellular LLC"
3,Calysta
4,"Cambridge Electronics"
165,"CAMBRIDGE ENTERPRISE LIMITED"
85,Canon
65780,"Canon Kabushiki Kaisha"
26,"Canon Nanotechnologies"
81,"Canon US Life Sciences"
3,CAPAT
32,"CARBO Ceramics"
35,Carbon3D
3346,"Cardiac Pacemakers"
16,"Cardiva Medical"
479,"Carestream Health"
5,"Caribou Biosciences"
868,"Carl Zeiss Meditec AG"
263,"Carl Zeiss Microscopy"
10,"Carver Scientific"
3910,"Casio Computer Co"
245,Cavium
53,Cbrite
78,"Cedar Ridge Research"
3264,Celanese
1,"CellPrint IP Holding"
14,CELLTRION
11,"Cellular Research"
74,"Centre de Recherche Industrielle du Quebec"
187,Ceramatec
18,CERION
673,Certain-teed
54,"Cetac Technologies"
1842,Cetus
771,"Cheil Industries"
25,Chemtreat
249,"Chevron Oronitz Company"
585,"Chevron Phillips Chemical Company LP"
1662,"Chevron USA"
28,"Child Laboratories"
184,"Chipmos Technologies"
2475,Chiron
91,"Christie Digital Systems"
19,Chromalox
11,"Cima NanoTech Israel"
12458,"Cisco Technology"
37,"Claret Medical"
17,"Clean Energy Labs"
3,Cleanvantage
6,"Clearside Biomedical"
35,"CLEARSIGN COMBUSTION"
2,"CMC ICOS BIOLOGICS"
604,"CNH Industrial America"
10,"Coactive Drive"
211,Codexis
19,"Coleman Cable"
3400,"Colgate-Palmolive Company"
572,"Coloplast A/S"
776,"Columbia Insurance Company"
1,"Combined Energies"
869,"Commonwealth Scientific & Industrial Research Organization"
3,"Community Power"
50,"Complete Genomics"
6,"Component Re-Engineering Company"
782,"Conexant Systems"
2,"Confluence Energy"
1738,Conoco
589,"ConocoPhillips Company"
5,"Continental Manufacturing"
143,"Conversant Intellectual Property Management"
97,"Cook Biotech"
1185,"COOK MEDICAL TECHNOLOGIES"
13,"Cool Planet Energy Systems"
3,"CoolEarth Solar"
1174,"Cooper Technologies Company"
4,"Copernicus Therapeutics"
11,"Coriant Advanced Technology"
1530,"Cornell Research Foundation"
39,"Corporation for National Research Initiatives"
10,"Courtagen Life Sciences"
7,"COVERIS FLEXIBLES US"
3369,"Covidien LP"
15,"CP KELCO APS"
49,"CP Kelco US"
363,CPC
1,"CPT IP Holdings"
2092,Cree
55,Crepaco
31,Crestovo
28,"Cristal USA"
74,"Cross Match Technologies"
149,Crossbar
28,"Crystal Solar"
2,Crystalplex
67,"CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement"
287,"CUMMINS FILTRATION IP"
2,"Cura Vac"
2,"Custom Electronics"
1,"CYBERCITY 3D"
236,Cyberonics
8,CyboEnergy
3,"CYKL Technology"
3,"Cymatics Laboratories Corp"
2776,"Cypress Semiconductor Corp"
169,"D-Wave Systems"
2,"Da Yu Enterprises LLC"
2457,"Daikin Industries"
1653,Dana
498,"Dana-Farber Cancer Institute"
329,"Danisco US"
36,"Daylight Solutions"
497,"DCG SYSTEMS"
50,"DECA Technologies"
19,"Deep Science"
1,"Deep Well Power"
600,"DEKA Products Limited Partnership"
45,Delavau
150,"Dell Software"
5038,"Delphi Technologies"
1948,"Delta Electronics"
12900,Denso
207,Dentsply
13,"Deployable Space Systems"
1096,"DePuy Synthes Products"
6,"Dermazone Solutions"
185,Dexerials
2,"DHPC TECHNOLOGIES"
100,Dialight
130,Dialogic
43,Diamicron
79,"Diamond Innovations"
587,DIC
5,"Digital Wind Systems"
30,DiscoveRx
3,DISCOVERYBIOMED
1266,"Disney Enterprises"
16,"DNA Twopointo"
40,DNA20
21,"Dogwood Pharmaceuticals"
941,"Dolby Laboratories Licensing"
1,"Domtar Paper Company"
860,"Dongbu Hitek Co"
915,"Dow AgroSciences"
2776,"Dow Corning"
2475,"Dow Global Technologies"
65,"Dow Technology Investments"
67,DPD
10,"DPx Holdings BV"
201,"Dr Reddy's Laboratories"
286,"Dresser-Rand Company"
24,"DRS Network &#x26; Imaging Systems"
107,"DSP Group"
66,"DuPont Teijin Films US Limited Partnership"
49,Dymax
4,"Dynamic Solutions Worldwide"
323,"E Ink"
2,"E I du Pont de Nemours and Company duPont Displays"
3,"E Techorporation"
3,"Easel Biotechnologies"
1678,"Eastman Chemical Company"
21414,"Eastman Kodak Company"
5868,Eaton
24,"Echogen Power Systems"
679,"EchoStar Technologies"
1474,Ecolab
13,ECOSYNTHETIX
8,"Ecovative Design"
24,Egenera
659,"Eisai Co"
257,"ELC Management"
1,Elcriton
25,ElectraTherm
17,Electrix
19,"Electronic Warfare Associates"
10,Electrovaya
3,"Element One"
10,"Elenion Technologies"
676,Elwha
8,Em-Tech
260,Embro
5181,EMC
135,"EMD Technologies"
1396,"Empire Technology Development"
17,Energen
2,"ENERGY ENGINEERING SYSTEMS"
1,"ENERGY INDEPENDENCE OF AMERICA CORP"
11,Energysolutions
5,"Enginuity Worldwide"
2,"Englewood Lab"
233,"ENI SpA"
52,"ENI Technology"
3,eNow
25,"Ensyn Renewables"
4,"Entech Solar"
380,Entegris
3,"Envision Solar"
18,Envisionit
611,"EPCOS AG"
62,Epizyme
10,"ESCAPE THERAPEUTICS"
3,"eSionic Corp"
15,Esolar
2105,"Ethicon Endo-Surgery"
30,"Ethox Chemicals"
46,Evernote
188,"Everspin Technologies"
94,"Evoqua Water Technologies"
16,Evri
48,Exatec
1,"Excelsior Nanotech"
4,EXOS
41,"Express Imaging Systems"
19,"Extech/Exterior Technologies"
2306,"ExxonMobil Chemical Patents"
1342,"ExxonMobil Research and Engineering Company"
800,"ExxonMobil Upstream Research Company"
1721,Facebook
1208,"Fairchild Semiconductor"
10,"FastCAP Systems"
62,"Faurecia Interior Systems"
115,"Federal Signal"
442,"FEI Company"
136,Fenwal
9,Ferric
404,Ferro
2,"Fezza Family Properties"
20,FHT
32,Fianium
781,Fike
602,"Fina Technology"
1313,Finisar
213,"First Solar"
367,"Flextronics AP"
262,"FLIR Systems"
11,Floadia
18,"FLOW CONTROL"
133,Fluidigm
11081,"Ford Global Technologies"
31,"Forest Concepts"
52,"Foret Plasma Labs"
5,"Formula Plastics"
56,FPInnovations
5536,"Freescale Semiconductor"
23,"FRONT EDGE TECHNOLOGY"
4586,"Fuji Electric Co"
9577,"Fuji Xerox Co"
9514,FUJIFILM
150,"FUJIFILM Dimatix"
33876,"Fujitsu Limited"
1667,"Fujitsu Semiconductor Limited"
4,"FULL CIRCLE BIOCHAR"
2086,"Furukawa Electric Co"
1496,"FutureWei Technologies"
5,fybr
41,GDO
10,"Galectin Therapeutics"
27,Galemed
9,GangaGen
2,Gardner-Gibson
29,"Garland Industries"
2,"Garrity Power Services"
187,"Gas Technology Institute"
7,"GCP Applied Technologies"
9,"GE Healthcare Dharmacon"
201,"GE Healthcare Limited"
144,"GE-Hitachi Nuclear Energy Americas"
47,"GED Intergrated Solution"
6,"Gemex Systems"
493,GEN-PROBE
1,"GENCO SCIENCES"
2461,Genentech
41692,"GENERAL ELECTRIC COMPANY"
11163,"GENERAL MOTORS"
97,Genesco
30,"Genia Technologies"
13,Genisphere
82,Genomatica
42,"Genomic Health"
1454,Genzyme
23,"George Mason Research Foundation"
32,"Georgia-Pacific Gypsum"
4,GeoSynFuels
2,"GEOTHERMAL ENERGY PROJECT"
8,"Gestion Ultra"
1,"GIGA SOLAR FPC"
13,"Gilead Biologics"
22,"Gilead Connecticut"
508,"Gilead Sciences"
9,"GlassPoint Solar"
220,"GlaxoSmithKline Biologicals SA"
4,GLIKNIK
6,"Global Eagle Entertainment"
15,"Global Filtration Systems"
262,"Global OLED Technology"
