year(min(p.`date`)),lookup_firm
2016,"PeterBrod Corp"
2003,PetraSolar
2015,"Peytant Solutions"
1976,Pfizer
2016,Pharmatrophix
1978,Pharmion
1977,"Philip Morris USA"
1976,"Phillips 66 Company"
2006,"Phoseon Technology"
1989,"Photon Dynamics"
2013,Piksel
2000,"Pinnacle Technology"
2009,"Pioneer Energy"
2001,"Pioneer Hi Bred"
1989,Pixar
2001,"Pixelligent Technologies"
2012,"Plant Sensory Systems"
2017,"Plasma Tech Holdings"
1986,Plasma-Therm
2000,PLEX
2012,"PluroGen Therapeutics"
2016,"PLYCEM USA"
1995,PNM
1990,"POET Research"
2016,"POLAR LIGHT TECHNOLOGIES AB"
2016,"Polaris Products"
1976,Poly-Med
2002,PolyOne
1996,"PolyPlus Battery Company"
1976,Polysar
1999,PortaFire
2016,"POSiFA MICROSYSTEMS"
1989,"Power Integrations"
1976,"PPG Industries Ohio"
1976,PQ
1992,"Praxair ST Technology"
1992,"Praxair Technology"
1994,"Precision Custom Coatings"
2015,"Previvo Genetics"
1976,"Princeton Optronics"
2002,"Production Resource Group LLC"
1989,"Professional Compounding Centers of America"
1999,"ProNAi Therapeutics"
2013,"Propagation Research Associates"
2000,Prosoft
1990,Proterra
1977,"Proton Power"
2001,"PTC Therapeutics"
2012,"Pulse Therapeutics"
2016,"Pyrexar Medical"
2011,"QD Vision"
1997,Qiagen
1982,QUALCOMM
2007,"QUALCOMM MEMS Technologies"
2000,Quallion
2016,Qualsig
2014,Quantapore
1997,"Quantum Devices"
1987,"Quantum Materials"
2014,QuantumScape
2001,"Quest Diagnostics Investments"
2016,QUSWAMI
1997,"RA Miller Industries"
1976,"RJ Reynolds Tobacco Company"
2002,"RP Scherer Technologies"
2015,"RADIANCE SOLAR"
2016,"Rapamycin Holdings"
2010,"Raytheon BBN Technologies Corp"
1976,"Raytheon Company"
2017,"Rebellion Photonics"
2004,"Red Hat"
2011,"Redwood Systems"
1992,"Regeneron Pharmaceuticals"
1999,"Reliance Controls"
2008,Relypsa
2010,"Renesas Electronics"
2012,"Renewable Algal Energy"
2016,"Renewable Opportunities"
2012,"Renewable Power Conversion"
2012,Renmatix
2016,"RenovaCare Sciences Corp"
2014,"RES USA"
1977,"Research Triangle Institute"
2004,Revera
2010,Revivicor
2007,"Reynolds Technologies"
1997,"RF Micro Devices"
2008,"Rhodia Operations"
1990,"Richtek Technology ROC"
1976,"Ricoh Company Limited"
2016,"Rillito Rive Solar"
1979,"Rima Enterprises"
2007,"RINAT NEUROSCIENCE CORP"
2017,"Rio Grande Valley Sugar Growers"
2006,"Riverbed Technology"
1976,"Robert Bosch"
2015,"Roche Diabetes Care"
1999,"Roche Diagnostics"
2015,"Roche Innovation Center Copenhagen A/S"
1997,"Roche Molecular Systems"
2001,"Rockwell Automation Technologies"
1999,"Rockwell Collins"
2016,"Rohm and Haas Chemicals"
1976,"Rohm and Haas Company"
2005,"Rohm and Haas Electronic Materials"
1986,Roho
2000,Roll-N-Lock
2006,"Rolls-Royce North American Technologies"
1978,"Rolls-Royce PLC"
1976,ROM
1994,"Rosemount Aerospace"
1988,"Ruse Technologies"
1976,"S C Johnson & Son"
1986,"SC Johnson & Son"
1998,"S&S X-Ray Products"
2014,"SABIC GLOBAL TECHNOLOGIES BV"
1998,"SAE Magnetics (HK)"
2013,"Sagacious Investment Group LLC"
2003,"SAINT-GOBAIN ABRASIFS"
2012,"Saint-Gobain Adfors Canada"
2000,"Saint-Gobain Ceramics & Plastics"
2000,"Saint-Gobain Performance Plastics"
2011,"Samsung Corning Precision Materials Co"
2009,"SAMSUNG DISPLAY CO"
1987,"Samsung Electro-Mechanics Co"
2001,"Samsung Electronics"
1984,"Samsung Electronics Co"
2001,"Samsung SDI Co"
1976,Sandia
2006,"SanDisk 3D"
1996,"SanDisk Technologies"
2002,"Sangamo BioSciences"
1977,"Sanken Electric Co"
1982,Sanofi
1995,Santoku
1990,"Sanuvox Technologies"
1976,"Sanyo Electric Co"
2013,"Sarepta Therapeutics"
2016,"SB ENERGY"
1976,"Schlumberger Technology"
2014,"Schneider Electric Solar Inverters USA"
1996,"Schneider Electric USA"
2015,"SCHOTTKY LSI"
1988,"Scientific Design Company"
2003,"SD Technologies"
2010,SDCmaterials
2012,"SEaB Energy Holdings"
1984,"Seagate Technology"
2016,"SEEK THERMAL"
2005,Seetron
1986,"Seiko Epson"
1976,"Seiko Instruments"
1980,"SEIKO NPC"
2015,"Selas Heat Technology Company"
2013,"Selecta Biosciences"
2017,Selkermetrics
2010,"SELMAN AND ASSOCIATES"
2000,"Semiconductor Components Industries LLC"
1983,"Semiconductor Energy Laboratory Co"
2004,"Semiconductor Manufacturing (Shanghai)"
2013,Semics
2009,"Semileds Optoelectronics Co"
2011,Semprius
2014,Senaya
2007,"Senga Advisors"
2004,"Sensor Electronic Technology"
2016,Sensor-Kinesis
1995,"SeQual Technologies"
1996,Sequenom
2015,ServiceNow
1976,"Sharp Kabushiki Kaisha"
1998,"Sharp Laboratories of America"
1976,"Shell Oil Company"
2012,"Shenzhen China Star Optoelectronics Technology Co"
1981,Shimadzu
1976,"Shin-Etsu Chemical Co"
2013,"Shoals Technologies Group"
2016,"SHOW ME ENERGY"
2014,Shubin
1998,"Sick AG"
1981,"SICPA Holding SA"
1976,"Siemens Aktiengesellschaft"
1977,Siemens
2008,"Siemens Energy"
2009,"Siemens Industry"
2001,"Siemens Medical Solutions USA"
2016,"Sienna Biopharmaceuticals"
2014,"Sienna Labs"
2004,"Sierra Sciences"
1998,"Sigma-Aldrich Co"
1981,Sigmatel
1986,"SII Semiconductor"
2014,"Sila Nanotechnologies"
1999,"Silicon Genesis"
2007,"Silicon Space Technology Corp"
1991,"Silicon Storage Technology"
1999,"Siliconware Precision Industries Co"
2012,"Silicor Materials"
2010,"Siluria Technologies"
2000,"Sima Therapeutics"
2013,Simbol
2016,"Simple Approach Systems"
2016,Sinewatts
2015,"Singular Bio"
2009,Singulex
2007,"Sinton Consulting"
2006,"Sion Power"
2014,Sirnaomics
2012,"SixPoint Materials"
2012,"SK Hynix"
1999,"SK Telecom Co"
2013,"Smart Planet Technologies"
1989,"Smith &#x26; Nephew"
2016,"SNS NANO FIBER TECHNOLOGY"
2016,SOL-ELECTRICA
1987,"Sola USA"
2014,SolaBlock
2015,"SolAero Technologies Corp"
2010,"Solaire Generation"
2003,Solan
2013,"Solar Junction"
2014,"Solar Tectic"
1982,SolarCity
2010,"Solaris Holdings Limited"
2012,SolarLego
2013,"Solarmer Energy"
2015,"SolarReserve Technology"
2017,SOLARTONIC
2016,"SolarWorld Americas"
2006,SOLAZYME
2015,"SOLENA FUELS"
2005,Solexel
2016,"Solight Solar"
2016,"Soliton Lasers"
1998,Solutia
2013,"Solvay Specialty Polymers USA"
2007,"SonoGene LLC"
1976,Sony
2016,"Sony Interactive Entertainment"
2015,"Sophoro Biotechnologies"
1978,Soraa
2014,"Soraa Laser Diode"
1976,"Southwest Research Institute"
1992,SPC
2016,"SPICE SOLAR"
2013,"SRG Global"
1976,"St Jude Medical"
1998,"St Microelectronics"
2012,"Stablcor Technology"
2005,"STANDARD ALCOHOL COMPANY OF AMERICA"
1976,"Stanley Electric Co"
2005,"Star Technology and Research"
2016,"Starlight Energy Holdings"
2016,"Starsource Scientific"
2005,"STATS ChipPAC"
2000,"STMicroelectronics Limited"
1997,"STMicroelectronics SA"
2001,"Stora Enso Oyj"
1992,Stratasys
2014,"Strategic Solar Energy"
1977,"Suganit Systems"
1976,Sumco
2010,"Sumitomo Electric Device Innovations"
1976,"Sumitomo Electric Industries"
1976,"Sumitomo Rubber Industries"
1987,"SUMITOMO WIRING SYSTEMS"
1976,"Sun Chemical"
1986,"Sun Drilling Products"
2012,"Sun Synchrony"
2013,"Suncore Photovoltaics"
2016,"SunCulture Solar"
2013,"Sundrop Fuels"
2014,SunEdison
2014,"SunEdison Semiconductor Limited"
2013,Sungevity
2010,"Sunlight Photonics"
2003,SunLink
1992,SunPower
2015,SunRun
2014,"Sunrun South"
2016,SUNSALUTER
1993,Supremex
1984,Surebeam
2015,"Sustainable Technologies"
1978,"Swagelok Company"
2012,"Sweetwater Energy"
2005,"Swift Engineering"
1989,Symantec
2009,"Synaptic Research"
2001,"Syngenta Participations AG"
1994,Synopsys
2010,"Synthetic Genomics"
2013,Synthezyme
2016,"SYNTHOMER USA"
1976,Sysmex
2015,"System Biosciences"
1977,THEM
1988,"Taiwan Semiconductor Manufacturing Company"
1977,"Taiyo Ink Mfg Co"
2004,"Takara Bio"
2005,"Takeda Pharmaceutical Company Limited"
1984,Tamura
1986,"Tanaka Kikinzoku Kogyo KK"
2016,"Tarveda Therapeutics"
2005,"Tata Consultancy Services Limited"
2016,"Tau Therapeutics"
2013,"Taxon Biosciences"
1976,TDK
2012,"Teal Sales"
1986,"TECHNOLOGY RESEARCH"
2017,TECNIUM
2016,Tekkware
1981,"TEKNOR APEX COMPANY"
2008,"Tela Innovations"
2009,"Teledyne Scientific & Imaging"
1976,Tensor
2008,"Teradata US"
2016,"Terra Caloric"
2016,"TerraVia Holdings"
2016,"Tersus Environmental"
2016,"Tesla Nanocoatings"
1980,Tessera
2014,"Tessera Advanced Technologies"
2012,TetraSun
1977,"Texas Instruments Deutschland"
1976,"Texas Instruments"
2003,"Texas Research"
1976,"The Babcock & Wilcox Company"
2013,"THE BOARD INSTITUTE"
1976,"The Boeing Company"
2016,"The Carbon Cable Company"
1976,"The Charles Stark Draper Laboratory"
1986,"The Eastern Co"
1982,"The Gates"
1976,"The Goodyear Tire & Rubber Company"
1994,"The Henry M Jackson Foundation for the Advancement of Military Medicine"
1991,"The Iams Company"
1983,"The Jackson Laboratory"
1987,"The Paymaster"
1976,"The Procter & Gamble Company"
1998,"The Samuel Roberts Noble Foundation"
2012,"THE SWEET LIVING GROUP"
2011,TheGreenCell
2011,"Theraclone Sciences"
2012,"Therapeutic Proteins"
2002,"Thermo Finnigan"
2006,"Thermo Fisher Scientific"
2017,"Thermorefinery Technologies"
2016,"Thermoretinary Technologies"
1987,Thoratec
2001,Thorlabs
2011,"Thorlabs Quantum Electronics"
2000,"Thorn Bioscience"
2014,"THYSSENKRUPP INDUSTRIAL SOLUTIONS"
1990,Ticona
2009,"Tigo Energy"
2013,"TIME WARNER CABLE ENTERPRISES"
1976,TMC
1976,"Toda Kogyo"
1988,"Tokyo Electron Limited"
1983,"Tokyo Ohka Kogyo Co"
2016,"TOMOWAVE LABORATORIES"
1976,"Toray Industries"
2000,"Toray Plastics (America)"
1996,"Toshiba America Electronic Components"
1999,"Toshiba Tec Kabushiki Kaisha"
1980,Tosoh
2014,"Total Marketing Services"
1982,"Toyota Jidosha Kabushiki Kaisha"
2007,"Toyota Motor Engineering & Manufacturing North America"
2011,"TP Solar"
1980,Traex
2002,TRANE
1985,"Transilwrap Company"
1993,"Transitions Optical"
2013,"Transposagen Biopharmaceuticals"
2016,"Transtron Solutions"
1987,"Travis Industries"
2016,"TRI ALPHA ENERGY"
2013,"TRIDONIC & CO KG"
2011,"Triple Ring Technologies"
2015,"TRITON MICROTECHNOLOGIES"
2010,"Triune IP"
2015,"Truckee Applied Genomics"
2014,"True-Safe Technologies"
1984,"TT Technologies"
2008,"Tufts Medical Center"
2016,"Turf Group"
2014,"Turtle Beach"
1996,Twitter
2012,"Two Blades Foundation"
2000,"Tyco Electronics"
1996,"Tyco Electronics UK"
2016,"U S MICROPOWER"
2001,"US NUTRACEUTICALS"
2004,"US Smokeless Tobacco Company"
1976,"Ube Industries"
2007,"UCB Pharma SA"
2006,"UChicago Argonne"
1980,Uni-Charm
2008,"Unifrax I"
2011,"UNISANTIS ELECTRONICS SINGAPORE PTE"
2015,"Uniseal Solutions"
1988,"Unistrut Corp"
1990,"United Microelectronics Corp"
1976,"United Technologies"
1999,"Unity Semiconductor"
2002,"Universal Display"
1984,"Universal Leaf Tobacco Co"
1976,UOP
2000,UT-Battelle
2009,"UTC FIRE & SECURITY"
2011,"UVIC INDUSTRY PARTNERSHIPS"
1986,"UWM Research Foundation"
2008,"V35A Enterprises"
2016,"Vadient Optics"
1980,Valicor
2013,VALTED
1999,"Varian Semiconductor Equipment Associates"
2009,"Vascular BioSciences"
2007,"Vaxiion Therapeutics"
2016,"VEECO PRECISION SURFACE PROCESSING"
1993,"Ventana Medical Systems"
2010,Veracode
2013,Veracyte
2016,"VERILY LIFE SCIENCES"
2014,"VERLASE TECHNOLOGIES"
2016,"Verliant Energy"
1996,VIASAT
2014,"VINDICO NANOBIO TECHNOLOGY"
2017,"Vindico NanoBioTechnology"
2009,VINYLAST
2011,"VIOLIN MEMORY"
2000,Virent
2016,"VivaLnk Limited (Cayman Islands)"
2008,Vizio
1991,VMware
1999,"Volterra Semiconductor"
2012,"Vorbeck Materials"
2000,Voxtel
2016,"W&Wsens Devices"
2017,"WADHAM ENERGY LP"
2000,WAFERTECH
2006,"Warsaw Orthopedic"
1991,"Waters Technologies"
1976,"Watlow Electric Manufacturing Company"
2016,"Wave Energy Conversion of America"
2016,"WCA Group"
2006,"Weatherford Canada Partnership"
2015,"WELL Shield"
1976,Wenger
1976,"Wentworth Laboratories"
2003,"Western Digital (Fremont)"
2001,"Western Digital Technologies"
2010,"WestPoint Home"
2014,WHATSAPP
2013,Wikipad
1992,"Winbond Electronics Corp"
1980,Winecom
2011,"Wireless Environment"
2003,"WiSys Technology Foundation"
2016,"Wizard Labs"
1985,Wostec
2016,WOVN
1986,"Wyatt Technology"
2016,"X DEVELOPMENT"
2013,"Xenogenic Development Limited Liability Company"
1976,Xerox
1978,Xintec
1999,Xyleco
1996,Yageo
1976,Yamaha
1976,"Yeda Research and Development Co"
1999,Yissum
2010,"ZENA TECHNOLOGIES"
2011,"Zeno Semiconductor"
2016,"Zephyr Energy Systems"
2001,"ZIH Corp"
2002,Ziptronix
2015,"Zoetis Services"
2013,ZON
1976,Zygo
2007,"Zyvex Labs"
