assignee_patent_name,url
"cardiva medical, inc.",www.cardivamedical.com/
"celonova biosciences, inc.",celonova.com/celonova/
chemimage corporation,www.chemimage.com/
"cmc icos biologics, inc.",www.agcbio.com/
"complete genomics, inc.",www.completegenomics.com/
"confluence energy, llc",www.confluenceenergy.com/
"crp, inc.",www.crpcorp.com/
"cryolife, inc.",www.cryolife.com/
"data sciences international, inc.",www.datasci.com/
"detroit r & d, inc.",www.detroitrandd.com/
"dicerna pharmaceuticals, inc.",dicerna.com/
discoverx corporation,www.discoverx.com/home
"eic laboratories, inc.",eiclabs.com/
"enzo life sciences, inc.",www.enzolifesciences.com/
epcot crenshaw corporation,www.epcotcrenshaw.com/
"exelixis, inc.",www.exelixis.com/
flexcell international corporation,www.flexcellint.com/
fluidigm corporation,www.fluidigm.com/
gen-probe incorporated,www.hologic.com/
"gene therapy systems, inc.",www.genlantis.com/
"genisphere, llc",genisphere.com/
genome international corporation,www.genome.com/
gliknik inc.,www.gliknik.com/
"hansen medical, inc.",hansenmedical.com/us/en
heska corporation,www.heska.com/
"incube labs, llc",www.incubelabs.com/
"integrated dna technologies, inc.",www.idtdna.com/
"integrated dna technologies, inc.",www.idtdna.com/
"jrw bioremediation, llc",www.jrwbioremediation.com/
"kinetic systems, inc.",www.kineticsystems.com/
"kvh industries, inc.",www.kvh.com/
"lexicon pharmaceuticals, inc.",www.lexpharma.com/
"lifespan biosciences, inc.",www.lsbio.com/
"longhorn vaccines and diagnostics, llc",www.lhnvd.com/
luna innovations incorporated,lunainc.com/
lynntech inc.,lynntech.com/
"macrogenics, inc.",www.macrogenics.com/
"marrone bio innovations, inc.",marronebioinnovations.com/
"munirem environmental, llc",munirem.com/
"nantero, inc.",nantero.com/
"nd industries, inc.",www.ndindustries.com/
"nd industries, inc.",www.ndindustries.com/
"netbio, inc.",www.ande.com/
"new england biolabs, inc.",www.neb.com/
"north wind, inc.",northwindgrp.com/
"north wind, inc.",northwindgrp.com/
"north wind, inc.",northwindgrp.com/
"novavax, inc.",novavax.com/
novici biotech llc,www.novicibiotech.com/
"nugen technologies, inc.",www.nugen.com/
"osiris therapeutics, inc.",www.osiris.com/
"parion sciences, inc.",www.parion.com/
protein sciences corporation,www.proteinsciences.com/
"quick-med technologies, inc.",www.quickmedtech.com/
"ribomed biotechnologies, inc.",ribomed.com/
"sarepta therapeutics, inc.",www.sarepta.com/
superior graphite co.,superiorgraphite.com/
"system biosciences, llc",www.systembio.com/
"teledyne scientific & imaging, llc",www.teledyne-si.com/business-units/teledyne-scientific-company
"transgenex nanobiotech, inc.",www.transgenex.com/
treventis corporation,treventis.com/
"triton systems, inc.",tritonsystems.com/
ultramet,ultramet.com/
uluru inc.,www.uluruinc.info/#!
vindico nanobio technology inc.,www.linkedin.com/company/vindico-nanobiotechnology-inc.
zygo corporation,www.zygo.com/
