firm name,url,LinkedIn employees,LinkedIn url,LinkedIn matched name,jaro-winkler distance result
ACACIA RESEARCH GROUP LLC,acaciaresearch.com/,213,https://www.linkedin.com/company/acacia,Acacia,20
Ablexis,ablexis.com/,2,https://www.linkedin.com/company/ablexis,"Ablexis, LLC",5
Alliance for Sustainable Energy,allianceforsustainableenergy.org/,24,https://www.linkedin.com/company/alliance-for-sustainable-colorado,The Alliance Center,29
CyboEnergy,cyboenergy.com/,6,https://www.linkedin.com/company/cybosoft,CyboSoft,6
EMD Technologies Inc.,emd-technologies.com/,2196,https://www.linkedin.com/company/emd-serono-inc,"EMD Serono, Inc.",9
Energen,energen.com/,567,https://www.linkedin.com/company/energen,Energen,0
FULL CIRCLE BIOCHAR,fullcirclebiochar.com/,3,https://www.linkedin.com/company/biochar-solutions-inc,Biochar Solutions Inc,21
Ferro Corporation,ferro.com/,7188,https://www.linkedin.com/company/ferrovial,Ferrovial,4
GOAL ZERO LLC,goalzero.com/,119,https://www.linkedin.com/company/renegade-wls,"Renegade Wireline Services, LLC",31
Genesco Inc.,genescowindowproducts.com/,6,https://www.linkedin.com/jobs/view/genesco-lead-at-genesco-950862580,"Genesco hiring Genesco Lead in Nashville, TN, US",41
Gilead Connecticut,gileadcs.org/,11188,https://www.linkedin.com/company/gilead-sciences,Gilead Sciences,10
Glucan Biorenewables LLC,glucanbio.com/,2,https://www.linkedin.com/company/glucan-biorenewables-llc,Glucan Biorenewables LLC,4
Immunolight,immunolight.com/,2,https://www.linkedin.com/company/immunolight,"Immunolight, LLC",5
Intel Corporation,intel.com/content/us/en/homepage.html,132458,https://www.linkedin.com/company/intel-corporation,Intel Corporation,12
Iogen Corporation,iogen.ca/,227,https://www.linkedin.com/company/enerkem,Enerkem,7
Kinetech Power Company LLC,kinetechpower.com/,29,https://www.linkedin.com/userp/title/principal-engineer.../albuquerque,"Top 25 Principal Engineer, R&d profiles in Albuquerque",54
Lux Bio Group,luxbiogroup.com/,8947,https://www.linkedin.com/company/unum,Unum,13
Magnolia Solar,magnoliasolar.com/,2010,https://www.linkedin.com/company/solar-decathlon-europe-2010,Solar Decathlon Europe 2010,27
Matrix Genetics,lumenbioscience.com/,97,https://www.linkedin.com/company/vikinggenetics,VikingGenetics,15
Mattson Technology,mattson.com/,2,https://www.linkedin.com/company/mattson,Mattson Technology,0
NanoOncology,iinano.org/nanooncology,500,https://www.linkedin.com/pub/ahmed-ashour/101/ab7/391?trk=co...,Ahmed Ashour - Research Associate - National Centre for Social ...,65
Nanoquantum Sciences,nanoquantum.com/,3,https://www.linkedin.com/company/nanoquantum-corporation,"Nanoquantum Sciences, Inc.",6
Pharmatrophix,pharmatrophix.com/,2,https://www.linkedin.com/company/pharmatrophix-inc.,"PharmatrophiX, Inc.",7
Plant Sensory Systems,plantsensorysystems.com/,130,https://www.linkedin.com/company/sensoryeffects,SensoryEffects,21
Ticona LLC,celanese.com/engineered-materials.aspx,5278,https://www.linkedin.com/company/celanese,Celanese,7
