firm_key,main_topic,num_words,para_order,prob
SunCulture Solar Inc_.txt,4,20,8,0.957133233547
SunCulture Solar Inc_.txt,7,13,9,0.519329369068
SunCulture Solar Inc_.txt,9,22,10,0.862709105015
SunCulture Solar Inc_.txt,5,19,11,0.61516803503
SunCulture Solar Inc_.txt,5,16,12,0.741651594639
SunCulture Solar Inc_.txt,5,22,13,0.960860729218
SunCulture Solar Inc_.txt,6,14,14,0.494991958141
Rio Grande Valley Sugar Growers.txt,3,19,1,0.954991340637
Rio Grande Valley Sugar Growers.txt,2,25,2,0.965375363827
Rio Grande Valley Sugar Growers.txt,2,17,3,0.94999152422
Rio Grande Valley Sugar Growers.txt,1,32,4,0.972721219063
Mattson Technology.txt,3,14,1,0.939981102943
Mattson Technology.txt,6,14,2,0.939952671528
Mattson Technology.txt,0,30,3,0.829559743404
Mattson Technology.txt,2,13,4,0.88587975502
Ion Power Group.txt,0,22,1,0.88361120224
Ion Power Group.txt,7,181,2,0.398750603199
Diamond Innovations.txt,6,11,1,0.924985408783
Diamond Innovations.txt,0,13,2,0.93569868803
Diamond Innovations.txt,6,11,3,0.924981594086
Diamond Innovations.txt,2,14,4,0.939986228943
E_ Tech Incorporation.txt,4,20,1,0.957132995129
E_ Tech Incorporation.txt,2,10,2,0.918160259724
E_ Tech Incorporation.txt,2,25,3,0.96537643671
E_ Tech Incorporation.txt,9,16,4,0.947042822838
E_ Tech Incorporation.txt,3,16,5,0.947049558163
E_ Tech Incorporation.txt,4,18,6,0.952620089054
E_ Tech Incorporation.txt,7,16,7,0.947045266628
St_ Jude Medical.txt,2,32,1,0.972720861435
St_ Jude Medical.txt,0,20,2,0.957131445408
St_ Jude Medical.txt,0,42,3,0.918265759945
St_ Jude Medical.txt,8,25,4,0.543217718601
Basell Polyolefine GmbH.txt,7,18,1,0.952619731426
Basell Polyolefine GmbH.txt,0,18,2,0.952619850636
Basell Polyolefine GmbH.txt,3,14,3,0.939987301826
Basell Polyolefine GmbH.txt,8,17,4,0.949991226196
Basell Polyolefine GmbH.txt,0,14,5,0.668715775013
Gtech Corporation.txt,3,21,1,0.959082961082
Gtech Corporation.txt,3,21,2,0.959082961082
Gtech Corporation.txt,5,17,3,0.949989438057
Gtech Corporation.txt,6,19,4,0.954991400242
Gtech Corporation.txt,6,18,5,0.952621877193
Gtech Corporation.txt,3,17,6,0.949992418289
Gtech Corporation.txt,3,16,7,0.947050333023
Gtech Corporation.txt,6,16,8,0.947048425674
Gtech Corporation.txt,6,15,9,0.943737745285
Gtech Corporation.txt,1,22,10,0.960861206055
Gtech Corporation.txt,1,21,11,0.959083795547
Gtech Corporation.txt,4,14,12,0.619548976421
SAINT-GOBAIN ABRASIFS.txt,2,12,1,0.930751740932
SAINT-GOBAIN ABRASIFS.txt,2,10,2,0.918161392212
SAINT-GOBAIN ABRASIFS.txt,1,12,3,0.930747270584
SAINT-GOBAIN ABRASIFS.txt,0,12,4,0.930756866932
SAINT-GOBAIN ABRASIFS.txt,2,12,5,0.930751740932
SAINT-GOBAIN ABRASIFS.txt,0,18,6,0.952619433403
SAINT-GOBAIN ABRASIFS.txt,1,20,7,0.522796213627
SAINT-GOBAIN ABRASIFS.txt,8,22,8,0.960864543915
SAINT-GOBAIN ABRASIFS.txt,4,18,9,0.726017057896
SAINT-GOBAIN ABRASIFS.txt,6,26,10,0.966661572456
SAINT-GOBAIN ABRASIFS.txt,0,15,11,0.562448978424
SAINT-GOBAIN ABRASIFS.txt,0,21,12,0.959081888199
SAINT-GOBAIN ABRASIFS.txt,2,25,13,0.96537655592
SAINT-GOBAIN ABRASIFS.txt,7,28,14,0.968958437443
SAINT-GOBAIN ABRASIFS.txt,4,28,15,0.968959987164
SAINT-GOBAIN ABRASIFS.txt,0,26,16,0.966658532619
SAINT-GOBAIN ABRASIFS.txt,1,22,17,0.960862338543
SAINT-GOBAIN ABRASIFS.txt,8,22,18,0.960864543915
SAINT-GOBAIN ABRASIFS.txt,4,18,19,0.952616870403
SAINT-GOBAIN ABRASIFS.txt,6,26,20,0.966661691666
SAINT-GOBAIN ABRASIFS.txt,0,15,21,0.562267363071
SAINT-GOBAIN ABRASIFS.txt,0,21,22,0.959081470966
SAINT-GOBAIN ABRASIFS.txt,2,25,23,0.96537655592
SAINT-GOBAIN ABRASIFS.txt,7,28,24,0.968958437443
SAINT-GOBAIN ABRASIFS.txt,4,28,25,0.968959867954
SAINT-GOBAIN ABRASIFS.txt,0,26,26,0.966658830643
SAINT-GOBAIN ABRASIFS.txt,1,22,27,0.960862278938
SAINT-GOBAIN ABRASIFS.txt,0,20,28,0.582257330418
SAINT-GOBAIN ABRASIFS.txt,9,37,29,0.976309597492
ZON.txt,3,25,1,0.912717044353
ZON.txt,1,23,2,0.962495803833
ZON.txt,0,22,3,0.960867166519
ZON.txt,4,21,4,0.959087312222
ZON.txt,8,23,5,0.962497889996
ZON.txt,0,26,6,0.966665923595
ZON.txt,9,9,7,0.909998118877
ZON.txt,3,19,8,0.954998493195
ZON.txt,0,14,9,0.939998924732
Biocon Limited.txt,0,23,1,0.672634065151
Biocon Limited.txt,2,50,2,0.558227241039
Biocon Limited.txt,1,100,3,0.945511758327
Biocon Limited.txt,0,28,4,0.968957066536
Biocon Limited.txt,2,29,5,0.969997107983
Biocon Limited.txt,0,21,6,0.777487814426
R_A_ Miller Industries.txt,0,27,1,0.651953220367
R_A_ Miller Industries.txt,2,36,2,0.552438020706
Polysar Corporation.txt,2,43,1,0.979541063309
Polysar Corporation.txt,2,78,2,0.98860514164
Polysar Corporation.txt,5,24,3,0.770453989506
Polysar Corporation.txt,9,11,4,0.496249765158
Polysar Corporation.txt,7,24,5,0.963990688324
Polysar Corporation.txt,2,19,6,0.643293738365
Polysar Corporation.txt,2,50,7,0.634507536888
Polysar Corporation.txt,7,14,8,0.939984023571
Polysar Corporation.txt,2,14,9,0.939982712269
Polysar Corporation.txt,5,14,10,0.939989328384
Polysar Corporation.txt,9,15,11,0.943737447262
Mediatek Inc_.txt,8,7,1,0.887482583523
Total Marketing Services.txt,6,15,1,0.782450079918
Total Marketing Services.txt,9,11,2,0.924978256226
Total Marketing Services.txt,0,13,3,0.529069781303
Saint-Gobain Adfors Canada.txt,2,21,1,0.959081113338
Saint-Gobain Adfors Canada.txt,5,31,2,0.971868693829
