firm_name,url,li_emps,median_gw_emps,emp_diff,max_emps,size_state,state_diff,base_domain,subsidiary_adjust
Cavium,cavium.com/,1053.0,1372.5,319.5,1372.5,FirmSize.LARGE_FIRM,0,cavium.com,0
Cbrite Inc.,cbriteinc.com/,15.0,,,15.0,FirmSize.SMALL_FIRM,2,cbriteinc.com,0
UTC FIRE & SECURITY CORPORATION,ccs.utc.com/ccs/en/worldwide/,2305.0,312.5,1992.5,2305.0,FirmSize.LARGE_FIRM,1,ccs.utc.com,0
Celanese Corporation,celanese.com/,,7592.0,,7592.0,FirmSize.LARGE_FIRM,5,celanese.com,1
Celanese International Corporation,celanese.com/,5321.0,7592.0,2271.0,7592.0,FirmSize.LARGE_FIRM,0,celanese.com,1
Ticona LLC,celanese.com/engineered-materials.aspx,2.0,50.0,48.0,7592.0,FirmSize.LARGE_FIRM,2,celanese.com,1
Pharmion Corporation,celgene.com/,52.0,513.0,461.0,513.0,FirmSize.LARGE_FIRM,2,celgene.com,0
CellPrint IP Holding,cellprintbiotechnology.com/,,,,,FirmSize.UNDEFINED,0,cellprintbiotechnology.com,0
CELLTRION,celltrion.com/en/main.do,592.0,388.0,204.0,592.0,FirmSize.LARGE_FIRM,1,celltrion.com,0
Cellular Research,cellularresearchinstitute.com/,96.0,120.0,24.0,120.0,FirmSize.EU_MEDIUM_FIRM,0,cellularresearchinstitute.com,0
Saint-Gobain Ceramics & Plastics,ceramicmaterials.saint-gobain.com/,22125.0,,,22125.0,FirmSize.LARGE_FIRM,5,ceramicmaterials.saint-gobain.com,0
Ceramatec,ceramtec.com/,61.0,,,61.0,FirmSize.EU_MEDIUM_FIRM,3,ceramtec.com,0
CERION LLC,cerionadvancedmaterials.com/,27.0,,,27.0,FirmSize.SMALL_FIRM,2,cerionadvancedmaterials.com,0
Certain-teed Corporation,certainteed.com/,2634.0,,,2634.0,FirmSize.LARGE_FIRM,5,certainteed.com,0
Copernicus Therapeutics,cgsys.com/,5.0,,,5.0,FirmSize.MICRO_FIRM,1,cgsys.com,0
Nippon Chemi-Con Corporation,chemi-con.co.jp/e/index.html,36.0,6967.0,6931.0,6967.0,FirmSize.LARGE_FIRM,3,chemi-con.co.jp,0
Chemtreat,chemtreat.com/,8.0,75.0,67.0,75.0,FirmSize.EU_MEDIUM_FIRM,2,chemtreat.com,0
Chevron U.S.A. Inc.,chevron.com/,73172.0,51900.0,21272.0,73172.0,FirmSize.LARGE_FIRM,0,chevron.com,0
Chipmos Technologies Inc.,chipmos.com/index-en.aspx,72.0,3436.5,3364.5,3436.5,FirmSize.LARGE_FIRM,2,chipmos.com,0
Christie Digital Systems,christiedigital.com/en-us/,2.0,210.0,208.0,210.0,FirmSize.EU_MEDIUM_FIRM,2,christiedigital.com,0
Chromalox,chromalox.com/,475.0,80.0,395.0,475.0,FirmSize.US_MEDIUM_FIRM,1,chromalox.com,0
CI4 Technologies,ci4.us/,9.0,,,9.0,FirmSize.MICRO_FIRM,1,ci4.us,0
Cima NanoTech Israel Ltd.,cimananotech.com/,18.0,,,18.0,FirmSize.SMALL_FIRM,2,cimananotech.com,0
L-3 Communications Cincinnati Electronics Corporation,cinele.com/,202.0,,,202.0,FirmSize.EU_MEDIUM_FIRM,3,cinele.com,0
Cisco Technology,cisco.com/,14.0,39200.0,39186.0,39200.0,FirmSize.LARGE_FIRM,3,cisco.com,0
Claret Medical,claretmedical.com/,44.0,,,44.0,FirmSize.SMALL_FIRM,2,claretmedical.com,0
Clean Energy Labs,cleanenergylabs.com/,26.0,,,26.0,FirmSize.SMALL_FIRM,2,cleanenergylabs.com,0
Clearside Biomedical,clearsidebio.com/,56.0,34.0,22.0,56.0,FirmSize.EU_MEDIUM_FIRM,1,clearsidebio.com,0
CLEARSIGN COMBUSTION CORPORATION,clearsign.com/,24.0,17.0,7.0,24.0,FirmSize.SMALL_FIRM,0,clearsign.com,0
CNH Industrial America LLC,cnhindustrial.com/en-us/Pages/Homepage.aspx,18140.0,32678.0,14538.0,32678.0,FirmSize.LARGE_FIRM,0,cnhindustrial.com,0
Corporation for National Research Initiatives,cnri.reston.va.us/,17.0,,,17.0,FirmSize.SMALL_FIRM,2,cnri.reston.va.us,0
Canon Nanotechnologies,cnt.canon.com/,78.0,80.0,2.0,80.0,FirmSize.EU_MEDIUM_FIRM,0,cnt.canon.com,0
Coactive Drive Corporation,coactivehs.com/team/,24.0,,,24.0,FirmSize.SMALL_FIRM,2,coactivehs.com,0
Codexis,codexis.com/,199.0,102.0,97.0,199.0,FirmSize.EU_MEDIUM_FIRM,0,codexis.com,0
Senga Advisors,coengadvisors.com/,2.0,,,2.0,FirmSize.MICRO_FIRM,1,coengadvisors.com,0
Coleman Cable,colemancables.com/,178.0,2708.0,2530.0,2708.0,FirmSize.LARGE_FIRM,2,colemancables.com,0
Colgate-Palmolive Company,colgatepalmolive.com/en-us,24464.0,,,24464.0,FirmSize.LARGE_FIRM,5,colgatepalmolive.com,0
Columbia Insurance Company,colinsgrp.com/site/,254.0,5200.0,4946.0,5200.0,FirmSize.LARGE_FIRM,1,colinsgrp.com,0
Coloplast A/S,coloplast.us/,7.0,,,7.0,FirmSize.MICRO_FIRM,1,coloplast.us,0
Combined Energies,combined-energies.com/,4.0,,,4.0,FirmSize.MICRO_FIRM,1,combined-energies.com,0
Complete Genomics,completegenomics.com/,13.0,255.0,242.0,255.0,FirmSize.US_MEDIUM_FIRM,2,completegenomics.com,0
Confluence Energy,confluenceenergy.com/,14.0,,,14.0,FirmSize.SMALL_FIRM,2,confluenceenergy.com,0
Conoco Inc.,conoco.com/,21586.0,20000.0,1586.0,21586.0,FirmSize.LARGE_FIRM,0,conoco.com,0
ConocoPhillips Company,conocophillips.com/,,11400.0,,11400.0,FirmSize.LARGE_FIRM,5,conocophillips.com,0
Continental Manufacturing,continentalcommercialproducts.com/,11.0,162636.5,162625.5,162636.5,FirmSize.LARGE_FIRM,3,continentalcommercialproducts.com,0
Conversant Intellectual Property Management Inc.,conversantip.com/,38.0,51.0,13.0,51.0,FirmSize.EU_MEDIUM_FIRM,1,conversantip.com,0
Cook Biotech Incorporated,cookbiotech.com/,137.0,650.0,513.0,650.0,FirmSize.LARGE_FIRM,2,cookbiotech.com,0
COOK MEDICAL TECHNOLOGIES LLC,cookmedical.com/,5229.0,1241.5,3987.5,5229.0,FirmSize.LARGE_FIRM,0,cookmedical.com,0
CoolEarth Solar,coolearthsolar.com/,24.0,,,24.0,FirmSize.SMALL_FIRM,2,coolearthsolar.com,0
Cool Planet Energy Systems,coolplanet.com/,103.0,,,103.0,FirmSize.EU_MEDIUM_FIRM,3,coolplanet.com,0
Cooper Technologies Company,coopertechnologies.net/,4.0,,,4.0,FirmSize.MICRO_FIRM,1,coopertechnologies.net,0
Coriant Advanced Technology,coriant.com/,1255.0,,,1255.0,FirmSize.LARGE_FIRM,5,coriant.com,0
Cornell Research Foundation,cornell.edu/research/,15986.0,,,15986.0,FirmSize.LARGE_FIRM,5,cornell.edu,0
KT Corporation,corp.kt.com/eng/,6110.0,,,6110.0,FirmSize.LARGE_FIRM,5,corp.kt.com,0
Dentsply International,corporate.dentsplysirona.com/en.html,6350.0,8150.0,1800.0,8150.0,FirmSize.LARGE_FIRM,0,corporate.dentsplysirona.com,0
ExxonMobil Upstream Research Company,corporate.exxonmobil.com/,62362.0,1000.0,61362.0,62362.0,FirmSize.LARGE_FIRM,0,corporate.exxonmobil.com,1
ExxonMobil Research and Engineering Company,corporate.exxonmobil.com/en/energy/research-and-development,,,,62362.0,FirmSize.LARGE_FIRM,0,corporate.exxonmobil.com,1
Ford Global Technologies,corporate.ford.com/innovation.html,2.0,482.0,480.0,482.0,FirmSize.US_MEDIUM_FIRM,3,corporate.ford.com,0
PPG Industries Ohio,corporate.ppg.com/Home.aspx,,47200.0,,47200.0,FirmSize.LARGE_FIRM,5,corporate.ppg.com,0
Courtagen Life Sciences,courtagen.com/,16.0,,,16.0,FirmSize.SMALL_FIRM,2,courtagen.com,0
COVERIS FLEXIBLES US LLC,coveris.com/,14.0,12.0,2.0,14.0,FirmSize.SMALL_FIRM,0,coveris.com,0
Chevron Phillips Chemical Company LP,cpchem.com/,3923.0,5000.0,1077.0,5000.0,FirmSize.LARGE_FIRM,0,cpchem.com,0
CP KELCO APS,cpkelco.com/,1249.0,,,1249.0,FirmSize.LARGE_FIRM,5,cpkelco.com,1
CP Kelco U.S.,cpkelco.com/,1249.0,,,1249.0,FirmSize.LARGE_FIRM,5,cpkelco.com,1
Community Power Corporation,cpwrfcu.org/,15.0,,,15.0,FirmSize.SMALL_FIRM,2,cpwrfcu.org,0
Cedar Ridge Research,cr-res.com/,9.0,,,9.0,FirmSize.MICRO_FIRM,1,cr-res.com,0
Cree,cree.com/,3034.0,6387.0,3353.0,6387.0,FirmSize.LARGE_FIRM,0,cree.com,0
Crestovo LLC,crestovo.com/,,,,,FirmSize.UNDEFINED,0,crestovo.com,0
Centre de Recherche Industrielle du Quebec,criq.qc.ca/fr/,125.0,,,125.0,FirmSize.EU_MEDIUM_FIRM,3,criq.qc.ca,0
Cristal USA Inc.,cristal.com/,46.0,150.0,104.0,150.0,FirmSize.EU_MEDIUM_FIRM,1,cristal.com,0
Bayer Cropscience AG,cropscience.bayer.com/,,,,,FirmSize.UNDEFINED,0,cropscience.bayer.com,0
Crossbar,crossbar-inc.com/en/,73.0,20.0,53.0,73.0,FirmSize.EU_MEDIUM_FIRM,1,crossbar-inc.com,0
Cross Match Technologies,crossmatch.com/,273.0,264.0,9.0,273.0,FirmSize.US_MEDIUM_FIRM,0,crossmatch.com,0
Crystalplex Corporation,crystalplex.com/,7.0,,,7.0,FirmSize.MICRO_FIRM,1,crystalplex.com,0
CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement,csem.ch/,,,,,FirmSize.UNDEFINED,0,csem.ch,0
Commonwealth Scientific & Industrial Research Organization,csiro.au/,5432.0,,,5432.0,FirmSize.LARGE_FIRM,5,csiro.au,0
CUMMINS FILTRATION IP,cumminsfiltration.com/,153.0,,,153.0,FirmSize.EU_MEDIUM_FIRM,3,cumminsfiltration.com,0
Cura Vac,curavac.com/,,,,,FirmSize.UNDEFINED,0,curavac.com,0
Custom Electronics Inc.,customelec.com/#!,3.0,,,3.0,FirmSize.MICRO_FIRM,1,customelec.com,0
CYBERCITY 3D,cybercity3d.com/,12.0,,,12.0,FirmSize.SMALL_FIRM,2,cybercity3d.com,0
CyboEnergy,cyboenergy.com/,6.0,,,6.0,FirmSize.MICRO_FIRM,1,cyboenergy.com,0
Cypress Semiconductor Corp.,cypress.com/,4335.0,6099.0,1764.0,6099.0,FirmSize.LARGE_FIRM,0,cypress.com,0
Daikin Industries,daikin.com/,402.0,63251.5,62849.5,63251.5,FirmSize.LARGE_FIRM,1,daikin.com,0
Dana-Farber Cancer Institute,dana-farber.org/,69000.0,,,69000.0,FirmSize.LARGE_FIRM,5,dana-farber.org,0
Dana Corporation,dana.com/,9131.0,27500.0,18369.0,27500.0,FirmSize.LARGE_FIRM,0,dana.com,0
Danisco US Inc.,danisco.com/food-beverages/,3087.0,4075.5,988.5,4075.5,FirmSize.LARGE_FIRM,0,danisco.com,0
Daylight Solutions,daylightsolutions.com/,118.0,,,118.0,FirmSize.EU_MEDIUM_FIRM,3,daylightsolutions.com,0
Da Yu Enterprises,dayuenterprises.com/,,,,,FirmSize.UNDEFINED,0,dayuenterprises.com,0
DECA Technologies Inc.,decatechnologies.com/,318.0,300.0,18.0,318.0,FirmSize.US_MEDIUM_FIRM,0,decatechnologies.com,0
Deep Science,deepscience.ai/,34.0,,,34.0,FirmSize.SMALL_FIRM,2,deepscience.ai,0
DEKA Products Limited Partnership,dekaresearch.com/,559.0,2.0,557.0,559.0,FirmSize.LARGE_FIRM,4,dekaresearch.com,0
Delavau LLC,delavaufood.com/,15.0,,,15.0,FirmSize.SMALL_FIRM,2,delavaufood.com,0
Delphi Technologies,delphi.com/new-delphi-technologies,11.0,19000.0,18989.0,19000.0,FirmSize.LARGE_FIRM,3,delphi.com,0
Delta Electronics,deltaww.com/,19.0,17190.0,17171.0,17190.0,FirmSize.LARGE_FIRM,3,deltaww.com,0
Great American Duck Races,demingduckrace.com/,28.0,,,28.0,FirmSize.SMALL_FIRM,2,demingduckrace.com,0
Denso Corporation,denso.com/global/en/,10728.0,9952.0,776.0,10728.0,FirmSize.LARGE_FIRM,0,denso.com,0
DePuy Synthes Products,depuysynthes.com/,,7610.0,,7610.0,FirmSize.LARGE_FIRM,5,depuysynthes.com,0
Dermazone Solutions,dermazone.com/,11.0,,,11.0,FirmSize.SMALL_FIRM,2,dermazone.com,0
Dexerials Corporation,dexerials.jp/en/,17.0,1002.5,985.5,1002.5,FirmSize.LARGE_FIRM,3,dexerials.jp,0
GE Healthcare Dharmacon,dharmacon.horizondiscovery.com/,16.0,,,16.0,FirmSize.SMALL_FIRM,2,dharmacon.horizondiscovery.com,0
DHPC TECHNOLOGIES,dhpctech.com/,140.0,65.0,75.0,140.0,FirmSize.EU_MEDIUM_FIRM,0,dhpctech.com,0
Dialight Corporation,dialight.com/,666.0,1139.0,473.0,1139.0,FirmSize.LARGE_FIRM,0,dialight.com,0
Dialogic Corporation,dialogic.com/,35.0,893.0,858.0,893.0,FirmSize.LARGE_FIRM,3,dialogic.com,0
DIC Corporation,dictionary.com/,,20628.0,,20628.0,FirmSize.LARGE_FIRM,5,dictionary.com,0
DiscoveRx Corporation,discoverx.com/home,138.0,,,138.0,FirmSize.EU_MEDIUM_FIRM,3,discoverx.com,0
DISCOVERYBIOMED INC.,discoverybiomed.com/,5.0,,,5.0,FirmSize.MICRO_FIRM,1,discoverybiomed.com,0
SAMSUNG DISPLAY CO.,displaysolutions.samsung.com/,1438.0,10000.0,8562.0,10000.0,FirmSize.LARGE_FIRM,0,displaysolutions.samsung.com,0
Dolby Laboratories Licensing Corporation,dolby.com/us/en/professional/licensing.html,1995.0,2151.0,156.0,2151.0,FirmSize.LARGE_FIRM,0,dolby.com,0
Domtar Paper Company,domtar.com/en,61.0,20.0,41.0,61.0,FirmSize.EU_MEDIUM_FIRM,1,domtar.com,0
Dow Global Technologies Inc.,dow.com/en-us,6.0,,,46200.0,FirmSize.LARGE_FIRM,1,dow.com,1
Dow Technology Investments LLC,dow.com/en-us,4467.0,,,46200.0,FirmSize.LARGE_FIRM,5,dow.com,1
Rohm and Haas Chemicals LLC,dow.com/en-us,1068.0,7747.0,6679.0,46200.0,FirmSize.LARGE_FIRM,0,dow.com,1
Rohm and Haas Company,dow.com/en-us,1068.0,15490.0,14422.0,46200.0,FirmSize.LARGE_FIRM,0,dow.com,1
Dow Corning Corporation,dow.com/en-us/dow-corning-integration,35616.0,46200.0,10584.0,46200.0,FirmSize.LARGE_FIRM,0,dow.com,1
Dow AgroSciences LLC,dowagro.com/en-us/,15.0,,,15.0,FirmSize.SMALL_FIRM,2,dowagro.com,0
Rohm and Haas Electronic Materials LLC,dowelectronicmaterials.com/,216.0,7747.0,7531.0,7747.0,FirmSize.LARGE_FIRM,2,dowelectronicmaterials.com,0
The Charles Stark Draper Laboratory,draper.com/,1661.0,1417.0,244.0,1661.0,FirmSize.LARGE_FIRM,0,draper.com,0
Dresser-Rand Company,dresser-rand.com/,4597.0,65.0,4532.0,4597.0,FirmSize.LARGE_FIRM,2,dresser-rand.com,0
Dr. Reddy's Laboratories Ltd.,drreddys.com/,14705.0,,,14705.0,FirmSize.LARGE_FIRM,5,drreddys.com,0
DSP Group LTD.,dspg.com/,783.0,364.5,418.5,783.0,FirmSize.LARGE_FIRM,1,dspg.com,0
Deployable Space Systems,dss-space.com/,19.0,,,19.0,FirmSize.SMALL_FIRM,2,dss-space.com,0
E. I. du Pont de Nemours and Company,dupont.com/,33909.0,,,44000.0,FirmSize.LARGE_FIRM,5,dupont.com,1
E. I. du Pont de Nemours and Company duPont Displays Inc,dupont.com/,33909.0,,,44000.0,FirmSize.LARGE_FIRM,5,dupont.com,1
E.I. du Pont de Nemours and Company,dupont.com/,33909.0,44000.0,10091.0,44000.0,FirmSize.LARGE_FIRM,0,dupont.com,1
Pioneer Hi Bred International Inc,dupont.com/corporate-functions/our-company/businesses/pioneer.html,6.0,,,44000.0,FirmSize.LARGE_FIRM,1,dupont.com,1
Pioneer Hi-Bred,dupont.com/corporate-functions/our-company/businesses/pioneer.html,,,,44000.0,FirmSize.LARGE_FIRM,0,dupont.com,1
Pioneer Hi-Bred International,dupont.com/corporate-functions/our-company/businesses/pioneer.html,6.0,,,44000.0,FirmSize.LARGE_FIRM,1,dupont.com,1
D-Wave Systems Inc.,dwavesys.com/,184.0,,,184.0,FirmSize.EU_MEDIUM_FIRM,3,dwavesys.com,0
Dymax Corporation,dymax.com/,191.0,59.0,132.0,191.0,FirmSize.EU_MEDIUM_FIRM,0,dymax.com,0
Dynamic Solutions Worldwide,dynatrap.com/,23.0,,,23.0,FirmSize.SMALL_FIRM,2,dynatrap.com,0
Easel Biotechnologies,easelbio.com/,311.0,,,311.0,FirmSize.US_MEDIUM_FIRM,4,easelbio.com,0
The Eastern Co.,easterncompany.com/,27.0,,,27.0,FirmSize.SMALL_FIRM,2,easterncompany.com,0
Eastman Chemical Company,eastman.com/Pages/Home.aspx,8938.0,14000.0,5062.0,14000.0,FirmSize.LARGE_FIRM,0,eastman.com,1
Solutia Inc.,eastman.com/Pages/solutia.aspx,12.0,3400.0,3388.0,14000.0,FirmSize.LARGE_FIRM,3,eastman.com,1
Eaton Corporation,eaton.com/us/en-us.html,35.0,96000.0,95965.0,96000.0,FirmSize.LARGE_FIRM,3,eaton.com,0
Echogen Power Systems,echogen.com/,20.0,,,20.0,FirmSize.SMALL_FIRM,2,echogen.com,0
EchoStar Technologies LLC,echostar.com/,1518.0,2050.0,532.0,2050.0,FirmSize.LARGE_FIRM,0,echostar.com,0
Ecolab Inc.,ecolab.com/,24443.0,48400.0,23957.0,48400.0,FirmSize.LARGE_FIRM,0,ecolab.com,1
Nalco Company,ecolab.com/nalco-water,4430.0,11500.0,7070.0,48400.0,FirmSize.LARGE_FIRM,0,ecolab.com,1
ECOSYNTHETIX LTD.,ecosynthetix.com/,20.0,30.0,10.0,30.0,FirmSize.SMALL_FIRM,0,ecosynthetix.com,0
Ecovative Design,ecovativedesign.com/,38.0,70.0,32.0,70.0,FirmSize.EU_MEDIUM_FIRM,1,ecovativedesign.com,0
SolarLego Inc.,education.lego.com/en-us/products/lego-solar-panel/9667,,,,,FirmSize.UNDEFINED,0,education.lego.com,0
Egenera,egenera.com/,137.0,173.5,36.5,173.5,FirmSize.EU_MEDIUM_FIRM,0,egenera.com,0
E Ink Corporation,eink.com/,516.0,,,516.0,FirmSize.LARGE_FIRM,5,eink.com,0
Eisai Co.,eisai.com/index.html,2665.0,10437.5,7772.5,10437.5,FirmSize.LARGE_FIRM,0,eisai.com,0
Express Imaging Systems,eiscallcenter.com/,6.0,100.0,94.0,100.0,FirmSize.EU_MEDIUM_FIRM,2,eiscallcenter.com,0
ElectraTherm,electratherm.com/,24.0,,,24.0,FirmSize.SMALL_FIRM,2,electratherm.com,0
Electrix,electrixillumination.com/,795.0,40100.0,39305.0,40100.0,FirmSize.LARGE_FIRM,0,electrixillumination.com,0
Electrovaya Inc.,electrovaya.com/,,37.0,,37.0,FirmSize.SMALL_FIRM,2,electrovaya.com,0
Element One,elementonescreens.com/,16.0,,,16.0,FirmSize.SMALL_FIRM,2,elementonescreens.com,0
Elenion Technologies,elenion.com/,55.0,,,55.0,FirmSize.EU_MEDIUM_FIRM,3,elenion.com,0
Elwha LLC,elwha.org/,108.0,,,108.0,FirmSize.EU_MEDIUM_FIRM,3,elwha.org,0
Em-Tech LLC,em-techinc.com/,10.0,,,10.0,FirmSize.SMALL_FIRM,2,em-techinc.com,0
EMC Corporation,emcins.com/,1644.0,72000.0,70356.0,72000.0,FirmSize.LARGE_FIRM,0,emcins.com,0
EMD Technologies Inc.,emd-technologies.com/,66.0,2912.0,2846.0,2912.0,FirmSize.LARGE_FIRM,2,emd-technologies.com,0
Empire Technology Development LLC,empirelabauto.com/index.html,3.0,,,3.0,FirmSize.MICRO_FIRM,1,empirelabauto.com,0
Lumenco,en.lumenco.ca/,8.0,,,8.0,FirmSize.MICRO_FIRM,1,en.lumenco.ca,0
EPCOS AG,en.tdk-electronics.tdk.com/,,23609.5,,23609.5,FirmSize.LARGE_FIRM,5,en.tdk-electronics.tdk.com,0
Energen,energen.com/,7.0,390.0,383.0,390.0,FirmSize.US_MEDIUM_FIRM,3,energen.com,0
Energysolutions,energysolutions.com/,47.0,2500.0,2453.0,2500.0,FirmSize.LARGE_FIRM,3,energysolutions.com,0
Quallion LLC,enersys.com/default.aspx?langType=1033,62.0,,,62.0,FirmSize.EU_MEDIUM_FIRM,3,enersys.com,0
OPTERRA ENERGY SERVICES,engieservices.us/,97.0,,,97.0,FirmSize.EU_MEDIUM_FIRM,3,engieservices.us,0
Enginuity Worldwide,enginuityww.webstarts.com/,4.0,,,4.0,FirmSize.MICRO_FIRM,1,enginuityww.webstarts.com,0
Englewood Lab,englewoodlab.com/,100.0,,,100.0,FirmSize.EU_MEDIUM_FIRM,3,englewoodlab.com,0
ENI S.p.A.,eni.com/en_IT/home.page,30.0,5172.0,5142.0,18785.0,FirmSize.LARGE_FIRM,3,eni.com,1
ENI Technology,eni.com/en_IT/innovation.page,2.0,18785.0,18783.0,18785.0,FirmSize.LARGE_FIRM,4,eni.com,1
eNow,enowenergy.com/,12.0,,,12.0,FirmSize.SMALL_FIRM,2,enowenergy.com,0
Ensyn Renewables,ensyn.com/,33.0,,,33.0,FirmSize.SMALL_FIRM,2,ensyn.com,0
Entech Solar,entechsolutions.us/,15.0,18.0,3.0,18.0,FirmSize.SMALL_FIRM,0,entechsolutions.us,0
Entegris,entegris.com/,2700.0,3500.0,800.0,3500.0,FirmSize.LARGE_FIRM,0,entegris.com,0
CAMBRIDGE ENTERPRISE LIMITED,enterprise.cam.ac.uk/,66.0,,,66.0,FirmSize.EU_MEDIUM_FIRM,3,enterprise.cam.ac.uk,0
InVisage Technologies,envisagenow.com/,35.0,,,35.0,FirmSize.SMALL_FIRM,2,envisagenow.com,0
Envisionit LLC,envisionit.com/,58.0,,,58.0,FirmSize.EU_MEDIUM_FIRM,3,envisionit.com,0
Envision Solar International,envisionsolar.com/,28.0,,,28.0,FirmSize.SMALL_FIRM,2,envisionsolar.com,0
BASF Enzymes LLC,enzymes.basf.com/,,111.0,,111.0,FirmSize.EU_MEDIUM_FIRM,3,enzymes.basf.com,0
Epizyme,epizyme.com/,149.0,97.5,51.5,149.0,FirmSize.EU_MEDIUM_FIRM,0,epizyme.com,0
ESCAPE THERAPEUTICS,escapetherapeutics.com/,15.0,,,15.0,FirmSize.SMALL_FIRM,2,escapetherapeutics.com,0
Esolar,esolar.solar/,40.0,59100.0,59060.0,59100.0,FirmSize.LARGE_FIRM,3,esolar.solar,0
Ethicon Endo-Surgery,ethicon.com/,5386.0,1440.0,3946.0,5386.0,FirmSize.LARGE_FIRM,0,ethicon.com,0
Evri,everi.com/,151.0,1000.0,849.0,1000.0,FirmSize.LARGE_FIRM,2,everi.com,0
Evernote Corporation,evernote.com/,488.0,400.0,88.0,488.0,FirmSize.US_MEDIUM_FIRM,0,evernote.com,0
Everspin Technologies,everspin.com/,121.0,98.0,23.0,121.0,FirmSize.EU_MEDIUM_FIRM,0,everspin.com,0
Evoqua Water Technologies LLC,evoqua.com/,2759.0,50.0,2709.0,2759.0,FirmSize.LARGE_FIRM,2,evoqua.com,0
Electronic Warfare Associates,ewa.com/,353.0,,,353.0,FirmSize.US_MEDIUM_FIRM,4,ewa.com,0
Extech/Exterior Technologies,extechinc.com/,29.0,,,29.0,FirmSize.SMALL_FIRM,2,extechinc.com,0
ExxonMobil Chemical Patents Inc.,exxonmobilchemical.com/en,,,,,FirmSize.UNDEFINED,0,exxonmobilchemical.com,0
Faurecia Interior Systems,faurecia.com/en,71.0,350.0,279.0,350.0,FirmSize.US_MEDIUM_FIRM,1,faurecia.com,0
Federal Signal Corporation,federalsignal.com/,769.0,2800.0,2031.0,2800.0,FirmSize.LARGE_FIRM,0,federalsignal.com,0
FEI Company,fei.com/careers/,2385.0,2800.0,415.0,2800.0,FirmSize.LARGE_FIRM,0,fei.com,0
Ferro Corporation,ferro.com/,7.0,143.0,136.0,143.0,FirmSize.EU_MEDIUM_FIRM,2,ferro.com,0
Fike Corporation,fike.com/,17.0,,,17.0,FirmSize.SMALL_FIRM,2,fike.com,0
Fina Technology,finatg.com/,75.0,2802.0,2727.0,2802.0,FirmSize.LARGE_FIRM,2,finatg.com,0
Finisar Corporation,finisar.com/,2410.0,13000.0,10590.0,13000.0,FirmSize.LARGE_FIRM,0,finisar.com,0
First Solar,firstsolar.com/,3334.0,6350.0,3016.0,6350.0,FirmSize.LARGE_FIRM,0,firstsolar.com,0
Flextronics AP,flex.com/,31.0,,,31.0,FirmSize.SMALL_FIRM,2,flex.com,0
FLIR Systems,flir.com/,2870.0,2800.0,70.0,2870.0,FirmSize.LARGE_FIRM,0,flir.com,0
Floadia Corporation,floadia.com/,61.0,,,61.0,FirmSize.EU_MEDIUM_FIRM,3,floadia.com,0
FLOW CONTROL LLC.,flowcontrol.com/,10.0,,,10.0,FirmSize.SMALL_FIRM,2,flowcontrol.com,0
Fluidigm Corporation,fluidigm.com/,517.0,502.5,14.5,517.0,FirmSize.LARGE_FIRM,0,fluidigm.com,0
Forest Concepts,forestconcepts.com/,11.0,34250.0,34239.0,34250.0,FirmSize.LARGE_FIRM,3,forestconcepts.com,0
Formula Plastics,formulaplastics.com/,18.0,,,18.0,FirmSize.SMALL_FIRM,2,formulaplastics.com,0
Hon Hai Precision Industry Co.,foxconn.com/,224.0,503500.0,503276.0,503500.0,FirmSize.LARGE_FIRM,2,foxconn.com,0
FPInnovations,fpinnovations.ca/,419.0,525.0,106.0,525.0,FirmSize.LARGE_FIRM,1,fpinnovations.ca,0
FRONT EDGE TECHNOLOGY INC.,frontedgetechnology.com/,3.0,,,3.0,FirmSize.MICRO_FIRM,1,frontedgetechnology.com,0
Fuji Electric Co.,fujielectric.com/,165.0,26864.0,26699.0,26864.0,FirmSize.LARGE_FIRM,2,fujielectric.com,0
FUJIFILM Corporation,fujifilm.com/,108.0,78150.0,78042.0,78150.0,FirmSize.LARGE_FIRM,2,fujifilm.com,0
FUJIFILM Dimatix,fujifilmusa.com/products/industrial_inkjet_printheads/index.html,413.0,,,413.0,FirmSize.US_MEDIUM_FIRM,4,fujifilmusa.com,0
Fujitsu Limited,fujitsu.com/global/,2070.0,140000.0,137930.0,140000.0,FirmSize.LARGE_FIRM,0,fujitsu.com,1
Fujitsu Semiconductor Limited,fujitsu.com/jp/group/fsl/en/,167.0,,,140000.0,FirmSize.LARGE_FIRM,3,fujitsu.com,1
Fuji Xerox Co.,fujixerox.com/eng,314.0,8023.0,7709.0,8023.0,FirmSize.LARGE_FIRM,1,fujixerox.com,0
FULL CIRCLE BIOCHAR,fullcirclebiochar.com/,2.0,,,2.0,FirmSize.MICRO_FIRM,1,fullcirclebiochar.com,0
Furukawa Electric Co.,furukawa.co.jp/en/,215.0,51925.0,51710.0,51925.0,FirmSize.LARGE_FIRM,2,furukawa.co.jp,0
fybr,fybr.com/,23.0,,,23.0,FirmSize.SMALL_FIRM,2,fybr.com,0
Galectin Therapeutics,galectintherapeutics.com/,54.0,7.0,47.0,54.0,FirmSize.EU_MEDIUM_FIRM,2,galectintherapeutics.com,0
Galemed Corporation,galemed.com/manager/eService/RC08-all_0225.pdf,33.0,,,33.0,FirmSize.SMALL_FIRM,2,galemed.com,0
