firm_name,url,li_emps,median_gw_emps,emp_diff,max_emps,size_state,state_diff,base_domain,subsidiary_adjust
Akron Polymer Systems,akronpolysys.com/,16.0,,,16.0,FirmSize.SMALL_FIRM,2,akronpolysys.com,0
Alcatel Lucent,al-enterprise.com/,2087.0,,,2087.0,FirmSize.LARGE_FIRM,5,al-enterprise.com,0
Alcon Research,alcon.com/,21766.0,16700.0,5066.0,21766.0,FirmSize.LARGE_FIRM,0,alcon.com,0
Alcotek,alcotek.com/,20.0,90.0,70.0,90.0,FirmSize.EU_MEDIUM_FIRM,1,alcotek.com,0
Alencon Acquisition Co.,alenconsystems.com/,13.0,,,13.0,FirmSize.SMALL_FIRM,2,alenconsystems.com,0
Alexion Pharmaceuticals,alexion.com/,2760.0,2525.0,235.0,2760.0,FirmSize.LARGE_FIRM,0,alexion.com,0
Algenol Biotech LLC,algenol.com/,12.0,127.0,115.0,127.0,FirmSize.EU_MEDIUM_FIRM,1,algenol.com,0
ALGETERNAL TECHNOLOGIES,algeternal.com/,6.0,,,6.0,FirmSize.MICRO_FIRM,1,algeternal.com,0
Allertein Therapeutics,allergytherapeutics.com/,,,,,FirmSize.UNDEFINED,0,allergytherapeutics.com,0
Alliance for Sustainable Energy,allianceforsustainableenergy.org/,3.0,,,3.0,FirmSize.MICRO_FIRM,1,allianceforsustainableenergy.org,0
Allison Transmission,allisontransmission.com/,2030.0,2600.0,570.0,2600.0,FirmSize.LARGE_FIRM,0,allisontransmission.com,0
All Power Labs,allpowerlabs.com/,43.0,,,43.0,FirmSize.SMALL_FIRM,2,allpowerlabs.com,0
PLYCEM USA,allurausa.com/,29.0,250.0,221.0,250.0,FirmSize.US_MEDIUM_FIRM,2,allurausa.com,0
Alnylam Pharmaceuticals,alnylam.com/,1198.0,631.5,566.5,1198.0,FirmSize.LARGE_FIRM,0,alnylam.com,0
ALSTOM Technology Ltd,alstom.com/,30819.0,34500.0,3681.0,34500.0,FirmSize.LARGE_FIRM,0,alstom.com,0
Altivera,altabira.com/,26.0,,,26.0,FirmSize.SMALL_FIRM,2,altabira.com,0
AltaRock Energy,altarockenergy.com/,14.0,,,14.0,FirmSize.SMALL_FIRM,2,altarockenergy.com,0
Altex Technologies Corporation,altextech.com/,12.0,,,12.0,FirmSize.SMALL_FIRM,2,altextech.com,0
Ambature,ambature.com/,18.0,,,18.0,FirmSize.SMALL_FIRM,2,ambature.com,0
Amberwave Inc.,amberwave.com/,9.0,,,9.0,FirmSize.MICRO_FIRM,1,amberwave.com,0
Amgen Fremont Inc.,amgen.com/,27187.0,,,27187.0,FirmSize.LARGE_FIRM,5,amgen.com,1
Amgen Inc.,amgen.com/,27187.0,12962.5,14224.5,27187.0,FirmSize.LARGE_FIRM,0,amgen.com,1
Amicus Therapeutics,amicusrx.com/,512.0,208.5,303.5,512.0,FirmSize.LARGE_FIRM,2,amicusrx.com,0
Amkor Technology,amkor.com/,5439.0,25100.0,19661.0,25100.0,FirmSize.LARGE_FIRM,0,amkor.com,0
Ampio Pharmaceuticals,ampiopharma.com/,15.0,17.0,2.0,17.0,FirmSize.SMALL_FIRM,0,ampiopharma.com,0
Amprius,amprius.com/,44.0,,,44.0,FirmSize.SMALL_FIRM,2,amprius.com,0
AMPT,ampt.com/,33.0,,,33.0,FirmSize.SMALL_FIRM,2,ampt.com,0
Princeton Optronics,ams.com/,31.0,,,31.0,FirmSize.SMALL_FIRM,2,ams.com,0
American Science and Technology Corporation,amsnt.com/,300.0,3738.0,3438.0,3738.0,FirmSize.LARGE_FIRM,1,amsnt.com,0
Amtech Systems,amtechsystems.com/,41.0,468.0,427.0,468.0,FirmSize.US_MEDIUM_FIRM,2,amtechsystems.com,0
Analog Devices,analog.com/en/index.html,10540.0,15300.0,4760.0,15300.0,FirmSize.LARGE_FIRM,0,analog.com,0
Advanced Analogic Technologies,analogictech.com/,697.0,281.0,416.0,697.0,FirmSize.LARGE_FIRM,1,analogictech.com,0
Andritz Inc.,andritz.com/group-en,9780.0,15075.0,5295.0,15075.0,FirmSize.LARGE_FIRM,0,andritz.com,0
Angaza Design,angaza.com/,67.0,,,67.0,FirmSize.EU_MEDIUM_FIRM,3,angaza.com,0
Angiotech Pharmaceuticals (US),angiotech.com/,33.0,1364.0,1331.0,1364.0,FirmSize.LARGE_FIRM,3,angiotech.com,0
Annam Biosciences,annambiosciences.com/,4.0,,,4.0,FirmSize.MICRO_FIRM,1,annambiosciences.com,0
Ansun Biopharma,ansunbiopharma.com/,21.0,,,21.0,FirmSize.SMALL_FIRM,2,ansunbiopharma.com,0
Antaya Technologies Corporation,antaya.com/,54.0,225.0,171.0,225.0,FirmSize.EU_MEDIUM_FIRM,0,antaya.com,0
Applied Optoelectronics,ao-inc.com/,236.0,3054.0,2818.0,3054.0,FirmSize.LARGE_FIRM,2,ao-inc.com,0
Alpha and Omega Semiconductor Incorporated,aosmd.com/,335.0,2670.0,2335.0,2670.0,FirmSize.LARGE_FIRM,1,aosmd.com,0
American Piledriving Equipment,apevibro.com/,85.0,,,85.0,FirmSize.EU_MEDIUM_FIRM,3,apevibro.com,0
Apple Inc.,apple.com/,,123000.0,,123000.0,FirmSize.LARGE_FIRM,5,apple.com,0
Applied Materials,appliedmaterials.com/,4.0,18400.0,18396.0,18400.0,FirmSize.LARGE_FIRM,4,appliedmaterials.com,1
APPLIED MATERIALS ISRAEL LTD.,appliedmaterials.com/,4.0,1054.0,1050.0,18400.0,FirmSize.LARGE_FIRM,4,appliedmaterials.com,1
Applied Membrane Technologies,appliedmembranetech.com/,31.0,10.0,21.0,31.0,FirmSize.SMALL_FIRM,0,appliedmembranetech.com,0
APPLIED STEMCELL,appliedstemcell.com/,81.0,,,81.0,FirmSize.EU_MEDIUM_FIRM,3,appliedstemcell.com,0
Applied Nanostructures,appnano.com/,295.0,,,295.0,FirmSize.US_MEDIUM_FIRM,4,appnano.com,0
ARBOR THERAPEUTICS,arborpharma.com/,589.0,,,589.0,FirmSize.LARGE_FIRM,5,arborpharma.com,0
Arcturus Therapeutics,arcturusrx.com/,61.0,60.0,1.0,61.0,FirmSize.EU_MEDIUM_FIRM,0,arcturusrx.com,0
Areesys Technologies,areesys.com/,,,,,FirmSize.UNDEFINED,0,areesys.com,0
Arkema Inc.,arkema.com/en/,6320.0,19389.5,13069.5,19389.5,FirmSize.LARGE_FIRM,0,arkema.com,0
Arkival Technology Corp.,arkival.com/,3.0,,,3.0,FirmSize.MICRO_FIRM,1,arkival.com,0
Armageddon Energy Inc.,armageddonenergy.com/,5.0,,,5.0,FirmSize.MICRO_FIRM,1,armageddonenergy.com,0
AROG PHARMACEUTICALS,arogpharmaceuticals.com/,28.0,20.0,8.0,28.0,FirmSize.SMALL_FIRM,0,arogpharmaceuticals.com,0
Arpin Renewable Energy,arpingroup.com/,29.0,,,29.0,FirmSize.SMALL_FIRM,2,arpingroup.com,0
Arrowhead Center,arrowheadcenter.nmsu.edu/,9.0,943.0,934.0,943.0,FirmSize.LARGE_FIRM,4,arrowheadcenter.nmsu.edu,0
ASCENT SOLAR TECHNOLOGIES,ascentsolar.com/,82.0,110.5,28.5,110.5,FirmSize.EU_MEDIUM_FIRM,0,ascentsolar.com,0
ASM America,asm.com/,1236.0,1586.5,350.5,14940.0,FirmSize.LARGE_FIRM,0,asm.com,1
ASM IP HOLDING B.V.,asm.com/,,,,14940.0,FirmSize.LARGE_FIRM,0,asm.com,1
ASM IP Holdings LLC,asm.com/,14940.0,,,14940.0,FirmSize.LARGE_FIRM,5,asm.com,1
ASML Netherlands B.V.,asml.com/asml/en/s427,18233.0,,,18233.0,FirmSize.LARGE_FIRM,5,asml.com,0
