firm_key,para_order,num_words,main_topic,prob
Kinetech Power Company LLC.txt,12,5,0,0.8646216988563538
GOAL ZERO LLC.txt,1,14,4,0.9461342692375183
GOAL ZERO LLC.txt,2,17,0,0.9554271697998047
GOAL ZERO LLC.txt,3,14,2,0.5632625818252563
GOAL ZERO LLC.txt,4,18,1,0.957512617111206
GOAL ZERO LLC.txt,5,17,0,0.955150842666626
GOAL ZERO LLC.txt,6,12,0,0.9382256269454956
GOAL ZERO LLC.txt,7,19,3,0.9596444368362427
GOAL ZERO LLC.txt,8,15,0,0.9498751759529114
GOAL ZERO LLC.txt,9,16,0,0.9521063566207886
GOAL ZERO LLC.txt,10,6,4,0.884840190410614
NanoOncology.txt,1,8,4,0.9108141660690308
NanoOncology.txt,2,14,4,0.9463114142417908
NanoOncology.txt,3,34,3,0.9769256711006165
NanoOncology.txt,4,9,2,0.9199590682983398
NanoOncology.txt,5,0,4,0.20000000298023224
Genesco Inc_.txt,1,13,1,0.9426724314689636
Genesco Inc_.txt,2,25,1,0.9690406322479248
Genesco Inc_.txt,3,10,2,0.9264156818389893
Gilead Connecticut.txt,1,61,1,0.9870041608810425
Gilead Connecticut.txt,2,13,4,0.9425440430641174
Gilead Connecticut.txt,3,0,4,0.20000000298023224
CyboEnergy.txt,1,0,4,0.20000000298023224
Alliance for Sustainable Energy.txt,1,17,2,0.9553215503692627
Alliance for Sustainable Energy.txt,2,12,3,0.9380760192871094
Alliance for Sustainable Energy.txt,3,0,4,0.20000000298023224
