,Unnamed: 0,firm_name,url,li_emps,median_gw_emps,emp_diff,max_emps,size_state,state_diff,base_domain,subsidiary_adjust,clnd_name_x,fg500_match,clnd_fg500,rank,name,emps,clnd_name_y
43,771,NEC Corporation,nec.com/,8430.0,100914.0,92484.0,54790.0,FirmSize.LARGE_FIRM,0,nec.com,0,NEC,NEC,NEC,470,NEC,"110,595",NEC
44,1218,Canon,usa.canon.com/internet/portal/us/home,,100638.0,,3500.0,FirmSize.LARGE_FIRM,5,usa.canon.com,0,Canon,Canon,Canon,345,Canon,"195,056",Canon
46,662,Lockheed Martin Corporation,lockheedmartin.com/en-us/index.html,92618.0,100000.0,7382.0,100000.0,FirmSize.LARGE_FIRM,0,lockheedmartin.com,0,Lockheed Martin,Lockheed Martin,Lockheed Martin,60,Lockheed Martin,"105,000",Lockheed Martin
47,733,Abbott Molecular Inc.,molecular.abbott/,243.0,99000.0,98757.0,99000.0,FirmSize.LARGE_FIRM,2,molecular.abbott,1,Abbott Molecular,Abbott Laboratories,Abbott Laboratories,103,Abbott Laboratories,"103,000",Abbott Laboratories
48,880,The Procter & Gamble Company,pg.com/,98781.0,95000.0,3781.0,98781.0,FirmSize.LARGE_FIRM,0,pg.com,0,The Procter  Gamble Company,Procter  Gamble,Procter  Gamble,45,Procter & Gamble,"92,000",Procter  Gamble
49,565,Intel Corporation,intel.com/content/us/en/homepage.html,3.0,96350.0,96347.0,90000.0,FirmSize.LARGE_FIRM,4,intel.com,0,Intel,Intel,Intel,43,Intel,"107,400",Intel
50,1042,Hynix Semiconductor Inc.,skhynix.com/eng/index.jsp,143.0,95600.0,95457.0,3297.0,FirmSize.LARGE_FIRM,2,skhynix.com,1,Hynix Semiconductor,SK Hynix,SK Hynix,335,SK Hynix,"33,000",SK Hynix
52,870,Pegatron Corporation,pegatroncorp.com/,5060.0,91797.0,86737.0,5646.0,FirmSize.LARGE_FIRM,0,pegatroncorp.com,0,Pegatron,Pegatron,Pegatron,259,Pegatron,"156,477",Pegatron
53,5,Google Inc.,abc.xyz/,8.0,85050.0,85042.0,85050.0,FirmSize.LARGE_FIRM,4,abc.xyz,0,Google,Alphabet,Alphabet,15,Alphabet,"98,771",Alphabet
54,805,Northrop Grumman Systems Corporation,northropgrumman.com/,73982.0,70000.0,3982.0,81850.0,FirmSize.LARGE_FIRM,0,northropgrumman.com,0,Northrop Grumman Systems,Northrop Grumman,Northrop Grumman,108,Northrop Grumman,"85,000",Northrop Grumman
55,235,Chevron U.S.A. Inc.,chevron.com/,73172.0,51900.0,21272.0,73172.0,FirmSize.LARGE_FIRM,0,chevron.com,0,Chevron USA,Chevron,Chevron,11,Chevron,"48,600",Chevron
56,371,EMC Corporation,emcins.com/,1644.0,72000.0,70356.0,72000.0,FirmSize.LARGE_FIRM,0,emcins.com,0,EMC,EMCOR,EMCOR,375,EMCOR Group,"33,000",EMCOR
57,960,Roche Molecular Systems,roche.com/,70192.0,400.0,69792.0,70192.0,FirmSize.LARGE_FIRM,1,roche.com,1,Roche Molecular Systems,Roche Group,Roche,163,Roche Group,"94,442",Roche
60,793,Nissan Motor Co.,nissan-global.com/EN/,35422.0,68770.0,33348.0,35422.0,FirmSize.LARGE_FIRM,0,nissan-global.com,0,Nissan Motor Co,Nissan Motor,Nissan Motor,66,Nissan Motor,"148,513",Nissan Motor
61,470,The Goodyear Tire & Rubber Company,goodyear.com/,19074.0,64000.0,44926.0,64000.0,FirmSize.LARGE_FIRM,0,goodyear.com,0,The Goodyear Tire  Rubber Company,Goodyear Tire  Rubber,Goodyear Tire  Rubber,203,Goodyear Tire & Rubber,"64,000",Goodyear Tire  Rubber
62,937,Raytheon Company,raytheon.com/,48250.0,64000.0,15750.0,64000.0,FirmSize.LARGE_FIRM,0,raytheon.com,1,Raytheon Company,Raytheon,Raytheon,114,Raytheon,"67,000",Raytheon
64,300,Daikin Industries,daikin.com/,402.0,63251.5,62849.5,70263.0,FirmSize.LARGE_FIRM,1,daikin.com,0,Daikin Industries,Mohawk Industries,Mohawk Industries,315,Mohawk Industries,"42,100",Mohawk Industries
65,273,ExxonMobil Upstream Research Company,corporate.exxonmobil.com/,62362.0,1000.0,61362.0,62362.0,FirmSize.LARGE_FIRM,0,corporate.exxonmobil.com,1,ExxonMobil Upstream Research Company,Exxon Mobil,Exxon Mobil,2,Exxon Mobil,"71,000",Exxon Mobil
67,1,3M Innovative Properties Company,3m.com/,60593.0,,,60593.0,FirmSize.LARGE_FIRM,5,3m.com,0,3M Innovative Properties Company,3M,3M,95,3M,"93,516",3M
68,1274,Xerox Corporation,xerox.com/,59211.0,34250.0,24961.0,59211.0,FirmSize.LARGE_FIRM,0,xerox.com,0,Xerox,Xerox,Xerox,318,Xerox,"32,400",Xerox
69,153,Becton,bd.com/,24795.0,58982.5,34187.5,76032.0,FirmSize.LARGE_FIRM,0,bd.com,0,Becton,Becton Dickinson,Becton Dickinson,195,Becton Dickinson,"76,032",Becton Dickinson
70,25,adidas AG,adidas.com/us/,36453.0,56888.0,20435.0,36453.0,FirmSize.LARGE_FIRM,0,adidas.com,0,adidas AG,Adidas,Adidas,481,Adidas,"57,016",Adidas
71,594,JFE STEEL CORPORATION,jfe-steel.co.jp/en/,23.0,51526.0,51503.0,45842.0,FirmSize.LARGE_FIRM,3,jfe-steel.co.jp,0,JFE STEEL,JFE Holdings,JFE Holdings,356,JFE Holdings,"62,083",JFE Holdings
73,1046,Schlumberger Technology Corporation,slb.com/,36.0,50978.5,50942.5,1957.0,FirmSize.LARGE_FIRM,3,slb.com,0,Schlumberger Technology,Schlumberger,Schlumberger,379,Schlumberger,"100,000",Schlumberger
