firm name,url,LinkedIn employees,LinkedIn url,LinkedIn matched name,jaro-winkler distance result
ACACIA RESEARCH GROUP LLC,acaciaresearch.com/,213,https://www.linkedin.com/company/acacia,Acacia,20
Ticona LLC,celanese.com/engineered-materials.aspx,5263,https://www.linkedin.com/company/celanese,Celanese,7
Senga Advisors,coengadvisors.com/,37,https://www.linkedin.com/company/64303?trk=tyah&trkInfo...1...,MitchelLake Group,17
CyboEnergy,cyboenergy.com/,6,https://www.linkedin.com/company/cybosoft,CyboSoft,6
EMD Technologies Inc.,emd-technologies.com/,205,https://www.linkedin.com/company/emd,EMD,13
Energen,energen.com/,571,https://www.linkedin.com/company/energen,Energen,0
Ferro Corporation,ferro.com/,1848,https://www.linkedin.com/company/ferro-corporation,Ferro Corporation,12
FULL CIRCLE BIOCHAR,fullcirclebiochar.com/,3,https://www.linkedin.com/company/biochar-solutions-inc,Biochar Solutions Inc,21
Gilead Connecticut,gileadcs.org/,11158,https://www.linkedin.com/company/gilead-sciences,Gilead Sciences,10
Glucan Biorenewables LLC,glucanbio.com/,2,https://www.linkedin.com/company/glucan-biorenewables-llc,Glucan Biorenewables LLC,4
GOAL ZERO LLC,goalzero.com/,119,https://www.linkedin.com/company/renegade-wls,"Renegade Wireline Services, LLC",31
King Electric Vehicles Inc.,https://king-electric.com/,169,https://www.linkedin.com/company/levc,LEVC,22
NanoOncology,iinano.org/nanooncology,500,https://www.linkedin.com/pub/ahmed-ashour/101/ab7/391?trk=co...,Ahmed Ashour - Research Associate - National Centre for Social ...,65
Immunolight,immunolight.com/,2,https://www.linkedin.com/company/immunolight,"Immunolight, LLC",5
Iogen Corporation,iogen.ca/,225,https://www.linkedin.com/company/enerkem,Enerkem,7
Kinetech Power Company LLC,kinetechpower.com/,29,https://www.linkedin.com/userp/title/principal-engineer.../albuquerque,"Top 25 Principal Engineer, R&d profiles in Albuquerque",54
KR Design House,krdesignhouse.com/,2003,https://www.linkedin.com/company/kr-associates-uk-ltd,KR Associates (UK) Ltd,18
Livetv,,30,https://www.linkedin.com/company/live-tv-limited,LIVE TV LIMITED,14
Matrix Genetics,lumenbioscience.com/,97,https://www.linkedin.com/company/vikinggenetics,VikingGenetics,15
