firm name,url,LinkedIn employees,LinkedIn url,LinkedIn matched name,jaro-winkler distance result
Lux Bio Group,luxbiogroup.com/,8914,https://www.linkedin.com/company/unum,Unum,13
Magnolia Solar,magnoliasolar.com/,2010,https://www.linkedin.com/company/solar-decathlon-europe-2010,Solar Decathlon Europe 2010,27
Magnolia Solar,magnoliasolar.com/,2010,https://www.linkedin.com/company/solar-decathlon-europe-2010,Solar Decathlon Europe 2010,27
Mattson Technology,mattson.com/,2,https://www.linkedin.com/company/mattson,Mattson Technology,0
Michelin Recherche et Technique S.A.,michelin.com/eng,260,https://www.linkedin.com/company/esleducation,ESL Education,34
Micro Cooling Concepts,microcoolingconcepts.com/,207,https://www.linkedin.com/company/guentner,Güntner GmbH & Co. KG,22
NanoGram Corporation,nanogram.com,38,https://www.linkedin.com/company/nanogram-corporation,"CLEARink Displays, Inc",22
Newdoll Enterprises LLC,newholdllc.com/,2,https://www.linkedin.com/company/accurate-solar-power-llc,"ACCURATE SOLAR POWER, LLC",25
U.S. NUTRACEUTICALS,nutraceutical.com/,63,https://www.linkedin.com/company/divi%27s-nutraceuticals,Divi's Nutraceuticals,21
The Paymaster Corporation,paymaster.com/,50,https://www.linkedin.com/company/paymaster-jamaica-limited,Paymaster Jamaica,17
Pharmatrophix,pharmatrophix.com/,2,https://www.linkedin.com/company/pharmatrophix-inc.,"PharmatrophiX, Inc.",7
Plant Sensory Systems,plantsensorysystems.com/,1172,https://www.linkedin.com/company/doehler,DöhlerGroup,21
PortaFire,port-a-fire.ca/,,,,
Samsung SDI Co.,samsungsdi.com/,1725,https://www.linkedin.com/company/samsung-sdi,Samsung SDI,3
Sinton Consulting,sintoninstruments.com/,31,https://www.linkedin.com/company/vortex-consulting,Vortex Consulting,5
SOL-ELECTRICA,sol-electrica.com/,28,https://www.linkedin.com/company/joomshaper,JoomShaper,13
SOLENA FUELS CORPORATION,solenafuels.com/,10,https://www.linkedin.com/company/saip-energy,SAIP Energy,11
Soliton Lasers,soliton.com/,11,https://www.linkedin.com/company/model-products-limited,MODEL PRODUCTS LIMITED,22
S&S X-Ray Products,ssxray.com/,97,https://www.linkedin.com/company/sesotec-gmbh,Sesotec,17
Starsource Scientific LLC,starsource.com/about/?41.html,2,https://www.linkedin.com/company/star-source-llc,Star Source LLC,17
Sun Synchrony,sunsynchrony.com/,49,https://www.linkedin.com/company/california-sun,California Sun,14
Integrated Solar Technology,suntegrasolar.com/,667,https://www.linkedin.com/company/tata-power-solar-systems-limited,Tata Power Solar Systems Limited,23
True-Safe Technologies,true-safe.com/,1305,https://www.linkedin.com/company/m-a-com-technology-solutions,MACOM,22
VERLASE TECHNOLOGIES LLC,verlase.com/,28,https://www.linkedin.com/company/shin-etsu-handotai-europe-limited,SHIN-ETSU HANDOTAI EUROPE LIMITED,31
Wave Energy Conversion Corporation of America,weccamerica.com/,19,https://www.linkedin.com/company/ons-foundation,"ONS - Exhibition, Conference, Festival",38
Terra Caloric,wellconnectgeo.com/,5141,https://www.linkedin.com/company/orangetheory-fitness,Orangetheory Fitness,18
Crystal Solar Inc.,xtalsolar.com/,46,https://www.linkedin.com/company/norwegian-crystals-as,Norwegian Crystals,18
Crystal Solar Incorporated,xtalsolar.com/,46,https://www.linkedin.com/company/norwegian-crystals-as,Norwegian Crystals,18
Ablexis,ablexis.com/,2,https://www.linkedin.com/company/ablexis,"Ablexis, LLC",5
SII Semiconductor Corporation,ablic.com/en/semicon/,45385,https://www.linkedin.com/company/flexintl,Flex,17
Alliance for Sustainable Energy,allianceforsustainableenergy.org/,24,https://www.linkedin.com/company/alliance-for-sustainable-colorado,The Alliance Center,29
Arkival Technology Corp.,arkival.com/,3,https://www.linkedin.com/company/arkival-technology-corporation,Arkival Technology Corporation,7
Astech,astech.com/,146,https://www.linkedin.com/company/collision-diagnostic-services---astech,AsTech - Automotive Service Technicians,34
Coactive Drive Corporation,coactivehs.com/team/,23,https://www.linkedin.com/company/datavoke,Coactive,6
Ford Global Technologies,corporate.ford.com/innovation.html,168042,https://www.linkedin.com/company/ford-motor-company,Ford Motor Company,18
ENI Technology,eni.com/en_IT/innovation.page,23776,https://www.linkedin.com/company/eni/life,Eni: Life,13
FRONT EDGE TECHNOLOGY INC.,frontedgetechnology.com/,32,https://www.linkedin.com/company/edge-technologies-inc-,"Edge Technologies, Inc.",23
Bi-Modal Corporation,gartner.com/it-glossary/bimodal,51,https://www.linkedin.com/company/itorizon-inc,ITOrizon Inc.,13
Genesco Inc.,genescopartners.com/,8,https://www.linkedin.com/jobs/view/genesco-driver-at-genesco-954597650,"Genesco hiring Genesco Driver in Lebanon, TN, US",41
GROW ENERGY,growenergy.org/,373,https://www.linkedin.com/company/shv-energy,SHV Energy,11
HM3 Energy,hm3energy.com/,11,https://www.linkedin.com/company/nrgindependence,eChemion Inc.,13
HTS,htstechnologies.com/,65,https://www.linkedin.com/company/northern-technologies-inc-_2,"Northern Technologies, LLC (NTI)",32
Intel Corporation,intel.com/content/us/en/homepage.html,132272,https://www.linkedin.com/company/intel-corporation,Intel Corporation,12
Linne Industries LLC,linneindustries.com/,263,https://www.linkedin.com/school/arcada-university-of-applied-sciences/,Arcada University of Applied Sciences,36
Gestion Ultra International Inc.,luminultra.com/,260,https://www.linkedin.com/company/esleducation,ESL Education,13
MicroContinuum,microcontinuum.com/,9,https://www.linkedin.com/company/redwave-energy-inc-,"RedWave Energy, Inc.",20
Nanoquantum Sciences,nanoquantum.com/,3,https://www.linkedin.com/company/nanoquantum-corporation,"Nanoquantum Sciences, Inc.",6
Neural Signals,neuralsignals.com/,10,https://www.linkedin.com/company/sciencebeam,ScienceBeam,14
New Technology Ventures,newtechvc.com/,79,https://www.linkedin.com/company/columbia-technology-ventures,Columbia Technology Ventures,27
Neutronic Perpetual Innovations,npimobile.com/,10,https://www.linkedin.com/company/ximmerse,Xim Industry Inc.,31
OAS Design Group,oasdesigngroup.com/,25,https://www.linkedin.com/company/oxford-advanced-surfaces-group-plc,Oxford Advanced Surfaces Limited,31
Sanyo Electric Co.,panasonic.com/global/corporate/profile/group-companies/sanyo.html,859,https://www.linkedin.com/company/sanyo,Sanyo,12
Foret Plasma Labs,plasmawhirl.com/,606,https://www.linkedin.com/company/expertise-france,Expertise France,16
RenovaCare Sciences Corp.,renovacareinc.com/contact/,32,https://www.linkedin.com/company/rennova-health,"Rennova Health, Inc. (RNVA)",23
Surebeam Corporation,smebeam.com/,440,https://www.linkedin.com/company/titan-corporation,Titan Corporation,17
SOLARTONIC,solartonic.com/,6,https://www.linkedin.com/company/leprecon,Leprecon,10
Sumitomo Rubber Industries,sumitomorubber-usa.com/,1138,https://www.linkedin.com/company/sumitomo-electric,Sumitomo Electric,16
Simbol Inc.,symbols.com/,15,https://www.linkedin.com/company/theasia,The Asia,8
T.H.E.M.,them.net/,125,https://www.linkedin.com/company/plan-net,Plan-Net,8
Disney Enterprises,thewaltdisneycompany.com/,37403,https://www.linkedin.com/company/the-walt-disney-company,The Walt Disney Company,23
Thorn Bioscience LLC,thornbioscience.com/,189,https://www.linkedin.com/company/quadriga.,Quadriga,16
Total Marketing Services,total.com/en,129,https://www.linkedin.com/company/total-marketing-support-limited,Total Marketing Support Limited,14
TP Solar,tpsolar.nl/?lang=en,34,https://www.linkedin.com/company/solarmax,SolarMax,7
UVIC INDUSTRY PARTNERSHIPS INC.,uvic.ca/research/partner/index.php,4626,https://www.linkedin.com/school/university-of-victoria/,University of Victoria,24
VINDICO NANOBIO TECHNOLOGY INC.,vindicoat.com/,4,https://www.linkedin.com/company/alitest-s-r-l,Alitest S.r.l.,25
Silicon Space Technology Corp.,voragotech.com/,3237,https://www.linkedin.com/company/microsemi,Microsemi Corporation,27
Wostec,westec.org/,5,https://www.linkedin.com/company/icc-turkey-otomotiv-san-ve-tic-a-ş-,ICC TURKEY OTOMOTİV SAN VE TİC A.Ş.,35
Building Envelope Innovations,wet-flash.com/,25,https://www.linkedin.com/company/the-garland-company-uk,The Garland Company UK Limited,29
ADMA Products,admaproducts.com/#!,2013,https://www.linkedin.com/pub/dir/haitham/abotaleb,Haitham Abotaleb - HSE Section Leader - ABU DHABI MARINE ...,59
Adynxx,adynxx.com/,18,https://www.linkedin.com/company/twoxar,twoXAR,6
Annam Biosciences,annambiosciences.com/,4,https://www.linkedin.com/company/annam-biosciences,"Annam Biosciences, LLC.",6
Atleisure LLC,atleisure.com/,65,https://www.linkedin.com/company/at-leisure,At-Leisure,8
Brother International Corporation,brother-usa.com/,1548,https://www.linkedin.com/company/brother-international-corporation,Brother International Corporation,26
Cooper Technologies Company,coopertechnologies.net/,49,https://www.linkedin.com/company/swampfox-technologies-inc.,Swampfox Technologies,26
Enginuity Worldwide,enginuityww.webstarts.com/,6,https://www.linkedin.com/company/enginuity-works,Enginuity Works,6
Gracenote,gracenote.com/,1528,https://www.linkedin.com/company/gracenote,Gracenote,0
Graphene Technologies,graphenetechnologies.com/,28,https://www.linkedin.com/company/applied-graphene-materials,Applied Graphene Materials,24
Green Extraction Technologies,greenextractiontechnologiesllc.com/,35,https://www.linkedin.com/company/vitalis-extraction-tech,Vitalis Extraction Technology Inc,32
Hunt Energy Enterprises LLC,huntenergyenterprises.com/,3531,https://www.linkedin.com/company/direct-energy,Direct Energy,23
JOLED Inc.,j-oled.com/,4,https://www.linkedin.com/company/oled-info,OLED-Info,9
J. E. WHITE,jewhites.com.au/,42,https://www.linkedin.com/company/jajacreativecontent,Jansen & Janssen,15
Laserline Mfg.,laserlinemfg.com/,123,https://www.linkedin.com/company/laser-technology,"Laser Technology, Inc.",17
Lof Solar Corporation,lofsolar.com/,2139,https://www.linkedin.com/company/pilkington,Pilkington,10
LUCERA LABS,luceralabs.com/,7,https://www.linkedin.com/company/itlab-s.r.l.,ITLAB S.R.L.,12
Magnolia Optical Technologies,magnoliaoptical.com/,13,https://www.linkedin.com/company/fiberone-llc,"FIBERONE, LLC",29
MILLENIUM SYNTHFUELS CORPORATION,milleniumsynthfuels.com/,6,https://www.linkedin.com/company/core-productions-ltd-,Core Productions Ltd.,21
Morpho,morpho.com/en,10576,https://www.linkedin.com/company/idemiagroup,IDEMIA,6
Nanotech Biomachines,nanotechbio.com/,3,https://www.linkedin.com/company/nanotech-biomachines-inc-,"Nanotech Biomachines, Inc.",6
Nokomis,nokomisinc.com/,61,https://www.linkedin.com/company/nokomis-inc.,"Nokomis, Inc.",6
Nordic Technologies,nordic-technologies.com/,18,https://www.linkedin.com/company/nordicminesteel,Nordic Minesteel Technologies (NMT) (and SME),38
Oracle International Corporation,oracle.com/index.html,177629,https://www.linkedin.com/company/oracle/jobs,Oracle: Jobs,6
PluroGen Therapeutics,plurogen.com/,4,https://www.linkedin.com/company/plurogen,"PluroGen Therapeutics, LLC",5
Renewable Power Conversion,rpcincorporated.com/,10639,https://www.linkedin.com/company/alstom-power,Alstom Power,26
Research Triangle Institute,rti.org/,5473,https://www.linkedin.com/company/rti-international/jobs,RTI International: Jobs,26
Sanuvox Technologies,sanuvox.com/,53,https://www.linkedin.com/company/data-aire-inc.,"Data Aire, Inc.",18
Senaya,senaya.com/,167,https://www.linkedin.com/company/cm-productions,TeamCMP,6
Solight Solar,solight.com/,3516,https://www.linkedin.com/company/solarcity,SolarCity,10
SixPoint Materials,spmaterials.com/,5,https://www.linkedin.com/company/ondrick-natural-earth,Ondrick Natural Earth,21
Suganit Systems,suganit.com/,4,https://www.linkedin.com/company/suganit-systems,SuGanit Systems,1
SUNSALUTER,sunsaluter.org/,4,https://www.linkedin.com/company/sunsaluter,SunSaluter,8
Microsurge,talcusa.com/microsurge/,4,https://www.linkedin.com/company/stetzer-electric-inc,Stetzer Electric Inc,20
ZENA TECHNOLOGIES,xena-technologies.com/,27,https://www.linkedin.com/company/universal-conversion-technologies,Universal Conversion Technologies,33
ALGETERNAL TECHNOLOGIES,algeternal.com/,7,https://www.linkedin.com/company/veramaris,Veramaris,23
Armageddon Energy Inc.,armageddonenergy.com/,465,https://www.linkedin.com/company/babcock-&-wilcox-volund,Babcock & Wilcox Vølund,23
Copernicus Therapeutics,cgsys.com/,216,https://www.linkedin.com/company/wirb-copernicus-group,WIRB-Copernicus Group,23
DISCOVERYBIOMED INC.,discoverybiomed.com/,5,https://www.linkedin.com/company/discoverybiomed-inc-,"DiscoveryBioMed, Inc.",18
GLIKNIK INC.,gliknik.com/,15,https://www.linkedin.com/company/beijing-centre-biology-co-ltd-,"Beijing Centre Biology Co.,Ltd.",31
HNO Greenfuels,hnogreenfuels.com/,5,https://www.linkedin.com/company/hno-green-fuels,HNO Green Fuels,6
MBC Ventures,mbc.net/en/corporate/ventures/about,29,https://www.linkedin.com/company/mbc-africa,MBC Africa,8
Ibis Biosciences,molecular.abbott/int/en/home,13,https://www.linkedin.com/company/ibis-technologies-b.v.,IBIS Technologies,15
AVOGY,nexgenpowersystems.com/,115,https://www.linkedin.com/company/arteris,Arteris IP,9
NOVA PANGAEA TECHNOLOGIES LIMITED,novapangaea.com/,5,https://www.linkedin.com/company/nova-pangaea-technologies-uk-limited,NOVA PANGAEA TECHNOLOGIES (UK) LIMITED,12
Perkinelmer Holdings,perkinelmer.com/,5,https://www.linkedin.com/company/perkinelmer-limited,PERKINELMER LIMITED,18
Proton Power,protonpower.com/,85,https://www.linkedin.com/company/proton-energy-systems,Proton OnSite,6
Renewable Algal Energy,rae-energy.com/,7,https://www.linkedin.com/company/bodega-algae-llc,Bodega Algae LLC,20
AVI BioPharma,sarepta.com/,599,https://www.linkedin.com/company/avi-systems,AVI Systems,9
Seiko Instruments Inc.,seikoinstruments.com/,147,https://www.linkedin.com/company/seiko-instruments,Seiko Instruments,0
SPICE SOLAR,spicesolar.com/,63,https://www.linkedin.com/company/snappcar,SnappCar,10
Stablcor Technology,stablcor.com/,6,https://www.linkedin.com/company/carbon-core,Carbon-Core,17
THE BOARD INSTITUTE,theboardinstitute.com/,208,https://www.linkedin.com/school/the-jack-welch-management-institute/,Jack Welch Management Institute,31
Toda Kogyo Corporation,todakogyo.co.jp/english/,4100,https://www.linkedin.com/company/toda-kogyo-corp-4100-,Toda Kogyo Corp (4100),12
Transposagen Biopharmaceuticals,transposagenbio.com/,8,https://www.linkedin.com/company/tribe-12,Tribe 12,29
TT Technologies,tttechnologies.com/,62,https://www.linkedin.com/company/tt-technologies-inc,"TT TECHNOLOGIES,INC",15
Vaxiion Therapeutics,vaxiion.com/,5,https://www.linkedin.com/company/vaxiion-therapeutics,Vaxiion Therapeutics,0
Verliant Energy,verliantenergy.com/,15,https://www.linkedin.com/company/joinamava,Amava™,15
WCA Group LLC,wca-group.com/,380,https://www.linkedin.com/company/wca-waste,WCA Waste,5
NOK Corporation,www.nok.co.jp/en/,5,https://www.linkedin.com/company/chiyoda-kogyo-k-k-,Chiyoda Kogyo K.K.,18
Two Blades Foundation,2blades.org/,28,https://www.linkedin.com/company/pioneer-foundation-engineers-pvtltd,Pioneer Foundation Engineers (P) Ltd,34
ADVANCED CERAMIC FIBERS,acfibers.com/index.html,11,https://www.linkedin.com/company/advanced-ceramics-research,Advanced Ceramics Research,23
American Science and Technology Corporation,amsnt.com/,107,https://www.linkedin.com/school/american-university-of-technology/,American University of Technology,22
Atom Nanoelectronics,atomoe.com/,16,https://www.linkedin.com/company/simplight-nanoelectronics-ltd-,"SimpLight Nanoelectronics, Ltd.",31
Brightfield Transportation Solutions,brightfieldts.com/,19,https://www.linkedin.com/company/focus-digital-security-solutions,Focus Digital Security Solutions Ltd,33
Coloplast A/S,coloplast.us/,6297,https://www.linkedin.com/company/coloplast,Coloplast,4
Crystalplex Corporation,crystalplex.com/,6,https://www.linkedin.com/company/crystalplex-corporation,Crystalplex Corporation,12
Cura Vac,curavac.com/,6,https://www.linkedin.com/company/cesvima,CeSViMa,6
Express Imaging Systems,eiscallcenter.com/,42,https://www.linkedin.com/company/record-express-llc,"Record Express, LLC",22
GOLBA LLC,golba.com/,6,https://www.linkedin.com/company/paulina-golba-music,Golba Music,10
Narsys,http://www.narsystech.com/,5,https://www.linkedin.com/company/narsys-llc,FocalCast,9
IDEALAB,idealab.com/,33,https://www.linkedin.com/company/idea-lab-kids,Idea Lab Kids,12
Ion Power Group,ionpowergroup.com/,15,https://www.linkedin.com/company/yjpower,"Professional manufacturer for LIPO, LiFePO4, Lithium Cylindrical ...",68
Industrial Technology Research Institute,itri.org.tw/eng/,3670,https://www.linkedin.com/company/itri/life,"Industrial Technology Research Institute (ITRI)(工業技術研究院, 工研 ...",23
Met Tech Inc.,mettech.us/,40,https://www.linkedin.com/company/met-technologies-ltd,Met Technologies Ltd,12
FastCAP Systems Corporation,nanoramic.com/,19,https://www.linkedin.com/company/fastcap-llc,FastCap LLC,9
Nanotek Instruments,nanotekinstruments.com/,28,https://www.linkedin.com/company/angstron-materials,Global Graphene Group,21
NeoVision LLC,neovisiongroup.com/,451,https://www.linkedin.com/company/iti-neovision,ITI Neovision,13
Pardev,pardev.com/,4,https://www.linkedin.com/company/sud-touraine-active,Sud Touraine Active,19
Rapamycin Holdings,rapamycinholdings.com/,6,https://www.linkedin.com/company/rapamycin-holdings,Rapamycin Holdings,0
Redwood Systems,redwoodsystemsgroup.com/,11,https://www.linkedin.com/company/redwood-systems-group,Redwood Systems Group,6
Reynolds Technologies,reynoldstechnology.biz/,101,https://www.linkedin.com/company/reynolds-polymer-technology,Reynolds Polymer Technology,18
Ricoh Company Limited,ricoh.com/,15580,https://www.linkedin.com/company/ricoh-company-ltd-,"Ricoh USA, Inc.",15
Sola U.S.A. Inc.,sola.at/,855,https://www.linkedin.com/company/renesola-ltd-,ReneSola Ltd.,13
Sunlight Photonics Inc.,sunlightphotonics.com/,9,https://www.linkedin.com/company/cubert-gmbh,Cubert GmbH - Real-Time Spectral Imaging,39
Tufts Medical Center,tuftsmedicalcenter.org/,4649,https://www.linkedin.com/company/tufts-medical-center,Tufts Medical Center,0
AC International Inc.,acinter.com/,63437,https://www.linkedin.com/company/marriott-international,Marriott International,22
BERKEN ENERGY LLC,berkenenergy.com/,39,https://www.linkedin.com/company/louisiana-safety-systems-inc,Louisiana Safety Systems Inc,28
Cedar Ridge Research,cr-res.com/,19,https://www.linkedin.com/company/muskingum-county-head-start,Muskingum County Head Start,27
DIC Corporation,dictionary.com/,47,https://www.linkedin.com/company/terraillon-hanson,TERRAILLON,10
Easel Biotechnologies,easelbio.com/,309,https://www.linkedin.com/company/baker-heart-and-diabetes-institute,Baker Heart and Diabetes Institute,30
Global Filtration Systems,globalfiltrationsystems.com/,483,https://www.linkedin.com/company/filtration-group,Filtration Group,25
Global OLED Technology LLC,globaloledtech.com/,4498,https://www.linkedin.com/company/lg-display,LG Display,22
Leap Frogg,leapfrog.com/en-us/home,434,https://www.linkedin.com/company/leapfrog,LeapFrog,6
Longhorn Vaccines and Diagnostics,lhnvd.com/news#!,7,https://www.linkedin.com/company/longhorn-vaccines-and-diagnostics-llc,"Longhorn Vaccines and Diagnostics, LLC",5
Handstand Innovations,messagewrap.com/,16,https://www.linkedin.com/company/fox-pools,Fox Pools,21
Nexcom Technology,nexcom.com/,390,https://www.linkedin.com/company/nexcomtel,Nexcom,11
VINYLAST,palisaderail.com/,7,https://www.linkedin.com/company/vinylast-inc-,Vinylast Inc.,12
Palo Alto Research Center Incorporated,parc.com/,5967,https://www.linkedin.com/company/palo-alto-networks,Palo Alto Networks,13
Strategic Solar Energy,powerparasol.com/,2286,https://www.linkedin.com/company/national-renewable-energy-laboratory,National Renewable Energy Laboratory,36
Propagation Research Associates,pra-corp.com/,25,https://www.linkedin.com/company/dares,DARES,31
SD Technologies,sd-techs.com/,63,https://www.linkedin.com/company/sd-tech,SD Tech,8
SNS NANO FIBER TECHNOLOGY,snsnano.com/,25,https://www.linkedin.com/company/black-diamond-structures-llc,Black Diamond Structures LLC,28
The Carbon Cable Company,thecableco.com/,1999,https://www.linkedin.com/company/ocean-cables-pvt-ltd,Ocean Cables Pvt Ltd,22
Theraclone Sciences,theraclone-sciences.com/home.php,32,https://www.linkedin.com/company/yakima-police-department,Yakima Police Department,24
TOMOWAVE LABORATORIES,tomowave.com/,25,https://www.linkedin.com/title/engineer-at-cymer,Top 25 Engineer profiles at Cymer,31
Kabushikikaisha Toshiba,toshiba.com/tai/,7,https://www.linkedin.com/company/kabushiki-kaisha-makino,Kabushiki Kaisha Makino,13
Atonometrics,atonometrics.com/,8,https://www.linkedin.com/company/atonometrics,Atonometrics,0
Auterra,auterrainc.com/,26,https://www.linkedin.com/company/telecompaper,Telecompaper,11
The Babcock & Wilcox Company,babcock.com/,2430,https://www.linkedin.com/company/babcock-&-wilcox/jobs,Babcock & Wilcox: Jobs,28
Banpil Photonics,banpil.com/,38,https://www.linkedin.com/company/fernandez-&-associates-llp,Fernandez & Associates LLP,26
Custom Electronics Inc.,customelec.com/#!,32,https://www.linkedin.com/company/custom-electronics-inc,"Custom Electronics, Inc.",6
Lumenco,en.lumenco.ca/,8,https://www.linkedin.com/company/lumenco-inc-,"Lumenco, Inc.",6
Ethicon Endo-Surgery,ethicon.com/,5355,https://www.linkedin.com/company/ethicon,"Ethicon, Inc.",13
Grandis Inc.,grandis.com/,15,https://www.linkedin.com/company/grandis-capital-investment-company,Grandis Capital Investment Company,27
Global Solar Water Power Systems,gswps.com/,90,https://www.linkedin.com/company/nuetech-solar-systems-privite-limited,Nuetech Solar Systems Private Limited,36
iNanoBio LLC,inanobio.com/,9,https://www.linkedin.com/company/the-bridge-leadership-foundation,THE BRIDGE LEADERSHIP FOUNDATION,32
Ziptronix,invensas.com/,41,https://www.linkedin.com/company/nanohmics,Nanohmics,9
Manta Instruments,mantainc.com/,56,https://www.linkedin.com/company/brunson-instrument-company,Brunson Instrument Company,26
Nanoridge Materials,nanoridge.com/,8,https://www.linkedin.com/company/nanoridge-materials-inc.,"NANORIDGE MATERIALS, INC.",22
JX Nippon Mining & Metals Corporation,nmm.jx-group.co.jp/english/,19,https://www.linkedin.com/company/r-&-d-specialty-manco-inc-,R & D Manco,24
Pacific Light Technologies,pacificlighttech.com/,81,https://www.linkedin.com/company/halco-lighting-technologies,Halco Lighting Technologies,26
Pacific Industrial Development Corporation,pidc.com/,186,https://www.linkedin.com/company/pidc,PIDC,29
Quantum Materials Corporation,qmcdots.com/,10,https://www.linkedin.com/company/center-for-integrated-quantum-materials,Center for Integrated Quantum Materials,39
Tessera,tessera.com/,14,https://www.linkedin.com/company/tessera-studios,Tessera Studios,8
Transtron Solutions LLC,transtron.com/en/,2373,https://www.linkedin.com/company/hansu-controls,HANSU CONTROLS,19
Teal Sales Incorporated,tsi-inc.net,60,https://www.linkedin.com/company/inside-sales-solutions,Inside Sales Solutions,22
Turf Group LLC,turfgroup.net/,81,https://www.linkedin.com/company/topturf-group-pty-ltd,Bidvest Top Turf,16
Wizard Labs,wizardlabs.us/,48,https://www.linkedin.com/company/money-wizards,Money-Wizards,13
Metabolix,yield10bio.com/,42,https://www.linkedin.com/company/metabolix,Yield10 Bioscience,18
Amberwave Inc.,amberwave.com/,951,https://www.linkedin.com/company/amberwaves,Amber Waves Pygmy Goats,18
Aurrion,asurion.com/,135,https://www.linkedin.com/company/luxtera,"Luxtera, Inc.",12
ATC Technologies,atctechnologiesinc.com/,171,https://www.linkedin.com/company/american-technology-consulting-llc,American Technology Consulting - ATC,35
ATTOSTAT,attostat.com/,9,https://www.linkedin.com/company/attostat-inc.,"Attostat, Inc.",13
Green Box Batteries,biggreenbox.com/,1720,https://www.linkedin.com/company/interstate-batteries,Interstate Batteries,18
Cellular Research,cellularresearchinstitute.com/,9,https://www.linkedin.com/company/cellular-research,Cellular Research,0
CI4 Technologies,ci4.us/,40,https://www.linkedin.com/company/consorcioindustrial4.0,Consorcio Industrial 4.0 (CI4.0),30
Continental Manufacturing,continentalcommercialproducts.com/,27,https://www.linkedin.com/company/continental-manufacturing-chemist-inc-,"Continental Manufacturing Chemist, Inc.",14
Hadasit Medical Research Services & Development Company Ltd.,hadasit.co.il/,9,https://www.linkedin.com/company/hadasit,Hadasit Medical Research Services & Development,8
IMDS Corporation,imds-ohio.com,24537,https://www.linkedin.com/company/te-connectivity,TE Connectivity,15
Inaeris Technologies,inaeristech.com/,35,https://www.linkedin.com/company/kior,KiOR,20
Lintec Corporation,lintec-global.com/,54,https://www.linkedin.com/company/lintec-limited,LINTEC LIMITED,13
LIQUID X PRINTED METALS,liquid-x.com/,13,https://www.linkedin.com/company/liquid-print,Liquid Print,21
Midori USA,midorihealth.com/,35,https://www.linkedin.com/company/taiyo-yuden-u-s-a-inc-,Taiyo Yuden (U.S.A.) Inc.,25
Polysar Corporation,polystar.com/,43663,https://www.linkedin.com/company/bayer,Bayer,7
Roche Innovation Center Copenhagen A/S,roche.com/research_and_development/who_we_are_how_we_work/rnd_locations/research_location.htm?id=c98f27ea-a769-48ee-b7ef-4441cf20e267,36382,https://www.linkedin.com/company/novo-nordisk,Novo Nordisk,37
Roll-N-Lock Corporation,rollnlock.com/,46,https://www.linkedin.com/company/retrax-holdings-llc,Retrax Retractable Truck Bed Covers,34
Taiwan Semiconductor Manufacturing Company,tsmc.com/english/default.htm,10207,https://www.linkedin.com/company/tsmc/jobs,TSMC: Jobs,41
Wireless Environment,wirelessenv.com/,132,https://www.linkedin.com/company/chess,Chess Wise - IoT platform for Built Environment,46
Arrowhead Center,arrowheadcenter.nmsu.edu/,931,https://www.linkedin.com/company/arrowhead-regional-medical-center,Arrowhead Regional Medical Center,22
