Atrenta Inc
Atritech Inc
Atrium Medical Corporation
Atrix Laboratories Inc
Atronic International GmbH
Atrua Technologies
Attagene Inc
Attends Healthcare Products Inc
Atto Bioscience
Attractor Holdings LLC
Attune Rtd
Atwood Bell LLC
Atwood Industries Inc
Atwood Mobile Products LLC
Au Pharmaceuticals Inc 
Auburn IP Holdings LLC
Auburn University
Auburn University Research Foundation
Audible Inc
Audience Inc
Audio Animation
Audio Precision Inc
AudioLogic Inc
Audiotoniq Inc
Audiovox Corporation
Auditronics Inc
Audra International LLC
Audyssey Laboratories
Auer Precision Company Inc
Augat Inc
Augspurger Engineering
Augustine Biomedical and Design LLC
Augustine Medical Inc
Aukland Group (USA) Inc
Auratek Security Inc
Aurburn University
Aureal Semiconductor Inc
Aureon Laboratories Inc
Aurora Alage Inc
Aurora Discovery Incorporated
Aurora Networks Inc
Aurora Photonics Inc
Aurox LLC
Aurrion Inc
Aushon Biosystems Inc
Ausimont USA Inc
Austin-Berryhill Fabrication Inc
Austoft Inc (USA)
Australian Importers Ltd
Australian Paper Manufacturers Limited
Australian Telecommunications Commission
Auterra Inc
Autex Inc
Authenex Inc
Authentec Inc
Authoria Inc
Auto-Air Composites Inc
AutoMed Technologies Inc
Autoclave Engineers Inc
Autodesk Inc
Autogenomics Inc
Autoliv Development AB
Autologic Information International Inc
Automated Assembly Corporation
Automated Building Components Inc
Automated Packaging Systems Inc 
Automated Production Systems Corporation
Automated Recycling Corp
Automatic Breathing Apparatus Co Inc
Automatic Control
Automatic Liquid Packaging Inc
Automatic Power Inc
Automation Industrial Control Inc
Automation Industries Inc
Automation Systems Inc
Automation Technology Inc
Automedix Sciences Inc
Automeg Inc 
Automobiles Citroen
Automobiles Peugeot
Automotive Components Holdings LLC
Automotive Energy Systems LLC
Automotive Fluid Systems Inc 
Automotive Performance International Inc
Automotive Products (USA) Inc
Automotive Products Limited
Automotive Systems Laboratory Inc
Autonomic Materials Inc
Autonomy Inc
Autry Industries Inc
Avago Technologies ECBU IP (Singapore) Pte Ltd
Avago Technologies ECBUIP Pte Ltd
Avago Technologies General IP (Singapore) Pte Ltd
Avail Systems Corporation
Avalanche Technology Inc
Avalon Microelectronics Inc
Avalon Pharmaceuticals
Avanex Corporation
Avant Garde Therapeutics & Technologies LLC
Avant Immunotherapeutics Inc
Avant Mobility LLC
Avantac Vascular Corporation
Avantec Vascular Corporation
Avanti Wind Systems Inc
Avantis Medical Sytems Inc
Avantor Performance Materials Inc
Avatekh Inc
Avaya Inc
Avaya Technology Corp
Avco Everett Research Laboratory Inc
Ave Connaught
Avecia Biotechnology Inc
Avecia Limited
Avecmedia Inc
Avecor Cardiovascular Inc
Aveka Inc 
Avello Bioenery Inc
Avent Inc
Aventis Behring LLC
Aventis Pasteur SA
Aventis Pharma Deutschland GmbH
Aventis Pharma SA
Aventis Pharmaceuticals Inc
Aventis Pharmaceuticals Products Inc
Averatek Corp
Avertech Inc
Avery Dennison 
Avery Dennison Corporation
Avery International Corporation
Avery Solid Waste Incineration Co
Avet AG
AviGenics Inc
Aviation Systems LLC
Avicom International Inc
Avid Technology Inc
AvidBiotics Corp
Avigen
Avigen Incorporated 
Avila Therapeutics Inc
Avinger Inc
Avionic Instruments Inc
Avirat Inc
Aviron 
Avision Inc
Avista Laboratories Inc
Avista Labs
Avlon Industries Inc
Avocet Fuel Solutions Inc
Avon Associates Inc
Avon Products Inc
Avon Protection Systems Inc
Avotec Inc
Avtaec Limited
Avtex Fibers Inc
Aware Inc
Axcelis Technologies Inc
Axelrod R & D Inc
Axia MedSciences LLC
