Swift Enterprises Ltd
Swift Fuels LLC
Swim Pure Corporation
Swisher Mower & Machine Co Inc
Switch Bulb Company Inc
Switchcraft Inc
Switlik Parachute Company Inc
Sy-Klone Company Inc
Sybase 365 Inc
Sybron Chemical Holdings Inc
Sybron Chemicals Inc
Sycamore Networks Inc
Sychron Inc
SymBioTech Inc
Symantec Corporation
Symantec Operating Corporation
Symbion Systems Inc
Symbios Inc 
Symbios Logic Inc 
Symbiota Inc
Symbol Technologies Inc
Symdent Inc
Symetrix Corporation 
Symmetricom Inc
Symmetry Medical Inc
Symmetry Medical Manufacturing Inc
Symwave Inc
Symyx Solutions Inc
SynGas Technology LLC
Synacor Inc
Synageva Biopharma Corp
Synair
Synaptic Pharmaceutical Corporation
Synaptic Research LLC
Synaptics Inc
Synaptics Incorporated
Synchronous Communications Inc
Synchrotronics Co
Syncor International Corp
Synecor LLC
Synectic Technology Inc
Synectics Inc
Synektron Corporation
SynerGene Therapeutics Inc
Synergetic Technologies Inc
Synergetics Inc
Synergistics Inc
Synergo Inc
Synergy Applications Inc
Synergy Extrusion Technologies Inc
Synergy Microwave Corporation
Synergy Semiconductor
Synerject LLC
Synfuels International Inc
Syngas International Ltd
Syngenta Crop Protection AG
Syngenta Investment Corporation
Syngenta Investments Inc
Syngenta Participations AG
Syngest Inc
Synopsys Inc
Synos Technology Inc
Synovis Life Technologies Inc
Synpac Corporation
Synrad Inc
Synrad Incorporated
Syntec Inc
Syntex (USA) Inc
Synthasome Inc
SyntheGen Systems Inc
Syntheon LLC
Synthes (USA)
Synthesis Energy Systems Inc
Synthesys
Synthetic Genomics Inc
Synthetic Industries Inc
Synthetica Technologies Inc
Synthezyme LLC
Syntrix Biosystems Inc
Syntro Corporation
Syntroleum Corporation
Syntroleum Corporation A Delaware Corporation
Synturian Enterprises Inc
Synvasive Technology Inc
Synventive Molding Solutions
Syquest Technology Inc
Syracuse Research Corporation
Syracuse University
Syroco Inc
Syscom Inc
Sysmex Corporation
Systagenix Wound Management (US) Inc
Systec Inc
Systec LLC
System Biosciences LLC
System Development Corp
System Development Corporation
System General Corporation
System K Inc
System Operations Inc
System Planning Corporation
System Sense Inc
SystemOne Technologies Inc
Systemix Inc 
Systems & Materials Research Corporation
Systems Chemistry Inc
Systems Engineering & Manufacturing Corporation
Systems Research Laboratories Inc
Systems Spray-Cooled Inc
Systems Using Nature Ltd
SystemsOne LLC
Systron Donner Corporation
Systron-Donner Corporation
Syva Company
Sùlzer Biologics Inc
Süd-Chemie Inc
T & B Industries Inc
T & C Devine Ltd
T & S Brass and Bronze Works Inc
T - L Irrigation Company
T Cell Sciences Inc
T H Creears Corporation
T Kruger Inc
T L Design Service Inc 
T L Feeding Systems Inc
T M Gates Inc
T O Plastics Inc
T R Systems Inc
T Sendzimir Inc
T Y & G Inc
T and M Tech Environmental Supply
T&H USA Group Inc
T&S Brass and Bronze Works Inc
T&S Lighting Solutions LLC
T-EASE LLC
T-Mobile USA Inc
T-Networks Inc
T-Ram Semiconductor Inc
T-Star Industrial Electronics Corporation
T/F Purifiner Inc
T/R Systems Inc
T2 Biosystems Inc
T3 Scientific LLC
TA Instruments Inc
TA Mfg Co
TAC LLC
TACT IP LLC
TAIT TOWERS MANUFACTURING LLC
TALINO EV MANAGEMENT SYSTEMS INC
TAM Ceramics Inc
TARKETT INC
TAS Distributing Co Inc
TAS Energy Inc
TATE ACCESS FLOORS LEASING INC
TBD2 Inc
TBW Industries Inc
TC Industries LLC 
TC License Ltd
TCI LLC
TCP Reliable Inc
TCP/Reliable Inc
TD Ameritrade IP Company Inc
TD Quilting Machinery
TDA Research Inc
TDC Filter Manufacturing Inc
TDJ Co Inc
TDK Corporation
TDK Family Limited Partnership
TDK-Lambda Americas Inc
TDK-Lambda Corporation
TDM America LLC
TEA TIME PARTNERS LP
TEALIUM INC
TECHNOLOGY RESEARCH LLC
TECNIUM LLC
TECO-Westinghouse Motor Company
TEI Biosciences Inc
TEK-KOL
TEKNOR APEX COMPANY
TEL Epion Inc
TELEDYNE WIRELESS LLC
TEMPLE UNIVERSITY -OF THE COMMON-
TENARIS COILED TUBES LLC
TEXAS HEART INSTITUTE
TFH Publications Inc
TFI Telemark
TFT Inc
THAT Corporation
THE BOARD INSTITUTE INC
THE CHEMOURS COMPANY FC LLC
THE CUROTTO-CAN LLC
THE MCLEAN HOSPITAL CORPORATION
THE SWEET LIVING GROUP LLC
THE TRUSTEES OF DARTMOUTH COLLEGE
THE UNIVERSITY COURT OF THE UNIVERSITY OF GLASGOW
THEM Inc
THERMAL MATRIX USA LLC
THERMAL SOLUTION RESOURCES LLC
THL Holding Company LLC
THMX Holdings LLC
THT Presses Inc
THYSSENKRUPP INDUSTRIAL SOLUTIONS GMBH
TI Group Automotive Systems LLC
TIBCO Software Inc
TIE/communications Inc
TII Industries Inc
TIME WARNER CABLE ENTERPRISES LLC
TIMMES INC
TIR Systems Ltd
TK Holdings Inc
TL Systems Corporation
TM Industrial Supply Inc
TMA Power LLC
TMC Corporation
TMCA Foundation Inc
TMCo Inc
TMR-A LLC
TMS Company LLC
TOHO TITANIUM CO LTD
TOKYO UNIVERSITY OF SCIENCE EDUCATIONAL FOUNDATION ADMINISTRATIVE ORGANIZATION
TOMOWAVE LABORATORIES INC
TOTAL RAFFINAGE MARKETING
TP Industrial Inc
TP Solar Inc
TP Technology plc
TPC WIRE & CABLE CORP
TPI Technology Inc
TPL Inc
TPR Enterprises Ltd
TPV Energy Systems Inc
TRACTOUCH MOBILE PARTNERS LLC
TRAILERLOGIC LLC
TRANE INTERNATIONAL INC
TRANSCONTINENTAL EVENTS LLC
TRC Companies Inc
TRC Recreation LP
TRE Semiconductor Equipment Corporation
TRENERGI CORPORATION
TRG Accessories LLC
TRG Assessories LLC
TRGel LLC
TRI ALPHA ENERGY INC
TRICOL BIOMEDICAL INC
TRIDONIC GMBH & CO KG
TRISTEL PLC
TRITON MICROTECHNOLOGIES
TRN Business Trust
TROLL SYSTEMS CORPORATION
TRUECAR INC
TRUEMOTION INC
TRUSTED MOBILE LLC
TRW Automotive GmbH
TRW Automotive US LLC
TRW Inc
TRW Lighting Inc
TRW Systems and Energy
TRW Vehicle Safety Systems Inc
TSE Brakes Inc
TSI Health Sciences Inc
TSI Incorporated
TSN Company Inc
TSRC Corporation
TT Technologies Inc
TTC
TUSKEGEE UNIVERSITY
TVM Group Inc
TVWorks LLC
TWL Industries Incorporated
TXI Operations LP
Tabula Inc
Tacit Knowledge Systems Inc
Tacony Corporation
Tactical Fabs Inc
Tactyl Technologies Inc
Tadahiro Ohmi
Tadiran Ltd 
Tafco Metawireless SL
Tag-Matic Inc
Tagcorp Inc
Tagit Enterprises Corporation 
Tagivan II LLC
Tagman Inc
Tagzo World LLC
Taiheiyo Cement Corporation
Taisei Corporation
Taisho Pharmaceutical Co Ltd 
Tait Towers Inc
Taito America Corporation
Taiwan Semiconductor Manufacturing Company Ltd
Taiyo Ink Mfg Co Ltd
Takara Bio Inc
Takasago International Corporation
Takashi Kosaka
Takata Corporation
Takeda Pharmaceutical Company Limited
Taligent Inc
Talking Signs Inc
Talley Automotive Products Inc
Talley Defense Systems Inc
Talon Surfaces LLC
Talos Systems Inc
Talpak Inc
Tamarack Habilitation Technologies Inc
Tamarack Products Inc 
Tamarack Scientific Co Inc
Tamarack Technologies Inc
Tamiko Inc
Tamiras Per Pte Ltd LLC
Tamke Tree Experts
Tamko Roofing Products Inc
Tampella Keeler Inc
Tampella Keeler Incorporated
Tampella Power Corporation
Tamura Corporation
Tanaka Kikinzoku Kogyo KK
Tandem Computers Inc
Tandem Computers Incorporated
Tandem Diabetes Care Inc
Tandis Inc
Tandy Coporation
Tanel Corporation
Tang System
Tangenx Technology Corporation
Tangitek LLC
TangoMe Inc
Tanner Electronic Systems Technology Inc
Tanom Motors LLC
Tanox Biosystems Inc
Tanox Inc
Tantivy Communications Inc
Tao of Systems Integration Inc
Tapco Products Company Inc
Tape-Licator Inc
Tapematic USA Inc 
Tapwave Inc
Tarby Inc
Target Rock Corporation
Target Technology Company LLC
Target Technology LLC
Target Therapeutics Inc
Targeted Genetics Corporation
Targeted Growth Inc
Targia Pharmaceuticals
Targus Group International Inc
Tarob Consultants Ltd
Tarrytown Consulting Inc
Tarveda Therapeutics Inc
Task Force Tips Inc
Tata Consultancy Services Limited
Tatara Systems Inc
Tatcom Inc
Tate & Lyle Ingredients France SAS
Tate & Lyle Public Limited Company
Tatung Telecom Corp
Tau Therapeutics LLC
Taugent Inc
Taut Inc
Taw Security Concepts Inc
Taxon Biosciences Inc
TayMac Corporation
Taylor Biomass Energy LLC
Taylor Fresh Vegetables Inc
Taylor Innovations LLC
Taylor Made Environmental Systems Inc
Taylor Made Golf Company Inc
Teac Corporation
Teal Sales Incorporated
Tec Tran Corp
Teccor Electronics Inc
Tech Friends Inc
Tech M3 Inc
Tech-O-Filtre Inc
TechWing Co Ltd
Techbase Pty Ltd 
Techco Corporation
Techmet Corporation
Technar Incorporated
Technavista Inc
Technical Consumer Products Inc
Technical Fabricators Inc
Technical Mechanical Resource Associates Inc
Technical Products Group Inc 
Technical Visions Inc
Technical Witts Inc
Technical and Management Services Corporation 
Technicare Corporation
Technicon Instruments Corp
Technicor Inc
Technion Research and Development Foundation Ltd
Technique
Techniquip
Technische Universitat Braunschweig
Techno Investments LLC
Techno-Sciences Inc
TechnoConcepts Inc
Technologies & Devices International Inc
Technologies Development Incorporated
Technologies Holdings Corp
Technologies and Devices International Inc
Technology Application Services Corporation
Technology Assessment & Transfer Inc
Technology Assessment Group Inc
Technology Asset Trust
Technology Commercialization Corp
Technology Development Associates Inc
Technology Development Center
Technology Development Corporation
Technology Glass Corporation
Technology IP Holdings Inc
Technology International Incorporated
Technology Management Systems Inc
Technology Marketing Incorporated
Technology Mining Company LLC
