Peabody Galion Corporation
Peabody Myers Corporation
Peachtree Doors
Peak Biosciences Inc
Peak Power & Mfg Inc
PeakVision LLC
Peaktronics Inc
Pearhead Inc
Pearl City Manufacturing Inc
Pearl Technology Holdings LLC
Pease Industries Inc
Pechiney Emballage Flexible Europe
Peckson USA Corp
Peco II Inc
Peddinghaus Corporation
Peerless Confection Company
Peerless Manufacturing Company
Peerless Mfg Co
Peerless Premier Appliance Company
Peerless Systems Corporation
Peerless of America Incorporated
Peg Perego-Pines Deutschland GmbH
Pegasus Drilling Technologies LLC
Pegasus Imaging Corporation
Pegatron Corporation
Pegre Semiconductors LLC
Peking University
Peletex Inc
Pelibe an OK Partnership
Pelican Imaging Corporation
Pelikan Inc
Pelletron Corporation
Pelton & Crane
Pemco-Kalamazoo Inc
Pemery Corp
Penberthy Electromelt International Inc
Pence Inc 
Pendar Technologies LLC
Penguin Pools Inc
Penguin Pumps Inc
Peninsula Engineering Group Inc
Penn Engineering & Manufacturing Corp
Penn Plax Plastics Inc
Penn State Research Foundation and Biotechnology Research and Development Corporation
Penn-Plax Inc
Pennsylvania Engineering Corporation
Pennsylvania Power & Light Company
Pennsylvania Sustainable Technologies LLC
Pennzoil Company
Pennzoil Products Company
Pent Technologies Inc
PentaPure Incorporated
Pentagon Scientific Corporation
Pentair Filtration Inc
Pentair Filtration Solutions LLC
Pentair Pool Products Inc
Pentair Pump Group Inc
Pentair Residential Filtration LLC
Pentair Thermal Management LLC
Pentair Water Pool and Spa Inc
Pentanyl Technologies Inc
Pentron Ceramics Inc
Pentron Clinical Technologies LLC
Penutech
Penwest Pharmaceuticals Co
Pepperdine University
PepsiCo Inc
PeptiMed Inc
Peraso Technologies Inc
Perceptive Decision Systems Inc
Peregrine Semiconductor Corporation
Perfect Filter Corporation
Perfect Plastic Printing Corporation
Perfect Season Inc
Perfection Corporation 
Perfectionist Audio Components Inc
Performance Concepts Inc
Performance Controls Inc
Performance Designed Products LLC
Performance Fibers Inc
Performance Friction Corporation
Performance Plants Inc
Performance Polymer Solutions Inc
Performance Pool Products Limited
Perfusion Fluid Technologies Inc
Pericom Semiconductor Corp
Peripheral Dynamics Inc
Peripheral Imaging Corporation
Perkin-Elmer Corp
PerkinElmer Health Sciences Inc
PerkinElmer Instruments
PerkinElmer LAS Inc
Perkinelmer Holdings Inc
Perkinelmer LED Solutions Inc
Perkins Engines Company Limited
Perkins Technical Services Inc
Perm Inc
Perma Pure LLC
Perma-Charger Inc
Perma-Fix Environmental Services Inc
Permabase Inc
Permacel
Permacharge Corporation
Permanent Images Inc
Permanent Solution Industries Inc
Permatex Inc
Permlight Products Inc
Permobil AB
Perot Systems Corporation
Perry Equipment Corporation
Persona Software Inc
Personal Products Company
Personal Watercraft Creations Inc
Personnel Identification & Entry Access Control Inc
Perstorp AB
Pertron Controls Corporation
Perumala Corporation
Pervel Industries Inc
Pet Care Systems Inc 
Pet Food Express
Peter F Lee Inc
Peter Meier Inc LLC
PeterBrod Corp
Peters & Company Inc
Peterson Elastomers Inc
Peterson Filters & Engineering Company
Peterson Filters Corporation
Peterson Filters and Engineering Co
Peterson Labs Inc
Petoskey Plastics Inc
Petpro Products Inc
PetraSolar Inc
Petrelli Research 
Petro Environmental Technologies Inc
Petro-Chem Development Co Inc
Petro-Tex Chemical Corporation
Petroleum Habitats LLC
Petrolfree Inc
Petrolite Corporation
Petroquip Energy Services LLP
Peytant Solutions Inc
Pfizer
Pfizer Hospital Products Group Inc
Pfizer Inc
Pfizer Pharmaceuticals Inc
Pfizer Products Inc
Pgi International Ltd
PhD Chemical Engineering
Phaedrus LLC
Phage Biocontrol Research LLC
Phage Biotechnology Corporation
Phaltech Corporation
PharmEcology Associates LLC
Pharma Pass LLC
PharmaControl Corp
PharmaJet Inc
PharmaStem Therapeutics Inc
Pharmacaps Inc
Pharmaceutical Delivery Systems Inc
Pharmacia & Upjohn Company
Pharmacia & Upjohn SpA
Pharmacia AB
Pharmacia Biotech AB
Pharmacia Corporation
Pharmaco-Kinesis Corporation
Pharmacopeia Inc
Pharmadigm Inc
Pharmalyte Solutions LLC
Pharmatrophix Inc
Pharmetrix Corp
Pharmetrix Corporation
Pharmion Corporation
Phase Dynamics Inc
Phase Metrics Inc
PhaseRx Inc
Phelps Dodge Industries Inc
Phenix Biocomposites Inc
Phenix Heat Pump Systems Inc
Pheno Imaging Inc
Phenomenex Inc
Phibro Wood LLC
Phiips Lumileds Lighting Company LLC
Philadelphia Health and Education Corporation
Philadelphia Rivet Company
Philadelphia University
Philip A Hunt Chemical Corp
Philip Morris Incorporated
Philip Morris Management Corp
Philip Morris Products SA
Philip Morris USA Inc
Philip Services Corp
Philips Electronics Ltd
Philips Electronics NA Corporation
Philips Electronics North America Corp
Philips Electronics North North America Corporation 
Philips Lumileds Lighting Company LLC
Philips Lumilieds Lighting Co LLC
Philips North America Corporation
Philips Semiconductors Inc
Philips Solid-State Lighting Solutions Inc
Phillips & Temro Industries Inc
Phillips 66 Company
Phillips Environmental Products Inc
Phillips Petroleum Company
Phillips Phillips Petroleum
Phillips Plastic Corporation
Philtech Inc
Phinarak Hao Industries Inc
Phitek Systems Limited
Phoenix Analysis and Design Technologies
Phoenix Bio-Systems Inc
Phoenix Biotechnology Inc
Phoenix Controls Corporation
Phoenix Electrode Company
Phoenix Environmental Asset Corp
Phoenix Environmental Ltd
Phoenix Logistics Inc 
Phoenix Pharamacologics Inc
Phoenix Power Group LLC
Phoenix Technologies Ltd
Phoenix USA Inc
Phogenix Imaging LLC
Phonic Ear Incorporated
Phononic Devices Inc
Phoseon Technology Inc
Phosistor Technologies Inc
Photo Control Corporation
PhotoBioMed Corporation
PhotoSystems
Photobit Corporation
Photocircuits Division of Kollmorgen Corporation
Photodigm Inc
Photodye International Inc 
Photogen Inc 
Photogenesis Inc
Photolitec LLC
Photometrics Ltd
Photon Dynamics Inc 
Photon Energy Inc
Photon Holding LLC
Photon Systems Inc
Photon Vision Systems LLC
Photon-X LLC
Photonic Biosystems Inc
Photonic Integration Research Inc 
Photonics Industries International Inc
Photonics Research Incorporated
Photonics Systems Inc
Photonport Technologies Inc
Photoprotective Technologies Inc
Photovoltaics International LLC
Photowatt International SA
Photron Research and Development PTE LTD
Photronics Inc
Phrasor Scientific Inc
