firm,para_order,num_words,main_topic,prob
The Paymaster,8,10,0,0.9265060296535071
The Paymaster,9,5,0,0.9191036967299789
The Paymaster,10,6,0,0.9137193382381451
The Paymaster,11,10,3,0.9336209068410204
The Paymaster,12,6,3,0.8026684349183839
The Paymaster,13,16,0,0.9689863970752148
The Paymaster,14,15,0,0.9616089914632706
The Paymaster,15,41,0,0.6764203298270944
The Paymaster,16,21,0,0.825569842872796
The Paymaster,17,29,0,0.9680806624124954
The Paymaster,18,25,0,0.9775966670567293
The Paymaster,19,26,0,0.9747885356460967
The Paymaster,20,7,5,0.5058629731913995
The Paymaster,21,12,0,0.9295957729292241
The Paymaster,22,45,3,0.5303791909830285
The Paymaster,23,19,0,0.5182620067830039
The Paymaster,24,42,5,0.5600319231314833
The Paymaster,25,28,3,0.925921136803607
The Paymaster,26,11,0,0.949626266912516
The Paymaster,27,7,3,0.7118125955304031
Soliton Lasers,0,0,-1,1.0
Soliton Lasers,1,50,5,0.4568577461583362
Soliton Lasers,2,38,0,0.6711498338700655
Soliton Lasers,3,42,1,0.5647669144833997
Soliton Lasers,4,82,5,0.9171794472927837
Soliton Lasers,5,66,5,0.8489254301008328
Soliton Lasers,6,54,5,0.9538536138116143
Soliton Lasers,7,44,5,0.8857324311793386
Soliton Lasers,8,71,5,0.922026852478167
Soliton Lasers,9,109,5,0.9326340434159477
Soliton Lasers,10,128,5,0.9939403039919245
Soliton Lasers,11,6,2,0.6559701313872289
Soliton Lasers,12,8,3,0.6972149722852987
Soliton Lasers,13,9,2,0.9306491587291968
True-Safe Technologies,0,0,-1,1.0
True-Safe Technologies,1,33,1,0.8132863610264489
True-Safe Technologies,2,31,1,0.8109664172272127
True-Safe Technologies,3,53,1,0.5391225351585531
True-Safe Technologies,4,49,1,0.612540386480557
True-Safe Technologies,5,63,1,0.8000390375109506
True-Safe Technologies,6,15,5,0.5811479696975493
True-Safe Technologies,7,65,1,0.6628063377805972
True-Safe Technologies,8,12,3,0.9503469788081451
True-Safe Technologies,9,11,3,0.9336209068410204
Crystal Solar,0,0,-1,1.0
Crystal Solar,1,43,2,0.8895206589076906
Crystal Solar,2,29,2,0.9674763159186225
SII Semiconductor,0,0,-1,1.0
SII Semiconductor,1,11,2,0.9485668201819267
SII Semiconductor,2,11,2,0.9485668201819267
SII Semiconductor,3,10,2,0.7447760161151614
SII Semiconductor,4,8,2,0.5177688549631645
SII Semiconductor,5,42,2,0.6258811250938717
SII Semiconductor,6,5,2,0.7945721838828987
SII Semiconductor,7,5,4,0.8526219111797458
SII Semiconductor,8,9,2,0.9361355649008812
SII Semiconductor,9,6,4,0.878885075526944
SII Semiconductor,10,9,2,0.8274290827876888
SII Semiconductor,11,5,2,0.8737733567375672
SII Semiconductor,12,5,5,0.7455560863446892
SII Semiconductor,13,7,2,0.7416155149137029
SII Semiconductor,14,5,2,0.8945895169077059
Alliance for Sustainable Energy,0,0,-1,1.0
Alliance for Sustainable Energy,1,5,5,0.9039584320540262
Alliance for Sustainable Energy,2,44,0,0.688264449994565
Alliance for Sustainable Energy,3,24,5,0.9699209100703149
FRONT EDGE TECHNOLOGY,0,0,-1,1.0
FRONT EDGE TECHNOLOGY,1,11,2,0.9389978361770964
FRONT EDGE TECHNOLOGY,2,29,2,0.765094656402611
HTS,0,0,-1,1.0
HTS,1,8,5,0.6019509707812465
HTS,2,14,0,0.9725924348876338
HTS,3,9,0,0.8455851992469761
HTS,4,9,0,0.845585199246976
HTS,5,7,0,0.717425856248861
HTS,6,37,0,0.9805536806522391
HTS,7,8,3,0.5512387398342552
HTS,8,8,0,0.7320234794939653
HTS,9,9,4,0.5131245090744163
HTS,10,6,4,0.8635926405263357
Gestion Ultra,0,0,-1,1.0
Gestion Ultra,1,25,0,0.9512596002840239
Gestion Ultra,2,29,0,0.9824649126616827
Gestion Ultra,3,10,3,0.615283540519265
Gestion Ultra,4,9,0,0.9179717198030481
Gestion Ultra,5,8,0,0.9308742292957367
Gestion Ultra,6,6,3,0.8698904646764112
Gestion Ultra,7,10,0,0.5774269477709524
Gestion Ultra,8,17,0,0.6629459470335727
Gestion Ultra,9,6,0,0.8931582360872513
Gestion Ultra,10,11,0,0.6520952367891429
Gestion Ultra,11,7,0,0.8931582360872513
Gestion Ultra,12,10,4,0.5824852208514428
Gestion Ultra,13,13,0,0.8823168431132289
Gestion Ultra,14,8,0,0.7028282330037565
Gestion Ultra,15,8,2,0.7113064973534922
Gestion Ultra,16,8,1,0.6635081599968781
Gestion Ultra,17,6,1,0.41047010287221214
Gestion Ultra,18,8,5,0.856205931073904
Gestion Ultra,19,9,5,0.5046429932103442
Gestion Ultra,20,10,0,0.9229611185063601
Gestion Ultra,21,59,0,0.9934101740988496
Gestion Ultra,22,29,0,0.7818512656771
Gestion Ultra,23,8,4,0.611417382195856
Gestion Ultra,24,37,1,0.6757746433785334
Gestion Ultra,25,7,1,0.9112527949502076
Gestion Ultra,26,8,3,0.6972149722852987
Gestion Ultra,27,10,4,0.4647694040579505
Gestion Ultra,28,9,0,0.8921667008176711
Gestion Ultra,29,7,0,0.5130591308174002
Gestion Ultra,30,14,0,0.6884915915909047
Gestion Ultra,31,8,4,0.9210776100203801
Gestion Ultra,32,27,1,0.6781704355485377
Gestion Ultra,33,6,5,0.5823745288254514
Gestion Ultra,34,19,0,0.7351856402377844
Gestion Ultra,35,7,5,0.4912653499462951
Gestion Ultra,36,35,0,0.56831298822413
MicroContinuum,0,0,-1,1.0
MicroContinuum,1,17,0,0.6842976063388035
MicroContinuum,2,24,0,0.5042098284046412
MicroContinuum,3,13,2,0.7193977039321077
New Technology Ventures,0,0,-1,1.0
New Technology Ventures,1,15,0,0.9547519575383941
New Technology Ventures,2,10,0,0.9149459110240026
New Technology Ventures,3,19,0,0.5561495990636278
New Technology Ventures,4,30,0,0.6063850443381209
New Technology Ventures,5,44,0,0.9830241078516311
New Technology Ventures,6,56,0,0.9678445547636205
New Technology Ventures,7,53,0,0.9884661032846395
New Technology Ventures,8,26,0,0.9724189762258487
New Technology Ventures,9,30,0,0.9019834087566105
Silicon Space Technology Corp,0,0,-1,1.0
Silicon Space Technology Corp,1,36,2,0.7002449474744861
Silicon Space Technology Corp,2,56,2,0.9768567873624495
Silicon Space Technology Corp,3,50,2,0.9848035203743581
Silicon Space Technology Corp,4,22,2,0.7924211030402231
Silicon Space Technology Corp,5,14,2,0.7852505321005321
Silicon Space Technology Corp,6,9,3,0.8527000764344894
Silicon Space Technology Corp,7,7,3,0.6388244793048813
Wostec,0,0,-1,1.0
Wostec,1,10,5,0.9387408498843265
Wostec,2,7,0,0.8779997119450088
Gracenote,0,0,-1,1.0
Gracenote,1,18,3,0.9133015512162472
Gracenote,2,10,0,0.5774269477709525
Gracenote,3,7,0,0.7466211027390696
Gracenote,4,16,3,0.9259181869464527
Gracenote,5,8,0,0.5696039635004584
Gracenote,6,6,2,0.675770424600896
Gracenote,7,14,3,0.7662275944330468
Gracenote,8,9,0,0.7993447247289582
Gracenote,9,16,0,0.5206015516653669
Gracenote,10,10,0,0.9020196536133049
Gracenote,11,5,0,0.8741187518108109
Gracenote,12,17,3,0.9591323749191932
Gracenote,13,22,3,0.5951653711053637
Gracenote,14,9,3,0.7255387715099406
Gracenote,15,11,0,0.5181294607215177
Gracenote,16,7,0,0.6882306097586522
Gracenote,17,33,3,0.9544004622744325
Gracenote,18,37,0,0.519406747040208
Gracenote,19,7,0,0.8741187518108109
Gracenote,20,18,4,0.9657747321927312
Nokomis,0,0,-1,1.0
Nokomis,1,8,0,0.9308742292957367
Nokomis,2,10,0,0.5450221148798607
Nokomis,3,8,2,0.5435738739485416
Nokomis,4,8,0,0.9308742292957367
Nokomis,5,17,4,0.6017974038554083
Nokomis,6,20,4,0.6820654002840202
Nokomis,7,13,1,0.6320164726191153
Nokomis,8,13,0,0.93517827534659
Nokomis,9,9,0,0.9380661482830115
Nokomis,10,8,4,0.7017349486446754
Nokomis,11,5,0,0.5177134739648028
Nokomis,12,10,5,0.8130920605259965
Oracle,0,0,-1,1.0
Oracle,1,16,0,0.9618691773068044
Oracle,2,31,0,0.926108069972011
Oracle,3,8,0,0.9050692103103597
Research Triangle Institute,0,0,-1,1.0
Research Triangle Institute,1,6,0,0.9435747584057718
Research Triangle Institute,2,25,0,0.8618496459081474
Research Triangle Institute,3,35,0,0.821612343715275
Research Triangle Institute,4,14,0,0.956266477696101
Research Triangle Institute,5,50,0,0.7261228325168049
Research Triangle Institute,6,39,5,0.6752543448649406
Research Triangle Institute,7,30,0,0.9864889878569363
Research Triangle Institute,8,11,0,0.853043900890581
Research Triangle Institute,9,6,0,0.9099637435267581
Sanuvox Technologies,0,0,-1,1.0
Sanuvox Technologies,1,29,1,0.6132161305296936
Sanuvox Technologies,2,19,1,0.4947798635322127
Sanuvox Technologies,3,38,0,0.6296722266519139
SixPoint Materials,0,0,-1,1.0
SixPoint Materials,1,67,2,0.6223963904743601
SixPoint Materials,2,5,5,0.8349445242857145
ZENA TECHNOLOGIES,0,0,-1,1.0
ZENA TECHNOLOGIES,1,64,0,0.9846792323906501
ZENA TECHNOLOGIES,2,73,0,0.9892337030872842
ZENA TECHNOLOGIES,3,32,0,0.9714274884894433
ZENA TECHNOLOGIES,4,43,0,0.8622244819226059
ZENA TECHNOLOGIES,5,37,0,0.9708036847738174
AVOGY,0,0,-1,1.0
AVOGY,1,25,2,0.9766816127650755
AVOGY,2,27,2,0.6403483253497492
AVOGY,3,28,2,0.970322491360545
Perkinelmer Holdings,0,0,-1,1.0
Perkinelmer Holdings,1,7,2,0.39602350483202015
Perkinelmer Holdings,2,8,2,0.6984039878608038
Perkinelmer Holdings,3,8,1,0.6893131789822551
Perkinelmer Holdings,4,9,1,0.6638367744030316
Perkinelmer Holdings,5,9,1,0.9297195028816334
Perkinelmer Holdings,6,13,1,0.7626241301513788
Perkinelmer Holdings,7,9,1,0.6753968930325359
Perkinelmer Holdings,8,9,1,0.6985171302915449
Perkinelmer Holdings,9,11,1,0.8844108320026405
Perkinelmer Holdings,10,9,1,0.9412796215111379
Perkinelmer Holdings,11,9,1,0.6638367744030316
Perkinelmer Holdings,12,8,2,0.8016240638023119
Perkinelmer Holdings,13,8,1,0.9344608593433369
Perkinelmer Holdings,14,5,0,0.8543184585971438
Perkinelmer Holdings,15,10,0,0.9071949584352176
Seiko Instruments,0,0,-1,1.0
Seiko Instruments,1,10,0,0.9380661482830115
Seiko Instruments,2,8,0,0.7755196840107036
Seiko Instruments,3,7,0,0.4984615075722958
Seiko Instruments,4,26,0,0.39542323904985277
Seiko Instruments,5,30,2,0.5333096412528446
Seiko Instruments,6,39,2,0.8216418871965269
Seiko Instruments,7,17,0,0.6759864318627624
Seiko Instruments,8,37,0,0.8678409484471532
Seiko Instruments,9,11,0,0.8810781887202499
Seiko Instruments,10,6,0,0.9099637435267581
Seiko Instruments,11,23,0,0.7033639187304067
Seiko Instruments,12,16,0,0.9547519575383943
Seiko Instruments,13,14,0,0.9487337409388849
Seiko Instruments,14,13,0,0.9678717089485456
Seiko Instruments,15,5,0,0.9137193382381451
Seiko Instruments,16,16,0,0.9618691773068044
Seiko Instruments,17,17,0,0.9689863970752148
Seiko Instruments,18,35,0,0.41878719182877105
Seiko Instruments,19,11,5,0.5932066791489189
Seiko Instruments,20,29,2,0.6024338717673002
Seiko Instruments,21,8,0,0.9437767387884253
Seiko Instruments,22,12,4,0.7434738232101112
Seiko Instruments,23,16,2,0.9105377681120385
Seiko Instruments,24,6,2,0.8760595744297572
Seiko Instruments,25,10,2,0.5563805795248683
Seiko Instruments,26,6,3,0.6682243754023294
Seiko Instruments,27,9,3,0.5983774665853918
Seiko Instruments,28,9,4,0.9408488983660803
Seiko Instruments,29,26,0,0.7945481098783613
Seiko Instruments,30,14,0,0.9616089914632706
Seiko Instruments,31,14,0,0.9744681764499811
Seiko Instruments,32,9,3,0.9388153044173109
Atom Nanoelectronics,0,0,-1,1.0
Atom Nanoelectronics,1,13,4,0.9372990747324355
Atom Nanoelectronics,2,6,0,0.8763527286477445
Atom Nanoelectronics,3,20,2,0.6907080440526565
Atom Nanoelectronics,4,16,2,0.9617450249714489
Atom Nanoelectronics,5,22,0,0.9549468959320903
Atom Nanoelectronics,6,16,0,0.8772105930668543
Atom Nanoelectronics,7,23,2,0.6637544913319702
Atom Nanoelectronics,8,63,2,0.8068301421540143
Atom Nanoelectronics,9,26,4,0.6202474452729733
Atom Nanoelectronics,10,17,0,0.537188937792575
GOLBA,0,0,-1,1.0
GOLBA,1,84,0,0.9387176240614019
GOLBA,2,20,0,0.8959937838355142
Ion Power Group,0,0,-1,1.0
Ion Power Group,1,48,3,0.4316289146694619
Ion Power Group,2,46,3,0.4426605497965912
Ion Power Group,3,58,5,0.6726291631082312
Industrial Technology Research Institute,0,0,-1,1.0
Industrial Technology Research Institute,1,7,3,0.8863051885600362
Industrial Technology Research Institute,2,12,3,0.71999086498454
Industrial Technology Research Institute,3,19,0,0.9680154803972072
Industrial Technology Research Institute,4,14,3,0.9041496754662947
Industrial Technology Research Institute,5,28,0,0.9810956038525555
Industrial Technology Research Institute,6,25,0,0.9638457538436903
Industrial Technology Research Institute,7,31,4,0.531343708330452
Industrial Technology Research Institute,8,28,5,0.38894211962610786
Met Tech,0,0,-1,1.0
Met Tech,1,26,4,0.6780148667137736
Met Tech,2,23,4,0.7537308835495639
Met Tech,3,29,4,0.8558593995508628
Met Tech,4,30,0,0.8657667319993281
Met Tech,5,15,2,0.762462871455961
FastCAP Systems,0,0,-1,1.0
FastCAP Systems,1,40,2,0.8755274809760308
FastCAP Systems,2,20,2,0.6368009386112838
Nanotek Instruments,0,0,-1,1.0
Nanotek Instruments,1,16,2,0.634352915624576
Nanotek Instruments,2,12,0,0.8558861269965483
Nanotek Instruments,3,8,0,0.5276567540625043
Nanotek Instruments,4,11,0,0.6808021888036342
Nanotek Instruments,5,43,5,0.431647351091128
Nanotek Instruments,6,33,2,0.9789259573085509
Nanotek Instruments,7,11,3,0.5335878432857958
Nanotek Instruments,8,5,2,0.6757704246008961
Nanotek Instruments,9,10,2,0.922778467706129
Nanotek Instruments,10,10,2,0.9332492001526566
NeoVision,0,0,-1,1.0
NeoVision,1,6,3,0.7354464051603566
NeoVision,2,5,3,0.5497002039276951
NeoVision,3,6,3,0.9203069869949316
NeoVision,4,38,0,0.6837560562267536
NeoVision,5,50,0,0.48902182093893404
NeoVision,6,17,3,0.9615925624812548
NeoVision,7,5,0,0.7022587087034138
NeoVision,8,9,0,0.6590353632684436
NeoVision,9,9,3,0.7452776620269833
NeoVision,10,10,3,0.71999086498454
NeoVision,11,8,3,0.8872052664465568
NeoVision,12,22,3,0.8502117811843437
NeoVision,13,5,3,0.7925789319607103
NeoVision,14,6,3,0.7279028428506992
NeoVision,15,11,3,0.5335878432857957
NeoVision,16,27,2,0.5211586623629735
NeoVision,17,35,2,0.558994892072437
NeoVision,18,28,3,0.9018435447718975
NeoVision,19,26,3,0.9668701001662036
NeoVision,20,20,3,0.9574643902385797
NeoVision,21,25,3,0.6615262275120621
NeoVision,22,6,3,0.8857449260931617
NeoVision,23,10,3,0.9294055139150902
NeoVision,24,9,3,0.6330578224739051
NeoVision,25,14,0,0.93517827534659
NeoVision,26,23,5,0.5865941943980614
NeoVision,27,23,3,0.4614922355877207
NeoVision,28,33,5,0.7245338085547718
NeoVision,29,15,3,0.9335225008756626
NeoVision,30,23,5,0.8336619325618391
NeoVision,31,45,5,0.38767651848682744
NeoVision,32,20,3,0.6445294747086703
NeoVision,33,18,5,0.9411924812869722
NeoVision,34,6,5,0.44855168813968244
NeoVision,35,32,5,0.9759212344171891
NeoVision,36,34,1,0.33201704228863316
NeoVision,37,28,5,0.9500959312916433
NeoVision,38,8,5,0.8124130613385909
NeoVision,39,20,5,0.8818696649168406
NeoVision,40,22,5,0.7899763045657953
NeoVision,41,21,5,0.9750621845133012
NeoVision,42,32,5,0.9548319224271715
NeoVision,43,25,0,0.5906473606507536
NeoVision,44,34,3,0.9815844740729353
NeoVision,45,46,3,0.7549589594912178
NeoVision,46,63,3,0.8219012544191276
NeoVision,47,31,3,0.9718498703877707
NeoVision,48,33,3,0.8378975545665638
NeoVision,49,15,3,0.7164011677636659
NeoVision,50,22,3,0.9447720332284306
NeoVision,51,16,3,0.9306634958455522
NeoVision,52,12,3,0.6005707313196084
NeoVision,53,44,3,0.8431471234021461
NeoVision,54,28,3,0.9533974982690574
NeoVision,55,11,3,0.7948994832869672
NeoVision,56,18,3,0.9448464362321989
NeoVision,57,11,3,0.8642601950639939
NeoVision,58,35,3,0.7548645959872213
NeoVision,59,22,3,0.9528739924714444
NeoVision,60,21,3,0.9537798310805564
NeoVision,61,37,3,0.9702148245070421
NeoVision,62,43,3,0.8818460535806574
NeoVision,63,7,3,0.5658363630793596
Rapamycin Holdings,0,0,-1,1.0
Rapamycin Holdings,1,18,1,0.9553351847651075
Rapamycin Holdings,2,50,1,0.8996921720972743
Rapamycin Holdings,3,39,1,0.6364017696533816
Rapamycin Holdings,4,50,2,0.509048130178347
Sola USA,0,0,-1,1.0
Sola USA,1,12,3,0.9582211682528898
Sola USA,2,5,3,0.5100996175003609
Sola USA,3,16,4,0.4507393876458887
Sola USA,4,13,3,0.820657363430707
Sola USA,5,23,0,0.8337108569425209
Sola USA,6,53,4,0.7803065610465574
Sola USA,7,22,3,0.6523804349216289
Sola USA,8,17,3,0.914771167522451
Sola USA,9,25,2,0.3158962580534438
Sola USA,10,30,3,0.6048917391508261
Sola USA,11,16,3,0.9335225008756626
Sola USA,12,23,3,0.9036418376845405
Sola USA,13,26,0,0.8941248888854808
Sola USA,14,38,2,0.5241066445775017
Sola USA,15,17,0,0.6381325698436204
Sola USA,16,14,0,0.4801877710513436
Sola USA,17,10,0,0.9020196536133049
Cedar Ridge Research,0,0,-1,1.0
Cedar Ridge Research,1,59,0,0.9829959888330022
Cedar Ridge Research,2,50,0,0.8358066786649017
Cedar Ridge Research,3,6,5,0.7336240957810127
Cedar Ridge Research,4,25,3,0.8025226749651936
Cedar Ridge Research,5,69,4,0.7504458279219456
Cedar Ridge Research,6,68,4,0.7587497173944276
Cedar Ridge Research,7,25,0,0.9512596002840239
Cedar Ridge Research,8,51,0,0.7969386821955898
Cedar Ridge Research,9,5,0,0.9191036967299789
Cedar Ridge Research,10,21,0,0.8789970310321223
Cedar Ridge Research,11,49,0,0.9776938053029487
Cedar Ridge Research,12,14,5,0.6338862271915398
Cedar Ridge Research,13,10,4,0.831245039686413
DIC,0,0,-1,1.0
DIC,1,62,3,0.5256827930992153
DIC,2,32,3,0.7613754974394569
DIC,3,37,3,0.7137571120978433
DIC,4,8,3,0.8857449260931617
DIC,5,10,3,0.7370988901394451
DIC,6,8,3,0.9130102854319339
DIC,7,5,0,0.5573140603921373
DIC,8,9,2,0.9306491587291968
Global OLED Technology,0,0,-1,1.0
Global OLED Technology,1,27,4,0.9794095122649114
Global OLED Technology,2,8,5,0.8416083078287996
Global OLED Technology,3,25,0,0.5136214025494703
Global OLED Technology,4,19,0,0.7201492708850948
Nexcom Technology,0,0,-1,1.0
Nexcom Technology,1,9,0,0.9033857923944982
Nexcom Technology,2,40,0,0.9529285118840249
Nexcom Technology,3,44,0,0.7133342823963847
Nexcom Technology,4,43,0,0.9743982640327703
Nexcom Technology,5,13,0,0.9704192301688308
Nexcom Technology,6,16,0,0.9641646122760615
Nexcom Technology,7,5,0,0.8543184585971438
Nexcom Technology,8,37,0,0.9489631043408887
Nexcom Technology,9,20,0,0.7012223398755238
Nexcom Technology,10,29,0,0.568955791583987
Nexcom Technology,11,26,0,0.9848420793157321
Nexcom Technology,12,39,0,0.9635944182375648
Nexcom Technology,13,7,0,0.7320234794939652
Nexcom Technology,14,5,2,0.8737733567375672
