firm name,link,acquired_merged,public
Deep Well Power,https://www.grainger.com/category/submersible-well-pumps/well-pumps/pumps/ecatalog/N-hvm,0,0
Delphi Technologies,https://www.delphi.com/new-delphi-technologies,0,0
Delta Electronics,http://www.deltaww.com/,0,0
Dentsply International,https://corporate.dentsplysirona.com/en.html,0,0
Dermazone Solutions,http://dermazone.com/,0,0
Diamicron,https://www.drugs.com/uk/diamicron-60-mg-mr-tablets-leaflet.html,0,0
Diamond Innovations,https://www.hyperionmt.com/,0,0
Digital Wind Systems,https://www.ge.com/renewableenergy/wind-energy/technology/digital-wind-farm,0,0
Disney Enterprises,https://www.thewaltdisneycompany.com/,0,0
Dogwood Pharmaceuticals,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=311801193,0,0
Domtar Paper Company,https://www.domtar.com/en,0,0
Dongbu Hitek Co.,https://yourfab.dbhitek.com/src/login/login_v3.asp,0,0
Dynamic Solutions Worldwide,https://dynatrap.com/,0,0
ENERGY ENGINEERING SYSTEMS,https://www.payscale.com/research/US/Job=Energy_Engineer/Salary,0,0
ENI Technology,https://www.eni.com/en_IT/innovation.page,0,0
ESCAPE THERAPEUTICS,http://escapetherapeutics.com/,0,0
Easel Biotechnologies,http://www.easelbio.com/,0,0
Echogen Power Systems,https://www.echogen.com/,0,0
Ecovative Design,https://www.ecovativedesign.com/,0,0
Egenera,https://www.egenera.com/,0,0
Eisai Co.,https://www.eisai.com/index.html,0,0
Elcriton,https://www.linkedin.com/company/elcriton-inc.,0,0
ElectraTherm,https://electratherm.com/,0,0
Electrix,https://www.electrixillumination.com/,0,0
Electronic Warfare Associates,http://ewa.com/,0,0
Element One,http://elementonescreens.com/,0,0
Elenion Technologies,https://elenion.com/,0,0
Energen,http://www.energen.com/,0,0
Energysolutions,http://www.energysolutions.com/,0,0
Enginuity Worldwide,http://enginuityww.webstarts.com/,0,0
Englewood Lab,http://englewoodlab.com/,0,0
Ensyn Renewables,http://www.ensyn.com/,0,0
Entech Solar,http://entechsolutions.us/,0,0
Entegris,https://entegris.com/,0,0
Envision Solar International,http://www.envisionsolar.com/,0,0
Epizyme,http://www.epizyme.com/,0,0
Esolar,http://esolar.solar/,0,0
Ethicon Endo-Surgery,https://www.ethicon.com/,0,0
Ethox Chemicals,http://blog.ethox.com/,0,0
Everspin Technologies,http://www.everspin.com/,0,0
Evri,https://finance.yahoo.com/quote/EVRI,0,0
Express Imaging Systems,https://www.eiscallcenter.com/,0,0
Extech/Exterior Technologies,https://extechinc.com/,0,0
FHT,https://medical-dictionary.thefreedictionary.com/FHT,0,0
FLIR Systems,https://www.flir.com/,0,0
FUJIFILM Dimatix,http://www.fujifilmusa.com/products/industrial_inkjet_printheads/index.html,0,0
FULL CIRCLE BIOCHAR,http://fullcirclebiochar.com/,0,0
Facebook,https://newsroom.fb.com/,0,0
Faurecia Interior Systems,http://www.faurecia.com/en,0,0
Fenwal,https://kidde-fenwal.com/Public/Fenwalcontrols,0,0
Fezza Family Properties,https://www.bizapedia.com/fl/fezza-family-properties-llc.html,0,0
Fina Technology,http://www.finatg.com/,0,0
First Solar,http://www.firstsolar.com/,0,0
Flextronics AP,https://flex.com/,0,0
Ford Global Technologies,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=34040484,0,0
Forest Concepts,http://www.forestconcepts.com/,0,0
Foret Plasma Labs,http://www.plasmawhirl.com/,0,0
Formula Plastics,http://formulaplastics.com/,0,0
Freescale Semiconductor,https://www.nxp.com/,0,0
Fuji Electric Co.,https://www.fujielectric.com/,0,0
Fuji Xerox Co.,https://www.fujixerox.com/eng,0,0
Furukawa Electric Co.,https://www.furukawa.co.jp/en/,0,0
FutureWei Technologies,https://www.huawei.com/us/,0,0
GE Healthcare Dharmacon,https://dharmacon.horizondiscovery.com/,0,0
GED Intergrated Solution,http://www.gedusa.com/,0,0
GEOTHERMAL ENERGY PROJECT,https://www.edenproject.com/eden-story/behind-the-scenes/eden-deep-geothermal-energy-project,0,0
GM Global Technology Operations,https://www.bloomberg.com/profiles/companies/0132698D:US-gm-global-technology-operations-llc,0,0
GOJO Industries,http://gojo.com/,0,0
GOSOLARLIFE,http://www.gosolarlife.com/,0,0
GR Intellectual Reserve,https://www.corporationwiki.com/p/2boabz/gr-intellectual-reserve-llc,0,0
GROW ENERGY,http://www.growenergy.org/,0,0
GTherm,http://gtherm.net/,0,0
Galectin Therapeutics,http://galectintherapeutics.com/,0,0
GangaGen,http://gangagen.com/,0,0
Gardner-Gibson,https://gardner-gibson.com/,0,0
Garland Industries,https://www.garlandco.com/,0,0
Gemex Systems,https://gemex.com/,0,0
